آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,21,10,11,47.6,52.4,0.91,2021-01-16_2021-01-30|2021-10-15_2021-10-29|2022-03-16_2022-03-30|2022-08-12_2022-08-26|2022-11-16_2022-11-30|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-06-15_2023-06-29|2023-11-16_2023-11-30|2024-01-13_2024-01-27|2024-04-12_2024-04-26|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2025-01-15_2025-01-29|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-09-11_2025-09-25
0.0,1,PPI m/m,Bad,27,21,6,77.8,22.2,3.5,2021-02-18_2021-03-04|2021-03-13_2021-03-27|2021-04-10_2021-04-24|2021-05-14_2021-05-28|2021-06-16_2021-06-30|2021-07-15_2021-07-29|2021-08-13_2021-08-27|2021-09-11_2021-09-25|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-04-14_2022-04-28|2022-07-15_2022-07-29|2022-10-13_2022-10-27|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2024-02-17_2024-03-02|2024-03-15_2024-03-29|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-09-13_2024-09-27|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2025-08-15_2025-08-29|2026-01-31_2026-02-14|2026-02-28_2026-03-14
0.0,1,PPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2021-11-10_2021-11-24|2022-05-13_2022-05-27|2022-06-15_2022-06-29|2022-09-15_2022-09-29|2023-12-14_2023-12-28|2024-11-15_2024-11-29|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.1,1,PPI m/m,Good,16,8,8,50.0,50.0,1.0,2021-01-16_2021-01-30|2022-03-16_2022-03-30|2022-08-12_2022-08-26|2022-11-16_2022-11-30|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-06-15_2023-06-29|2023-11-16_2023-11-30|2024-01-13_2024-01-27|2024-06-14_2024-06-28|2025-01-15_2025-01-29|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-07-17_2025-07-31|2025-09-11_2025-09-25
0.1,1,PPI m/m,Bad,21,15,6,71.4,28.6,2.5,2021-02-18_2021-03-04|2021-04-10_2021-04-24|2021-05-14_2021-05-28|2021-06-16_2021-06-30|2021-07-15_2021-07-29|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-04-14_2022-04-28|2022-07-15_2022-07-29|2022-10-13_2022-10-27|2023-02-17_2023-03-03|2023-10-12_2023-10-26|2024-02-17_2024-03-02|2024-03-15_2024-03-29|2024-05-15_2024-05-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2025-08-15_2025-08-29|2026-01-31_2026-02-14|2026-02-28_2026-03-14
0.1,1,PPI m/m,Neutral,19,14,5,73.7,26.3,2.8,2021-03-13_2021-03-27|2021-09-11_2021-09-25|2021-10-15_2021-10-29|2021-11-10_2021-11-24|2022-05-13_2022-05-27|2022-06-15_2022-06-29|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-08-12_2023-08-26|2023-12-14_2023-12-28|2024-04-12_2024-04-26|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2025-06-13_2025-06-27|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.2,1,PPI m/m,Neutral,33,22,11,66.7,33.3,2.0,2021-01-16_2021-01-30|2021-03-13_2021-03-27|2021-09-11_2021-09-25|2021-10-15_2021-10-29|2021-11-10_2021-11-24|2022-03-16_2022-03-30|2022-05-13_2022-05-27|2022-06-15_2022-06-29|2022-09-15_2022-09-29|2022-10-13_2022-10-27|2022-11-16_2022-11-30|2022-12-10_2022-12-24|2023-06-15_2023-06-29|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2023-12-14_2023-12-28|2024-01-13_2024-01-27|2024-02-17_2024-03-02|2024-04-12_2024-04-26|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-01-15_2025-01-29|2025-02-14_2025-02-28|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-01-15_2026-01-29|2026-02-28_2026-03-14
0.2,1,PPI m/m,Bad,14,10,4,71.4,28.6,2.5,2021-02-18_2021-03-04|2021-04-10_2021-04-24|2021-05-14_2021-05-28|2021-06-16_2021-06-30|2021-07-15_2021-07-29|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-04-14_2022-04-28|2022-07-15_2022-07-29|2023-02-17_2023-03-03|2024-03-15_2024-03-29|2025-08-15_2025-08-29|2026-01-31_2026-02-14
0.2,1,PPI m/m,Good,9,5,4,55.6,44.4,1.25,2022-08-12_2022-08-26|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.3,1,PPI m/m,Neutral,39,26,13,66.7,33.3,2.0,2021-01-16_2021-01-30|2021-03-13_2021-03-27|2021-05-14_2021-05-28|2021-09-11_2021-09-25|2021-10-15_2021-10-29|2021-11-10_2021-11-24|2022-03-16_2022-03-30|2022-04-14_2022-04-28|2022-05-13_2022-05-27|2022-06-15_2022-06-29|2022-09-15_2022-09-29|2022-10-13_2022-10-27|2022-11-16_2022-11-30|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-06-15_2023-06-29|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2023-12-14_2023-12-28|2024-01-13_2024-01-27|2024-02-17_2024-03-02|2024-03-15_2024-03-29|2024-04-12_2024-04-26|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-01-15_2025-01-29|2025-02-14_2025-02-28|2025-03-14_2025-03-28|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-01-15_2026-01-29|2026-01-31_2026-02-14|2026-02-28_2026-03-14
