آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Bad,10,9,1,90.0,10.0,9.0,2018-01-13_2018-01-17|2020-08-13_2020-08-17|2021-04-14_2021-04-18|2021-05-13_2021-05-17|2022-01-13_2022-01-17|2022-02-11_2022-02-15|2022-09-14_2022-09-18|2023-03-15_2023-03-19|2023-05-11_2023-05-15|2024-04-11_2024-04-15
0.0,1,Core CPI m/m,Neutral,22,16,6,72.7,27.3,2.67,2018-03-14_2018-03-18|2018-04-12_2018-04-16|2018-07-13_2018-07-17|2018-08-11_2018-08-15|2019-12-12_2019-12-16|2020-03-12_2020-03-16|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2021-12-11_2021-12-15|2022-03-11_2022-03-15|2023-01-13_2023-01-17|2023-04-13_2023-04-17|2023-06-14_2023-06-18|2023-08-11_2023-08-15|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-05-16_2024-05-20|2024-08-15_2024-08-19|2024-11-14_2024-11-18|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2026-02-14_2026-02-18
0.0,1,Core CPI m/m,Good,19,13,6,68.4,31.6,2.17,2018-05-11_2018-05-15|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2020-01-15_2020-01-19|2020-06-11_2020-06-15|2021-03-11_2021-03-15|2021-08-12_2021-08-16|2021-09-15_2021-09-19|2022-04-13_2022-04-17|2022-11-11_2022-11-15|2023-07-13_2023-07-17|2023-11-15_2023-11-19|2024-06-13_2024-06-17|2025-01-16_2025-01-20|2025-05-14_2025-05-18|2025-10-25_2025-10-29|2026-01-14_2026-01-18
0.1,1,Core CPI m/m,Neutral,42,30,12,71.4,28.6,2.5,2018-01-13_2018-01-17|2018-03-14_2018-03-18|2018-04-12_2018-04-16|2018-05-11_2018-05-15|2018-07-13_2018-07-17|2018-08-11_2018-08-15|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2019-12-12_2019-12-16|2020-01-15_2020-01-19|2020-03-12_2020-03-16|2020-06-11_2020-06-15|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2021-04-14_2021-04-18|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-02-11_2022-02-15|2022-03-11_2022-03-15|2023-01-13_2023-01-17|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-08-15_2024-08-19|2024-11-14_2024-11-18|2025-01-16_2025-01-20|2025-05-14_2025-05-18|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.1,1,Core CPI m/m,Bad,5,5,0,100.0,0.0,inf,2020-08-13_2020-08-17|2021-05-13_2021-05-17|2022-09-14_2022-09-18|2023-05-11_2023-05-15|2024-04-11_2024-04-15
0.1,1,Core CPI m/m,Good,4,3,1,75.0,25.0,3.0,2021-08-12_2021-08-16|2021-09-15_2021-09-19|2022-04-13_2022-04-17|2022-11-11_2022-11-15
0.2,1,Core CPI m/m,Neutral,48,35,13,72.9,27.1,2.69,2018-01-13_2018-01-17|2018-03-14_2018-03-18|2018-04-12_2018-04-16|2018-05-11_2018-05-15|2018-07-13_2018-07-17|2018-08-11_2018-08-15|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2019-12-12_2019-12-16|2020-01-15_2020-01-19|2020-03-12_2020-03-16|2020-06-11_2020-06-15|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2021-04-14_2021-04-18|2021-08-12_2021-08-16|2021-09-15_2021-09-19|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-02-11_2022-02-15|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-11-11_2022-11-15|2023-01-13_2023-01-17|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-08-15_2024-08-19|2024-11-14_2024-11-18|2025-01-16_2025-01-20|2025-05-14_2025-05-18|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.2,1,Core CPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-08-13_2020-08-17|2021-05-13_2021-05-17|2022-09-14_2022-09-18
0.3,1,Core CPI m/m,Neutral,49,36,13,73.5,26.5,2.77,2018-01-13_2018-01-17|2018-03-14_2018-03-18|2018-04-12_2018-04-16|2018-05-11_2018-05-15|2018-07-13_2018-07-17|2018-08-11_2018-08-15|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2019-12-12_2019-12-16|2020-01-15_2020-01-19|2020-03-12_2020-03-16|2020-06-11_2020-06-15|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2021-04-14_2021-04-18|2021-08-12_2021-08-16|2021-09-15_2021-09-19|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-02-11_2022-02-15|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-09-14_2022-09-18|2022-11-11_2022-11-15|2023-01-13_2023-01-17|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-08-15_2024-08-19|2024-11-14_2024-11-18|2025-01-16_2025-01-20|2025-05-14_2025-05-18|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.3,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-13_2020-08-17|2021-05-13_2021-05-17
