آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Bad,8,6,2,75.0,25.0,3.0,2020-09-11_2020-09-20|2021-06-16_2021-06-25|2021-09-11_2021-09-20|2023-02-17_2023-02-26|2023-08-12_2023-08-21|2024-03-15_2024-03-24|2024-05-15_2024-05-24|2024-09-13_2024-09-22
0.0,1,Core PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2022-01-14_2022-01-23|2023-01-19_2023-01-28|2023-05-12_2023-05-21|2023-09-15_2023-09-24|2026-01-15_2026-01-24
0.0,1,Core PPI m/m,Good,11,9,2,81.8,18.2,4.5,2022-05-13_2022-05-22|2022-07-15_2022-07-24|2023-04-14_2023-04-23|2023-07-14_2023-07-23|2024-01-13_2024-01-22|2024-06-14_2024-06-23|2024-08-14_2024-08-23|2025-03-14_2025-03-23|2025-06-13_2025-06-22|2025-09-11_2025-09-20|2025-11-26_2025-12-05
0.1,1,Core PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2020-09-11_2020-09-20|2021-06-16_2021-06-25|2023-02-17_2023-02-26|2024-05-15_2024-05-24
0.1,1,Core PPI m/m,Neutral,12,9,3,75.0,25.0,3.0,2021-09-11_2021-09-20|2022-01-14_2022-01-23|2022-07-15_2022-07-24|2023-01-19_2023-01-28|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2023-09-15_2023-09-24|2024-03-15_2024-03-24|2024-09-13_2024-09-22|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.1,1,Core PPI m/m,Good,8,7,1,87.5,12.5,7.0,2022-05-13_2022-05-22|2023-04-14_2023-04-23|2024-01-13_2024-01-22|2024-06-14_2024-06-23|2024-08-14_2024-08-23|2025-03-14_2025-03-23|2025-06-13_2025-06-22|2025-09-11_2025-09-20
0.2,1,Core PPI m/m,Neutral,19,15,4,78.9,21.1,3.75,2020-09-11_2020-09-20|2021-06-16_2021-06-25|2021-09-11_2021-09-20|2022-01-14_2022-01-23|2022-05-13_2022-05-22|2022-07-15_2022-07-24|2023-01-19_2023-01-28|2023-02-17_2023-02-26|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2023-09-15_2023-09-24|2024-01-13_2024-01-22|2024-03-15_2024-03-24|2024-08-14_2024-08-23|2024-09-13_2024-09-22|2025-06-13_2025-06-22|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.2,1,Core PPI m/m,Good,4,4,0,100.0,0.0,inf,2023-04-14_2023-04-23|2024-06-14_2024-06-23|2025-03-14_2025-03-23|2025-09-11_2025-09-20
0.2,1,Core PPI m/m,Bad,1,0,1,0.0,100.0,0.0,2024-05-15_2024-05-24
0.3,1,Core PPI m/m,Neutral,21,16,5,76.2,23.8,3.2,2020-09-11_2020-09-20|2021-06-16_2021-06-25|2021-09-11_2021-09-20|2022-01-14_2022-01-23|2022-05-13_2022-05-22|2022-07-15_2022-07-24|2023-01-19_2023-01-28|2023-02-17_2023-02-26|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2023-09-15_2023-09-24|2024-01-13_2024-01-22|2024-03-15_2024-03-24|2024-05-15_2024-05-24|2024-06-14_2024-06-23|2024-08-14_2024-08-23|2024-09-13_2024-09-22|2025-06-13_2025-06-22|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.3,1,Core PPI m/m,Good,3,3,0,100.0,0.0,inf,2023-04-14_2023-04-23|2025-03-14_2025-03-23|2025-09-11_2025-09-20
