آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Bad,6,4,2,66.7,33.3,2.0,2018-01-13_2018-01-17|2018-02-15_2018-02-19|2020-08-13_2020-08-17|2022-05-12_2022-05-16|2024-03-13_2024-03-17|2024-10-11_2024-10-15
0.0,1,Core CPI m/m,Neutral,8,5,3,62.5,37.5,1.67,2018-07-13_2018-07-17|2020-02-14_2020-02-18|2020-03-12_2020-03-16|2021-10-14_2021-10-18|2021-12-11_2021-12-15|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-08-11_2023-08-15
0.0,1,Core CPI m/m,Good,9,5,4,55.6,44.4,1.25,2018-09-14_2018-09-18|2019-05-11_2019-05-15|2020-05-13_2020-05-17|2020-06-11_2020-06-15|2020-11-13_2020-11-17|2021-03-11_2021-03-15|2024-06-13_2024-06-17|2025-01-16_2025-01-20|2025-10-25_2025-10-29
0.1,1,Core CPI m/m,Neutral,18,11,7,61.1,38.9,1.57,2018-01-13_2018-01-17|2018-02-15_2018-02-19|2018-07-13_2018-07-17|2018-09-14_2018-09-18|2019-05-11_2019-05-15|2020-02-14_2020-02-18|2020-03-12_2020-03-16|2020-06-11_2020-06-15|2021-03-11_2021-03-15|2021-10-14_2021-10-18|2021-12-11_2021-12-15|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-08-11_2023-08-15|2024-06-13_2024-06-17|2024-10-11_2024-10-15|2025-01-16_2025-01-20|2025-10-25_2025-10-29
0.1,1,Core CPI m/m,Good,2,2,0,100.0,0.0,inf,2020-05-13_2020-05-17|2020-11-13_2020-11-17
0.1,1,Core CPI m/m,Bad,3,1,2,33.3,66.7,0.5,2020-08-13_2020-08-17|2022-05-12_2022-05-16|2024-03-13_2024-03-17
0.2,1,Core CPI m/m,Neutral,22,13,9,59.1,40.9,1.44,2018-01-13_2018-01-17|2018-02-15_2018-02-19|2018-07-13_2018-07-17|2018-09-14_2018-09-18|2019-05-11_2019-05-15|2020-02-14_2020-02-18|2020-03-12_2020-03-16|2020-05-13_2020-05-17|2020-06-11_2020-06-15|2020-11-13_2020-11-17|2021-03-11_2021-03-15|2021-10-14_2021-10-18|2021-12-11_2021-12-15|2022-05-12_2022-05-16|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-08-11_2023-08-15|2024-03-13_2024-03-17|2024-06-13_2024-06-17|2024-10-11_2024-10-15|2025-01-16_2025-01-20|2025-10-25_2025-10-29
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-08-17
0.3,1,Core CPI m/m,Neutral,22,13,9,59.1,40.9,1.44,2018-01-13_2018-01-17|2018-02-15_2018-02-19|2018-07-13_2018-07-17|2018-09-14_2018-09-18|2019-05-11_2019-05-15|2020-02-14_2020-02-18|2020-03-12_2020-03-16|2020-05-13_2020-05-17|2020-06-11_2020-06-15|2020-11-13_2020-11-17|2021-03-11_2021-03-15|2021-10-14_2021-10-18|2021-12-11_2021-12-15|2022-05-12_2022-05-16|2023-01-13_2023-01-17|2023-02-15_2023-02-19|2023-08-11_2023-08-15|2024-03-13_2024-03-17|2024-06-13_2024-06-17|2024-10-11_2024-10-15|2025-01-16_2025-01-20|2025-10-25_2025-10-29
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-08-17
