آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-09-15_2023-09-24|2024-10-12_2024-10-21
0.0,1,Core PPI m/m,Good,4,2,2,50.0,50.0,1.0,2024-01-13_2024-01-22|2025-05-16_2025-05-25|2025-07-17_2025-07-26|2025-09-11_2025-09-20
0.0,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2024-05-15_2024-05-24|2025-08-15_2025-08-24|2026-02-28_2026-03-09
0.1,1,Core PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-09-15_2023-09-24|2024-10-12_2024-10-21
0.1,1,Core PPI m/m,Good,4,2,2,50.0,50.0,1.0,2024-01-13_2024-01-22|2025-05-16_2025-05-25|2025-07-17_2025-07-26|2025-09-11_2025-09-20
0.1,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2024-05-15_2024-05-24|2025-08-15_2025-08-24|2026-02-28_2026-03-09
0.2,1,Core PPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2023-09-15_2023-09-24|2024-01-13_2024-01-22|2024-10-12_2024-10-21|2025-07-17_2025-07-26
0.2,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2024-05-15_2024-05-24|2025-08-15_2025-08-24|2026-02-28_2026-03-09
0.2,1,Core PPI m/m,Good,2,2,0,100.0,0.0,inf,2025-05-16_2025-05-25|2025-09-11_2025-09-20
0.3,1,Core PPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2023-09-15_2023-09-24|2024-01-13_2024-01-22|2024-05-15_2024-05-24|2024-10-12_2024-10-21|2025-07-17_2025-07-26
0.3,1,Core PPI m/m,Good,2,2,0,100.0,0.0,inf,2025-05-16_2025-05-25|2025-09-11_2025-09-20
0.3,1,Core PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2025-08-15_2025-08-24|2026-02-28_2026-03-09
