آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,10,8,2,80.0,20.0,4.0,2022-01-21_2022-01-25|2023-09-15_2023-09-19|2024-03-15_2024-03-19|2024-06-07_2024-06-11|2025-01-24_2025-01-28|2025-06-13_2025-06-17|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-04-24_2026-04-28|2026-06-12_2026-06-16
0.0,1,FOMC,Bad,2,1,1,50.0,50.0,1.0,2022-09-16_2022-09-20|2023-07-21_2023-07-25
0.0,1,FOMC,Good,5,3,2,60.0,40.0,1.5,2024-11-02_2024-11-06|2024-12-13_2024-12-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.1,1,FOMC,Neutral,10,8,2,80.0,20.0,4.0,2022-01-21_2022-01-25|2023-09-15_2023-09-19|2024-03-15_2024-03-19|2024-06-07_2024-06-11|2025-01-24_2025-01-28|2025-06-13_2025-06-17|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-04-24_2026-04-28|2026-06-12_2026-06-16
0.1,1,FOMC,Bad,2,1,1,50.0,50.0,1.0,2022-09-16_2022-09-20|2023-07-21_2023-07-25
0.1,1,FOMC,Good,5,3,2,60.0,40.0,1.5,2024-11-02_2024-11-06|2024-12-13_2024-12-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.2,1,FOMC,Neutral,10,8,2,80.0,20.0,4.0,2022-01-21_2022-01-25|2023-09-15_2023-09-19|2024-03-15_2024-03-19|2024-06-07_2024-06-11|2025-01-24_2025-01-28|2025-06-13_2025-06-17|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-04-24_2026-04-28|2026-06-12_2026-06-16
0.2,1,FOMC,Bad,2,1,1,50.0,50.0,1.0,2022-09-16_2022-09-20|2023-07-21_2023-07-25
0.2,1,FOMC,Good,5,3,2,60.0,40.0,1.5,2024-11-02_2024-11-06|2024-12-13_2024-12-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.3,1,FOMC,Neutral,16,11,5,68.8,31.2,2.2,2022-01-21_2022-01-25|2023-07-21_2023-07-25|2023-09-15_2023-09-19|2024-03-15_2024-03-19|2024-06-07_2024-06-11|2024-11-02_2024-11-06|2024-12-13_2024-12-17|2025-01-24_2025-01-28|2025-06-13_2025-06-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2025-12-05_2025-12-09|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-04-24_2026-04-28|2026-06-12_2026-06-16
0.3,1,FOMC,Bad,1,1,0,100.0,0.0,inf,2022-09-16_2022-09-20
