آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,15,10,5,66.7,33.3,2.0,2018-08-09_2018-08-13|2019-06-10_2019-06-14|2020-01-11_2020-01-15|2020-10-12_2020-10-16|2021-01-10_2021-01-14|2021-02-09_2021-02-13|2023-08-08_2023-08-12|2024-09-11_2024-09-15|2025-08-12_2025-08-16|2026-01-09_2026-01-13|2019-03-12_2019-03-16|2021-03-06_2021-03-10|2023-01-10_2023-01-14|2024-08-12_2024-08-16|2025-01-14_2025-01-18
0.0,1,CPI m/m,Good,15,11,4,73.3,26.7,2.75,2018-10-08_2018-10-12|2020-04-10_2020-04-14|2020-06-09_2020-06-13|2020-11-11_2020-11-15|2022-08-08_2022-08-12|2022-12-11_2022-12-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2018-09-13_2018-09-17|2019-05-06_2019-05-10|2021-09-12_2021-09-16|2024-05-14_2024-05-18|2024-06-08_2024-06-12
0.0,1,CPI m/m,Bad,14,9,5,64.3,35.7,1.8,2019-04-06_2019-04-10|2019-12-07_2019-12-11|2021-11-06_2021-11-10|2022-07-09_2022-07-13|2022-10-12_2022-10-16|2024-02-09_2024-02-13|2024-04-09_2024-04-13|2020-07-14_2020-07-18|2021-07-09_2021-07-13|2021-10-12_2021-10-16|2022-06-09_2022-06-13|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-10-06_2024-10-10
0.1,1,CPI m/m,Neutral,28,18,10,64.3,35.7,1.8,2018-08-09_2018-08-13|2018-10-08_2018-10-12|2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-01-11_2020-01-15|2020-06-09_2020-06-13|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-02-09_2021-02-13|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-02-09_2024-02-13|2024-09-11_2024-09-15|2025-06-08_2025-06-12|2025-08-12_2025-08-16|2026-01-09_2026-01-13|2018-09-13_2018-09-17|2019-03-12_2019-03-16|2020-07-14_2020-07-18|2021-03-06_2021-03-10|2023-01-10_2023-01-14|2024-01-10_2024-01-14|2024-06-08_2024-06-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18
0.1,1,CPI m/m,Bad,9,6,3,66.7,33.3,2.0,2019-04-06_2019-04-10|2021-11-06_2021-11-10|2022-07-09_2022-07-13|2022-10-12_2022-10-16|2024-04-09_2024-04-13|2021-07-09_2021-07-13|2021-10-12_2021-10-16|2022-06-09_2022-06-13|2023-10-12_2023-10-16
0.1,1,CPI m/m,Good,7,6,1,85.7,14.3,6.0,2020-04-10_2020-04-14|2022-08-08_2022-08-12|2022-12-11_2022-12-15|2025-04-09_2025-04-13|2019-05-06_2019-05-10|2021-09-12_2021-09-16|2024-05-14_2024-05-18
0.2,1,CPI m/m,Neutral,41,28,13,68.3,31.7,2.15,2018-08-09_2018-08-13|2018-10-08_2018-10-12|2019-04-06_2019-04-10|2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-01-11_2020-01-15|2020-04-10_2020-04-14|2020-06-09_2020-06-13|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-02-09_2021-02-13|2022-07-09_2022-07-13|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2022-12-11_2022-12-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-02-09_2024-02-13|2024-04-09_2024-04-13|2024-09-11_2024-09-15|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2025-08-12_2025-08-16|2026-01-09_2026-01-13|2018-09-13_2018-09-17|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2020-07-14_2020-07-18|2021-03-06_2021-03-10|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2023-01-10_2023-01-14|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18
0.2,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-11-06_2021-11-10|2021-07-09_2021-07-13|2022-06-09_2022-06-13
0.3,1,CPI m/m,Neutral,41,28,13,68.3,31.7,2.15,2018-08-09_2018-08-13|2018-10-08_2018-10-12|2019-04-06_2019-04-10|2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-01-11_2020-01-15|2020-04-10_2020-04-14|2020-06-09_2020-06-13|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-02-09_2021-02-13|2022-07-09_2022-07-13|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2022-12-11_2022-12-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2024-02-09_2024-02-13|2024-04-09_2024-04-13|2024-09-11_2024-09-15|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2025-08-12_2025-08-16|2026-01-09_2026-01-13|2018-09-13_2018-09-17|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2020-07-14_2020-07-18|2021-03-06_2021-03-10|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2023-01-10_2023-01-14|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18
0.3,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-11-06_2021-11-10|2021-07-09_2021-07-13|2022-06-09_2022-06-13
