آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Neutral,9,5,4,55.6,44.4,1.25,2018-02-15_2018-02-24|2019-07-12_2019-07-21|2020-12-11_2020-12-20|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2023-12-13_2023-12-22|2024-11-14_2024-11-23|2026-01-14_2026-01-23
0.0,1,PPI m/m,Bad,27,17,10,63.0,37.0,1.7,2018-03-14_2018-03-23|2018-06-13_2018-06-22|2019-04-11_2019-04-20|2020-02-14_2020-02-23|2020-06-11_2020-06-20|2021-03-11_2021-03-20|2021-05-13_2021-05-22|2021-06-11_2021-06-20|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-12-12_2024-12-21|2025-08-13_2025-08-22|2021-07-14_2021-07-23|2022-07-14_2022-07-23|2025-02-13_2025-02-22|2019-11-14_2019-11-23|2020-10-14_2020-10-23|2020-11-13_2020-11-22
0.0,1,PPI m/m,Good,28,17,11,60.7,39.3,1.55,2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-12-12_2019-12-21|2020-03-12_2020-03-21|2020-05-13_2020-05-22|2021-01-14_2021-01-23|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-11-15_2023-11-24|2024-01-12_2024-01-21|2024-04-11_2024-04-20|2024-06-13_2024-06-22|2024-10-11_2024-10-20|2025-03-13_2025-03-22|2025-04-11_2025-04-20|2025-05-14_2025-05-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2023-01-13_2023-01-22
0.1,1,PPI m/m,Neutral,23,14,9,60.9,39.1,1.56,2018-02-15_2018-02-24|2018-03-14_2018-03-23|2019-01-12_2019-01-21|2019-03-13_2019-03-22|2019-07-12_2019-07-21|2020-12-11_2020-12-20|2021-03-11_2021-03-20|2021-10-14_2021-10-23|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-04-11_2024-04-20|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-11-14_2024-11-23|2025-06-12_2025-06-21|2026-01-14_2026-01-23|2020-11-13_2020-11-22
0.1,1,PPI m/m,Bad,21,14,7,66.7,33.3,2.0,2018-06-13_2018-06-22|2019-04-11_2019-04-20|2020-02-14_2020-02-23|2020-06-11_2020-06-20|2021-05-13_2021-05-22|2021-06-11_2021-06-20|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-12-12_2024-12-21|2025-08-13_2025-08-22|2021-07-14_2021-07-23|2022-07-14_2022-07-23|2025-02-13_2025-02-22|2019-11-14_2019-11-23|2020-10-14_2020-10-23
0.1,1,PPI m/m,Good,20,11,9,55.0,45.0,1.22,2019-02-14_2019-02-23|2019-12-12_2019-12-21|2020-03-12_2020-03-21|2020-05-13_2020-05-22|2021-01-14_2021-01-23|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2023-04-13_2023-04-22|2023-06-14_2023-06-23|2023-11-15_2023-11-24|2024-01-12_2024-01-21|2024-06-13_2024-06-22|2025-03-13_2025-03-22|2025-04-11_2025-04-20|2025-05-14_2025-05-23|2025-07-16_2025-07-25|2023-01-13_2023-01-22
0.2,1,PPI m/m,Neutral,38,21,17,55.3,44.7,1.24,2018-02-15_2018-02-24|2018-03-14_2018-03-23|2018-06-13_2018-06-22|2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-07-12_2019-07-21|2019-12-12_2019-12-21|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2022-11-11_2022-11-20|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-01-12_2024-01-21|2024-02-14_2024-02-23|2024-04-11_2024-04-20|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-11-14_2024-11-23|2024-12-12_2024-12-21|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2026-01-14_2026-01-23|2025-02-13_2025-02-22|2019-11-14_2019-11-23|2020-10-14_2020-10-23|2020-11-13_2020-11-22
0.2,1,PPI m/m,Bad,15,11,4,73.3,26.7,2.75,2019-04-11_2019-04-20|2020-02-14_2020-02-23|2020-06-11_2020-06-20|2021-05-13_2021-05-22|2021-06-11_2021-06-20|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-03-13_2024-03-22|2025-08-13_2025-08-22|2021-07-14_2021-07-23|2022-07-14_2022-07-23
0.2,1,PPI m/m,Good,11,7,4,63.6,36.4,1.75,2020-03-12_2020-03-21|2020-05-13_2020-05-22|2022-08-11_2022-08-20|2023-03-15_2023-03-24|2023-04-13_2023-04-22|2023-11-15_2023-11-24|2024-06-13_2024-06-22|2025-03-13_2025-03-22|2025-04-11_2025-04-20|2025-05-14_2025-05-23|2023-01-13_2023-01-22
0.3,1,PPI m/m,Neutral,45,27,18,60.0,40.0,1.5,2018-02-15_2018-02-24|2018-03-14_2018-03-23|2018-06-13_2018-06-22|2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-04-11_2019-04-20|2019-07-12_2019-07-21|2019-12-12_2019-12-21|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2021-05-13_2021-05-22|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-04-13_2022-04-22|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2022-11-11_2022-11-20|2023-02-15_2023-02-24|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2023-12-13_2023-12-22|2024-01-12_2024-01-21|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-04-11_2024-04-20|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-11-14_2024-11-23|2024-12-12_2024-12-21|2025-03-13_2025-03-22|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2026-01-14_2026-01-23|2025-02-13_2025-02-22|2019-11-14_2019-11-23|2020-10-14_2020-10-23|2020-11-13_2020-11-22
