آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Bad,13,8,5,61.5,38.5,1.6,2020-08-12_2020-08-16|2021-06-16_2021-06-20|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2022-09-15_2022-09-19|2023-02-17_2023-02-21|2023-08-12_2023-08-16|2024-02-17_2024-02-21|2024-03-15_2024-03-19|2024-05-15_2024-05-19|2025-08-15_2025-08-19|2026-01-31_2026-02-04|2026-02-28_2026-03-04
0.0,1,Core PPI m/m,Good,15,11,4,73.3,26.7,2.75,2020-11-14_2020-11-18|2020-12-12_2020-12-16|2021-10-15_2021-10-19|2021-11-10_2021-11-14|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2022-11-16_2022-11-20|2023-07-14_2023-07-18|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-06-14_2024-06-18|2025-06-13_2025-06-17|2025-07-17_2025-07-21|2025-09-11_2025-09-15|2025-11-26_2025-11-30
0.0,1,Core PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2022-01-14_2022-01-18|2022-10-13_2022-10-17|2023-09-15_2023-09-19|2024-12-13_2024-12-17
0.1,1,Core PPI m/m,Bad,11,7,4,63.6,36.4,1.75,2020-08-12_2020-08-16|2021-06-16_2021-06-20|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2022-09-15_2022-09-19|2023-02-17_2023-02-21|2024-02-17_2024-02-21|2024-05-15_2024-05-19|2025-08-15_2025-08-19|2026-01-31_2026-02-04|2026-02-28_2026-03-04
0.1,1,Core PPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2020-11-14_2020-11-18|2020-12-12_2020-12-16|2021-11-10_2021-11-14|2022-01-14_2022-01-18|2022-10-13_2022-10-17|2023-07-14_2023-07-18|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2024-03-15_2024-03-19|2024-12-13_2024-12-17|2025-11-26_2025-11-30
0.1,1,Core PPI m/m,Good,10,7,3,70.0,30.0,2.33,2021-10-15_2021-10-19|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2022-11-16_2022-11-20|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-06-14_2024-06-18|2025-06-13_2025-06-17|2025-07-17_2025-07-21|2025-09-11_2025-09-15
0.2,1,Core PPI m/m,Bad,8,5,3,62.5,37.5,1.67,2020-08-12_2020-08-16|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2024-02-17_2024-02-21|2024-05-15_2024-05-19|2025-08-15_2025-08-19|2026-01-31_2026-02-04|2026-02-28_2026-03-04
0.2,1,Core PPI m/m,Neutral,20,14,6,70.0,30.0,2.33,2020-11-14_2020-11-18|2020-12-12_2020-12-16|2021-06-16_2021-06-20|2021-11-10_2021-11-14|2022-01-14_2022-01-18|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2022-09-15_2022-09-19|2022-10-13_2022-10-17|2023-02-17_2023-02-21|2023-07-14_2023-07-18|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-03-15_2024-03-19|2024-12-13_2024-12-17|2025-06-13_2025-06-17|2025-07-17_2025-07-21|2025-11-26_2025-11-30
0.2,1,Core PPI m/m,Good,4,3,1,75.0,25.0,3.0,2021-10-15_2021-10-19|2022-11-16_2022-11-20|2024-06-14_2024-06-18|2025-09-11_2025-09-15
0.3,1,Core PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2020-08-12_2020-08-16|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2024-02-17_2024-02-21|2025-08-15_2025-08-19|2026-01-31_2026-02-04|2026-02-28_2026-03-04
0.3,1,Core PPI m/m,Neutral,24,16,8,66.7,33.3,2.0,2020-11-14_2020-11-18|2020-12-12_2020-12-16|2021-06-16_2021-06-20|2021-10-15_2021-10-19|2021-11-10_2021-11-14|2022-01-14_2022-01-18|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2022-09-15_2022-09-19|2022-10-13_2022-10-17|2022-11-16_2022-11-20|2023-02-17_2023-02-21|2023-07-14_2023-07-18|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-03-15_2024-03-19|2024-05-15_2024-05-19|2024-06-14_2024-06-18|2024-12-13_2024-12-17|2025-06-13_2025-06-17|2025-07-17_2025-07-21|2025-11-26_2025-11-30
0.3,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
