آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Bad,15,12,3,80.0,20.0,4.0,2020-08-13_2020-09-11|2021-06-11_2021-07-10|2021-10-14_2021-11-12|2021-11-11_2021-12-10|2022-02-11_2022-03-12|2022-04-13_2022-05-12|2022-05-12_2022-06-10|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2023-02-15_2023-03-16|2023-09-14_2023-10-13|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2025-07-16_2025-08-14
0.0,1,CPI y/y,Good,10,6,4,60.0,40.0,1.5,2020-11-13_2020-12-12|2022-08-11_2022-09-09|2022-11-11_2022-12-10|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2024-06-13_2024-07-12|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.0,1,CPI y/y,Neutral,6,3,3,50.0,50.0,1.0,2020-12-11_2021-01-09|2022-01-13_2022-02-11|2023-12-13_2024-01-11|2024-05-16_2024-06-14|2024-12-12_2025-01-10|2026-01-14_2026-02-12
0.1,1,CPI y/y,Bad,13,10,3,76.9,23.1,3.33,2020-08-13_2020-09-11|2021-06-11_2021-07-10|2021-10-14_2021-11-12|2021-11-11_2021-12-10|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2022-09-14_2022-10-13|2023-02-15_2023-03-16|2023-09-14_2023-10-13|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2025-07-16_2025-08-14
0.1,1,CPI y/y,Good,8,4,4,50.0,50.0,1.0,2020-11-13_2020-12-12|2022-08-11_2022-09-09|2022-11-11_2022-12-10|2023-07-13_2023-08-11|2024-06-13_2024-07-12|2025-06-12_2025-07-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.1,1,CPI y/y,Neutral,10,7,3,70.0,30.0,2.33,2020-12-11_2021-01-09|2022-01-13_2022-02-11|2022-04-13_2022-05-12|2022-10-14_2022-11-12|2023-08-11_2023-09-09|2023-12-13_2024-01-11|2024-05-16_2024-06-14|2024-12-12_2025-01-10|2025-08-13_2025-09-11|2026-01-14_2026-02-12
0.2,1,CPI y/y,Bad,8,6,2,75.0,25.0,3.0,2020-08-13_2020-09-11|2021-06-11_2021-07-10|2021-11-11_2021-12-10|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2022-09-14_2022-10-13|2023-02-15_2023-03-16|2024-02-14_2024-03-14
0.2,1,CPI y/y,Neutral,22,15,7,68.2,31.8,2.14,2020-11-13_2020-12-12|2020-12-11_2021-01-09|2021-10-14_2021-11-12|2022-01-13_2022-02-11|2022-04-13_2022-05-12|2022-08-11_2022-09-09|2022-10-14_2022-11-12|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-03-13_2024-04-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-12-12_2025-01-10|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.2,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2022-11-11_2022-12-10
0.3,1,CPI y/y,Bad,1,0,1,0.0,100.0,0.0,2020-08-13_2020-09-11
0.3,1,CPI y/y,Neutral,30,21,9,70.0,30.0,2.33,2020-11-13_2020-12-12|2020-12-11_2021-01-09|2021-06-11_2021-07-10|2021-10-14_2021-11-12|2021-11-11_2021-12-10|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-04-13_2022-05-12|2022-05-12_2022-06-10|2022-08-11_2022-09-09|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2022-11-11_2022-12-10|2023-02-15_2023-03-16|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-12-12_2025-01-10|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15
