آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,9,4,5,44.4,55.6,0.8,2018-03-14_2018-03-18|2020-10-14_2020-10-18|2023-03-15_2023-03-19|2023-08-11_2023-08-15|2024-03-13_2024-03-17|2024-08-15_2024-08-19|2024-12-12_2024-12-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17
0.0,1,CPI m/m,Good,14,7,7,50.0,50.0,1.0,2018-05-11_2018-05-15|2018-10-12_2018-10-16|2020-06-11_2020-06-15|2023-04-13_2023-04-17|2023-07-13_2023-07-17|2023-11-15_2023-11-19|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-10-25_2025-10-29|2026-02-14_2026-02-18
0.0,1,CPI m/m,Bad,16,12,4,75.0,25.0,3.0,2019-04-11_2019-04-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-08-13_2020-08-17|2020-09-12_2020-09-16|2020-12-11_2020-12-15|2021-10-14_2021-10-18|2022-02-11_2022-02-15|2022-06-11_2022-06-15|2022-07-14_2022-07-18|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-04-11_2024-04-15|2024-10-11_2024-10-15|2025-09-12_2025-09-16
0.1,1,CPI m/m,Neutral,25,14,11,56.0,44.0,1.27,2018-03-14_2018-03-18|2018-05-11_2018-05-15|2018-10-12_2018-10-16|2019-12-12_2019-12-16|2020-06-11_2020-06-15|2020-10-14_2020-10-18|2020-12-11_2020-12-15|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-06-13_2024-06-17|2024-08-15_2024-08-19|2024-10-11_2024-10-15|2024-12-12_2024-12-16|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2026-02-14_2026-02-18
0.1,1,CPI m/m,Bad,10,6,4,60.0,40.0,1.5,2019-04-11_2019-04-15|2019-11-14_2019-11-18|2020-08-13_2020-08-17|2020-09-12_2020-09-16|2021-10-14_2021-10-18|2022-02-11_2022-02-15|2022-06-11_2022-06-15|2022-07-14_2022-07-18|2024-04-11_2024-04-15|2025-09-12_2025-09-16
0.1,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2024-05-16_2024-05-20|2024-07-12_2024-07-16|2025-04-11_2025-04-15|2025-10-25_2025-10-29
0.2,1,CPI m/m,Neutral,37,21,16,56.8,43.2,1.31,2018-03-14_2018-03-18|2018-05-11_2018-05-15|2018-10-12_2018-10-16|2019-04-11_2019-04-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-06-11_2020-06-15|2020-09-12_2020-09-16|2020-10-14_2020-10-18|2020-12-11_2020-12-15|2021-10-14_2021-10-18|2022-02-11_2022-02-15|2022-07-14_2022-07-18|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-08-15_2024-08-19|2024-10-11_2024-10-15|2024-12-12_2024-12-16|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-02-14_2026-02-18
0.2,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-13_2020-08-17|2022-06-11_2022-06-15
0.3,1,CPI m/m,Neutral,38,22,16,57.9,42.1,1.38,2018-03-14_2018-03-18|2018-05-11_2018-05-15|2018-10-12_2018-10-16|2019-04-11_2019-04-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-06-11_2020-06-15|2020-08-13_2020-08-17|2020-09-12_2020-09-16|2020-10-14_2020-10-18|2020-12-11_2020-12-15|2021-10-14_2021-10-18|2022-02-11_2022-02-15|2022-07-14_2022-07-18|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-11-15_2023-11-19|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-08-15_2024-08-19|2024-10-11_2024-10-15|2024-12-12_2024-12-16|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-02-14_2026-02-18
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-11_2022-06-15
