آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Neutral,11,4,7,36.4,63.6,0.57,2018-05-10_2018-05-14|2018-10-11_2018-10-15|2019-06-12_2019-06-16|2020-06-12_2020-06-16|2021-03-13_2021-03-17|2022-10-13_2022-10-17|2023-01-19_2023-01-23|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-09-15_2023-09-19|2024-10-12_2024-10-16
0.0,1,Core PPI m/m,Bad,20,9,11,45.0,55.0,0.82,2018-06-14_2018-06-18|2018-07-12_2018-07-16|2018-12-12_2018-12-16|2019-04-12_2019-04-16|2019-07-13_2019-07-17|2019-11-15_2019-11-19|2020-08-12_2020-08-16|2020-09-11_2020-09-15|2020-10-15_2020-10-19|2021-08-13_2021-08-17|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-09-15_2022-09-19|2023-02-17_2023-02-21|2023-08-12_2023-08-16|2023-10-12_2023-10-16|2024-05-15_2024-05-19|2024-07-13_2024-07-17|2024-09-13_2024-09-17|2026-02-28_2026-03-04
0.0,1,Core PPI m/m,Good,25,14,11,56.0,44.0,1.27,2018-09-13_2018-09-17|2019-01-16_2019-01-20|2019-05-10_2019-05-14|2019-08-10_2019-08-14|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2020-01-16_2020-01-20|2020-11-14_2020-11-18|2022-03-16_2022-03-20|2022-05-13_2022-05-17|2022-07-15_2022-07-19|2022-08-12_2022-08-16|2022-11-16_2022-11-20|2023-03-16_2023-03-20|2023-04-14_2023-04-18|2023-07-14_2023-07-18|2023-12-14_2023-12-18|2024-06-14_2024-06-18|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-03-14_2025-03-18|2025-04-12_2025-04-16|2025-05-16_2025-05-20|2025-09-11_2025-09-15|2025-11-26_2025-11-30
0.1,1,Core PPI m/m,Neutral,25,12,13,48.0,52.0,0.92,2018-05-10_2018-05-14|2018-06-14_2018-06-18|2018-07-12_2018-07-16|2018-10-11_2018-10-15|2019-04-12_2019-04-16|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-07-13_2019-07-17|2019-11-15_2019-11-19|2020-01-16_2020-01-20|2020-06-12_2020-06-16|2020-11-14_2020-11-18|2021-03-13_2021-03-17|2022-07-15_2022-07-19|2022-10-13_2022-10-17|2023-01-19_2023-01-23|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-07-14_2023-07-18|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2023-10-12_2023-10-16|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2025-11-26_2025-11-30
0.1,1,Core PPI m/m,Good,19,10,9,52.6,47.4,1.11,2018-09-13_2018-09-17|2019-01-16_2019-01-20|2019-08-10_2019-08-14|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2022-03-16_2022-03-20|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2022-11-16_2022-11-20|2023-03-16_2023-03-20|2023-04-14_2023-04-18|2023-12-14_2023-12-18|2024-06-14_2024-06-18|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-03-14_2025-03-18|2025-04-12_2025-04-16|2025-05-16_2025-05-20|2025-09-11_2025-09-15
0.1,1,Core PPI m/m,Bad,12,5,7,41.7,58.3,0.71,2018-12-12_2018-12-16|2020-08-12_2020-08-16|2020-09-11_2020-09-15|2020-10-15_2020-10-19|2021-08-13_2021-08-17|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-09-15_2022-09-19|2023-02-17_2023-02-21|2024-05-15_2024-05-19|2024-07-13_2024-07-17|2026-02-28_2026-03-04
0.2,1,Core PPI m/m,Neutral,36,17,19,47.2,52.8,0.89,2018-05-10_2018-05-14|2018-06-14_2018-06-18|2018-07-12_2018-07-16|2018-10-11_2018-10-15|2018-12-12_2018-12-16|2019-04-12_2019-04-16|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-07-13_2019-07-17|2019-11-15_2019-11-19|2020-01-16_2020-01-20|2020-06-12_2020-06-16|2020-09-11_2020-09-15|2020-10-15_2020-10-19|2020-11-14_2020-11-18|2021-03-13_2021-03-17|2022-05-13_2022-05-17|2022-07-15_2022-07-19|2022-08-12_2022-08-16|2022-09-15_2022-09-19|2022-10-13_2022-10-17|2023-01-19_2023-01-23|2023-02-17_2023-02-21|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-07-14_2023-07-18|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2023-10-12_2023-10-16|2023-12-14_2023-12-18|2024-07-13_2024-07-17|2024-08-14_2024-08-18|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2025-01-15_2025-01-19|2025-11-26_2025-11-30
0.2,1,Core PPI m/m,Good,14,8,6,57.1,42.9,1.33,2018-09-13_2018-09-17|2019-01-16_2019-01-20|2019-08-10_2019-08-14|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2022-03-16_2022-03-20|2022-11-16_2022-11-20|2023-03-16_2023-03-20|2023-04-14_2023-04-18|2024-06-14_2024-06-18|2025-03-14_2025-03-18|2025-04-12_2025-04-16|2025-05-16_2025-05-20|2025-09-11_2025-09-15
0.2,1,Core PPI m/m,Bad,6,2,4,33.3,66.7,0.5,2020-08-12_2020-08-16|2021-08-13_2021-08-17|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2024-05-15_2024-05-19|2026-02-28_2026-03-04
0.3,1,Core PPI m/m,Neutral,40,19,21,47.5,52.5,0.9,2018-05-10_2018-05-14|2018-06-14_2018-06-18|2018-07-12_2018-07-16|2018-10-11_2018-10-15|2018-12-12_2018-12-16|2019-04-12_2019-04-16|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-07-13_2019-07-17|2019-11-15_2019-11-19|2020-01-16_2020-01-20|2020-06-12_2020-06-16|2020-09-11_2020-09-15|2020-10-15_2020-10-19|2020-11-14_2020-11-18|2021-03-13_2021-03-17|2021-12-15_2021-12-19|2022-05-13_2022-05-17|2022-07-15_2022-07-19|2022-08-12_2022-08-16|2022-09-15_2022-09-19|2022-10-13_2022-10-17|2022-11-16_2022-11-20|2023-01-19_2023-01-23|2023-02-17_2023-02-21|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-07-14_2023-07-18|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2023-10-12_2023-10-16|2023-12-14_2023-12-18|2024-05-15_2024-05-19|2024-06-14_2024-06-18|2024-07-13_2024-07-17|2024-08-14_2024-08-18|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2025-01-15_2025-01-19|2025-11-26_2025-11-30
