آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Bad,17,13,4,76.5,23.5,3.25,2018-02-15_2018-02-19|2019-02-14_2019-02-18|2019-04-11_2019-04-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-02-14_2020-02-18|2020-03-12_2020-03-16|2021-10-14_2021-10-18|2022-10-14_2022-10-18|2023-02-15_2023-02-19|2023-09-14_2023-09-18|2023-10-13_2023-10-17|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2025-07-16_2025-07-20
0.0,1,CPI y/y,Neutral,15,9,6,60.0,40.0,1.5,2018-07-13_2018-07-17|2019-01-12_2019-01-16|2020-07-15_2020-07-19|2020-10-14_2020-10-18|2021-02-11_2021-02-15|2021-09-15_2021-09-19|2021-12-11_2021-12-15|2022-03-11_2022-03-15|2023-03-15_2023-03-19|2023-12-13_2023-12-17|2024-05-16_2024-05-20|2024-09-12_2024-09-16|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-09-12_2025-09-16
0.0,1,CPI y/y,Good,23,14,9,60.9,39.1,1.56,2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-03-13_2019-03-17|2019-06-13_2019-06-17|2019-09-13_2019-09-17|2019-10-11_2019-10-15|2020-05-13_2020-05-17|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-08-13_2025-08-17|2025-10-25_2025-10-29|2025-12-19_2025-12-23|2026-02-14_2026-02-18
0.1,1,CPI y/y,Bad,14,11,3,78.6,21.4,3.67,2018-02-15_2018-02-19|2019-02-14_2019-02-18|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-02-14_2020-02-18|2021-10-14_2021-10-18|2023-02-15_2023-02-19|2023-09-14_2023-09-18|2023-10-13_2023-10-17|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2025-07-16_2025-07-20
0.1,1,CPI y/y,Neutral,25,13,12,52.0,48.0,1.08,2018-07-13_2018-07-17|2018-09-14_2018-09-18|2019-01-12_2019-01-16|2019-04-11_2019-04-15|2019-06-13_2019-06-17|2020-03-12_2020-03-16|2020-07-15_2020-07-19|2020-10-14_2020-10-18|2021-02-11_2021-02-15|2021-09-15_2021-09-19|2021-12-11_2021-12-15|2022-03-11_2022-03-15|2022-10-14_2022-10-18|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-08-11_2023-08-15|2023-12-13_2023-12-17|2024-05-16_2024-05-20|2024-09-12_2024-09-16|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-08-13_2025-08-17|2025-09-12_2025-09-16
0.1,1,CPI y/y,Good,16,12,4,75.0,25.0,3.0,2018-10-12_2018-10-16|2019-03-13_2019-03-17|2019-09-13_2019-09-17|2019-10-11_2019-10-15|2020-05-13_2020-05-17|2022-08-11_2022-08-15|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2023-07-13_2023-07-17|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-10-25_2025-10-29|2025-12-19_2025-12-23|2026-02-14_2026-02-18
0.2,1,CPI y/y,Bad,3,2,1,66.7,33.3,2.0,2018-02-15_2018-02-19|2023-02-15_2023-02-19|2024-02-14_2024-02-18
0.2,1,CPI y/y,Neutral,49,31,18,63.3,36.7,1.72,2018-07-13_2018-07-17|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-06-13_2019-06-17|2019-09-13_2019-09-17|2019-10-11_2019-10-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-02-14_2020-02-18|2020-03-12_2020-03-16|2020-05-13_2020-05-17|2020-07-15_2020-07-19|2020-10-14_2020-10-18|2021-02-11_2021-02-15|2021-09-15_2021-09-19|2021-10-14_2021-10-18|2021-12-11_2021-12-15|2022-03-11_2022-03-15|2022-08-11_2022-08-15|2022-10-14_2022-10-18|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2023-10-13_2023-10-17|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-02-14_2026-02-18
0.2,1,CPI y/y,Good,3,3,0,100.0,0.0,inf,2022-11-11_2022-11-15|2022-12-14_2022-12-18|2025-12-19_2025-12-23
0.3,1,CPI y/y,Neutral,54,35,19,64.8,35.2,1.84,2018-02-15_2018-02-19|2018-07-13_2018-07-17|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-06-13_2019-06-17|2019-09-13_2019-09-17|2019-10-11_2019-10-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-02-14_2020-02-18|2020-03-12_2020-03-16|2020-05-13_2020-05-17|2020-07-15_2020-07-19|2020-10-14_2020-10-18|2021-02-11_2021-02-15|2021-09-15_2021-09-19|2021-10-14_2021-10-18|2021-12-11_2021-12-15|2022-03-11_2022-03-15|2022-08-11_2022-08-15|2022-10-14_2022-10-18|2022-11-11_2022-11-15|2022-12-14_2022-12-18|2023-02-15_2023-02-19|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2023-10-13_2023-10-17|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-03-13_2024-03-17|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-06-13_2024-06-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-11-14_2024-11-18|2024-12-12_2024-12-16|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2025-08-13_2025-08-17|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-02-14_2026-02-18
