آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Good,32,20,12,62.5,37.5,1.67,2018-01-12_2018-01-26|2018-08-10_2018-08-24|2018-09-13_2018-09-27|2019-01-16_2019-01-30|2019-03-14_2019-03-28|2019-05-10_2019-05-24|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2020-01-16_2020-01-30|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2021-10-15_2021-10-29|2022-03-16_2022-03-30|2022-07-15_2022-07-29|2022-08-12_2022-08-26|2022-11-16_2022-11-30|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2023-07-14_2023-07-28|2023-11-16_2023-11-30|2023-12-14_2023-12-28|2024-01-13_2024-01-27|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2025-01-15_2025-01-29|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-09-11_2025-09-25|2025-11-26_2025-12-10
0.0,1,Core PPI m/m,Bad,29,19,10,65.5,34.5,1.9,2018-02-16_2018-03-02|2018-04-11_2018-04-25|2018-07-12_2018-07-26|2018-11-10_2018-11-24|2018-12-12_2018-12-26|2019-02-15_2019-03-01|2019-04-12_2019-04-26|2019-07-13_2019-07-27|2019-09-12_2019-09-26|2019-11-15_2019-11-29|2020-02-20_2020-03-05|2020-04-10_2020-04-24|2020-10-15_2020-10-29|2021-04-10_2021-04-24|2021-08-13_2021-08-27|2021-09-11_2021-09-25|2021-12-15_2021-12-29|2022-04-14_2022-04-28|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2024-02-17_2024-03-02|2024-03-15_2024-03-29|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-09-13_2024-09-27|2025-08-15_2025-08-29|2026-02-28_2026-03-14
0.0,1,Core PPI m/m,Neutral,13,5,8,38.5,61.5,0.63,2018-05-10_2018-05-24|2018-10-11_2018-10-25|2019-06-12_2019-06-26|2021-01-16_2021-01-30|2022-01-14_2022-01-28|2022-10-13_2022-10-27|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-09-15_2023-09-29|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28
0.1,1,Core PPI m/m,Good,25,16,9,64.0,36.0,1.78,2018-01-12_2018-01-26|2018-09-13_2018-09-27|2019-01-16_2019-01-30|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2020-03-13_2020-03-27|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2021-10-15_2021-10-29|2022-03-16_2022-03-30|2022-08-12_2022-08-26|2022-11-16_2022-11-30|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2023-11-16_2023-11-30|2023-12-14_2023-12-28|2024-01-13_2024-01-27|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2025-01-15_2025-01-29|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-09-11_2025-09-25
0.1,1,Core PPI m/m,Bad,17,9,8,52.9,47.1,1.13,2018-02-16_2018-03-02|2018-11-10_2018-11-24|2018-12-12_2018-12-26|2020-02-20_2020-03-05|2020-04-10_2020-04-24|2020-10-15_2020-10-29|2021-04-10_2021-04-24|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-04-14_2022-04-28|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2024-02-17_2024-03-02|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2025-08-15_2025-08-29|2026-02-28_2026-03-14
0.1,1,Core PPI m/m,Neutral,32,19,13,59.4,40.6,1.46,2018-04-11_2018-04-25|2018-05-10_2018-05-24|2018-07-12_2018-07-26|2018-08-10_2018-08-24|2018-10-11_2018-10-25|2019-02-15_2019-03-01|2019-03-14_2019-03-28|2019-04-12_2019-04-26|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-09-12_2019-09-26|2019-11-15_2019-11-29|2020-01-16_2020-01-30|2021-01-16_2021-01-30|2021-09-11_2021-09-25|2022-01-14_2022-01-28|2022-07-15_2022-07-29|2022-10-13_2022-10-27|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2023-10-12_2023-10-26|2024-03-15_2024-03-29|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2025-11-26_2025-12-10
0.2,1,Core PPI m/m,Good,17,10,7,58.8,41.2,1.43,2018-01-12_2018-01-26|2018-09-13_2018-09-27|2019-01-16_2019-01-30|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2020-03-13_2020-03-27|2020-07-11_2020-07-25|2021-10-15_2021-10-29|2022-03-16_2022-03-30|2022-11-16_2022-11-30|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.2,1,Core PPI m/m,Neutral,47,28,19,59.6,40.4,1.47,2018-02-16_2018-03-02|2018-04-11_2018-04-25|2018-05-10_2018-05-24|2018-07-12_2018-07-26|2018-08-10_2018-08-24|2018-10-11_2018-10-25|2018-12-12_2018-12-26|2019-02-15_2019-03-01|2019-03-14_2019-03-28|2019-04-12_2019-04-26|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-09-12_2019-09-26|2019-11-15_2019-11-29|2020-01-16_2020-01-30|2020-04-10_2020-04-24|2020-05-14_2020-05-28|2020-10-15_2020-10-29|2021-01-16_2021-01-30|2021-09-11_2021-09-25|2022-01-14_2022-01-28|2022-07-15_2022-07-29|2022-08-12_2022-08-26|2022-10-13_2022-10-27|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2023-10-12_2023-10-26|2023-12-14_2023-12-28|2024-01-13_2024-01-27|2024-03-15_2024-03-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-01-15_2025-01-29|2025-02-14_2025-02-28|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10
0.2,1,Core PPI m/m,Bad,10,6,4,60.0,40.0,1.5,2018-11-10_2018-11-24|2020-02-20_2020-03-05|2021-04-10_2021-04-24|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-04-14_2022-04-28|2024-02-17_2024-03-02|2024-05-15_2024-05-29|2025-08-15_2025-08-29|2026-02-28_2026-03-14
0.3,1,Core PPI m/m,Good,13,7,6,53.8,46.2,1.17,2018-01-12_2018-01-26|2018-09-13_2018-09-27|2019-01-16_2019-01-30|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2020-03-13_2020-03-27|2020-07-11_2020-07-25|2022-03-16_2022-03-30|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
