آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,23,16,7,69.6,30.4,2.29,2020-08-13_2020-09-11|2020-09-12_2020-10-11|2020-12-11_2021-01-09|2021-04-14_2021-05-13|2021-05-13_2021-06-11|2021-06-11_2021-07-10|2021-07-14_2021-08-12|2021-10-14_2021-11-12|2021-12-11_2022-01-09|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2022-06-11_2022-07-10|2022-07-14_2022-08-12|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2023-10-13_2023-11-11|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-04-11_2024-05-10|2024-10-11_2024-11-09|2025-09-12_2025-10-11
0.0,1,CPI m/m,Good,16,10,6,62.5,37.5,1.67,2020-11-13_2020-12-12|2021-09-15_2021-10-14|2022-08-11_2022-09-09|2022-11-11_2022-12-10|2023-04-13_2023-05-12|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2025-03-13_2025-04-11|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.0,1,CPI m/m,Neutral,20,15,5,75.0,25.0,3.0,2021-01-14_2021-02-12|2021-02-11_2021-03-12|2021-03-11_2021-04-09|2021-08-12_2021-09-10|2022-03-11_2022-04-09|2023-01-13_2023-02-11|2023-02-15_2023-03-16|2023-03-15_2023-04-13|2023-05-11_2023-06-09|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2024-03-13_2024-04-11|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2026-01-14_2026-02-12
0.1,1,CPI m/m,Bad,15,13,2,86.7,13.3,6.5,2020-08-13_2020-09-11|2020-09-12_2020-10-11|2021-05-13_2021-06-11|2021-06-11_2021-07-10|2021-07-14_2021-08-12|2021-10-14_2021-11-12|2021-12-11_2022-01-09|2022-02-11_2022-03-12|2022-06-11_2022-07-10|2022-07-14_2022-08-12|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2023-10-13_2023-11-11|2024-04-11_2024-05-10|2025-09-12_2025-10-11
0.1,1,CPI m/m,Neutral,37,21,16,56.8,43.2,1.31,2020-11-13_2020-12-12|2020-12-11_2021-01-09|2021-01-14_2021-02-12|2021-02-11_2021-03-12|2021-03-11_2021-04-09|2021-04-14_2021-05-13|2021-08-12_2021-09-10|2022-01-13_2022-02-11|2022-03-11_2022-04-09|2022-05-12_2022-06-10|2023-01-13_2023-02-11|2023-02-15_2023-03-16|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-06-13_2024-07-12|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2024-10-11_2024-11-09|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-03-13_2025-04-11|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.1,1,CPI m/m,Good,7,7,0,100.0,0.0,inf,2021-09-15_2021-10-14|2022-08-11_2022-09-09|2022-11-11_2022-12-10|2024-05-16_2024-06-14|2024-07-12_2024-08-10|2025-04-11_2025-05-10|2025-10-25_2025-11-23
0.2,1,CPI m/m,Bad,4,4,0,100.0,0.0,inf,2020-08-13_2020-09-11|2021-05-13_2021-06-11|2021-07-14_2021-08-12|2022-06-11_2022-07-10
0.2,1,CPI m/m,Neutral,55,37,18,67.3,32.7,2.06,2020-09-12_2020-10-11|2020-11-13_2020-12-12|2020-12-11_2021-01-09|2021-01-14_2021-02-12|2021-02-11_2021-03-12|2021-03-11_2021-04-09|2021-04-14_2021-05-13|2021-06-11_2021-07-10|2021-08-12_2021-09-10|2021-09-15_2021-10-14|2021-10-14_2021-11-12|2021-12-11_2022-01-09|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-03-11_2022-04-09|2022-05-12_2022-06-10|2022-07-14_2022-08-12|2022-08-11_2022-09-09|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2022-11-11_2022-12-10|2023-01-13_2023-02-11|2023-02-15_2023-03-16|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-10-13_2023-11-11|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-04-11_2024-05-10|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2024-10-11_2024-11-09|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-03-13_2025-04-11|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.3,1,CPI m/m,Neutral,56,38,18,67.9,32.1,2.11,2020-08-13_2020-09-11|2020-09-12_2020-10-11|2020-11-13_2020-12-12|2020-12-11_2021-01-09|2021-01-14_2021-02-12|2021-02-11_2021-03-12|2021-03-11_2021-04-09|2021-04-14_2021-05-13|2021-06-11_2021-07-10|2021-08-12_2021-09-10|2021-09-15_2021-10-14|2021-10-14_2021-11-12|2021-12-11_2022-01-09|2022-01-13_2022-02-11|2022-02-11_2022-03-12|2022-03-11_2022-04-09|2022-05-12_2022-06-10|2022-07-14_2022-08-12|2022-08-11_2022-09-09|2022-09-14_2022-10-13|2022-10-14_2022-11-12|2022-11-11_2022-12-10|2023-01-13_2023-02-11|2023-02-15_2023-03-16|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-10-13_2023-11-11|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-04-11_2024-05-10|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2024-10-11_2024-11-09|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-03-13_2025-04-11|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.3,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-05-13_2021-06-11|2021-07-14_2021-08-12|2022-06-11_2022-07-10
