آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Good,32,19,13,59.4,40.6,1.46,2018-01-12_2018-01-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-01-16_2019-01-20|2019-03-14_2019-03-18|2019-05-10_2019-05-14|2019-08-10_2019-08-14|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2020-01-16_2020-01-20|2020-03-13_2020-03-17|2020-05-14_2020-05-18|2020-07-11_2020-07-15|2020-12-12_2020-12-16|2021-10-15_2021-10-19|2021-11-10_2021-11-14|2022-03-16_2022-03-20|2022-05-13_2022-05-17|2022-06-15_2022-06-19|2022-08-12_2022-08-16|2022-11-16_2022-11-20|2023-03-16_2023-03-20|2023-04-14_2023-04-18|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-06-14_2024-06-18|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-03-14_2025-03-18|2025-05-16_2025-05-20|2025-07-17_2025-07-21|2025-09-11_2025-09-15
0.0,1,Core PPI m/m,Bad,34,25,9,73.5,26.5,2.78,2018-02-16_2018-02-20|2018-04-11_2018-04-15|2018-06-14_2018-06-18|2018-07-12_2018-07-16|2018-11-10_2018-11-14|2018-12-12_2018-12-16|2019-02-15_2019-02-19|2019-04-12_2019-04-16|2019-07-13_2019-07-17|2019-09-12_2019-09-16|2019-11-15_2019-11-19|2020-02-20_2020-02-24|2020-04-10_2020-04-14|2020-08-12_2020-08-16|2020-10-15_2020-10-19|2021-02-18_2021-02-22|2021-04-10_2021-04-14|2021-05-14_2021-05-18|2021-06-16_2021-06-20|2021-07-15_2021-07-19|2021-08-13_2021-08-17|2021-09-11_2021-09-15|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2023-02-17_2023-02-21|2023-08-12_2023-08-16|2023-10-12_2023-10-16|2024-03-15_2024-03-19|2024-05-15_2024-05-19|2024-07-13_2024-07-17|2024-09-13_2024-09-17|2025-08-15_2025-08-19|2026-02-28_2026-03-04
0.0,1,Core PPI m/m,Neutral,18,12,6,66.7,33.3,2.0,2018-03-15_2018-03-19|2018-05-10_2018-05-14|2018-10-11_2018-10-15|2019-06-12_2019-06-16|2020-06-12_2020-06-16|2021-01-16_2021-01-20|2022-01-14_2022-01-18|2022-10-13_2022-10-17|2023-01-19_2023-01-23|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-09-15_2023-09-19|2024-04-12_2024-04-16|2024-10-12_2024-10-16|2024-11-15_2024-11-19|2024-12-13_2024-12-17|2025-02-14_2025-02-18|2026-01-15_2026-01-19
0.1,1,Core PPI m/m,Good,25,15,10,60.0,40.0,1.5,2018-01-12_2018-01-16|2018-09-13_2018-09-17|2019-01-16_2019-01-20|2019-08-10_2019-08-14|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2020-03-13_2020-03-17|2020-05-14_2020-05-18|2020-07-11_2020-07-15|2021-10-15_2021-10-19|2022-03-16_2022-03-20|2022-05-13_2022-05-17|2022-08-12_2022-08-16|2022-11-16_2022-11-20|2023-03-16_2023-03-20|2023-04-14_2023-04-18|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-06-14_2024-06-18|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-03-14_2025-03-18|2025-05-16_2025-05-20|2025-07-17_2025-07-21|2025-09-11_2025-09-15
0.1,1,Core PPI m/m,Bad,21,18,3,85.7,14.3,6.0,2018-02-16_2018-02-20|2018-11-10_2018-11-14|2018-12-12_2018-12-16|2020-02-20_2020-02-24|2020-04-10_2020-04-14|2020-08-12_2020-08-16|2020-10-15_2020-10-19|2021-02-18_2021-02-22|2021-04-10_2021-04-14|2021-05-14_2021-05-18|2021-06-16_2021-06-20|2021-07-15_2021-07-19|2021-08-13_2021-08-17|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2023-02-17_2023-02-21|2024-05-15_2024-05-19|2024-07-13_2024-07-17|2025-08-15_2025-08-19|2026-02-28_2026-03-04
0.1,1,Core PPI m/m,Neutral,38,23,15,60.5,39.5,1.53,2018-03-15_2018-03-19|2018-04-11_2018-04-15|2018-05-10_2018-05-14|2018-06-14_2018-06-18|2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-10-11_2018-10-15|2019-02-15_2019-02-19|2019-03-14_2019-03-18|2019-04-12_2019-04-16|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-07-13_2019-07-17|2019-09-12_2019-09-16|2019-11-15_2019-11-19|2020-01-16_2020-01-20|2020-06-12_2020-06-16|2020-12-12_2020-12-16|2021-01-16_2021-01-20|2021-09-11_2021-09-15|2021-11-10_2021-11-14|2022-01-14_2022-01-18|2022-06-15_2022-06-19|2022-10-13_2022-10-17|2023-01-19_2023-01-23|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2023-10-12_2023-10-16|2024-03-15_2024-03-19|2024-04-12_2024-04-16|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2024-11-15_2024-11-19|2024-12-13_2024-12-17|2025-02-14_2025-02-18|2026-01-15_2026-01-19
0.2,1,Core PPI m/m,Good,17,10,7,58.8,41.2,1.43,2018-01-12_2018-01-16|2018-09-13_2018-09-17|2019-01-16_2019-01-20|2019-08-10_2019-08-14|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2020-03-13_2020-03-17|2020-07-11_2020-07-15|2021-10-15_2021-10-19|2022-03-16_2022-03-20|2022-11-16_2022-11-20|2023-03-16_2023-03-20|2023-04-14_2023-04-18|2024-06-14_2024-06-18|2025-03-14_2025-03-18|2025-05-16_2025-05-20|2025-09-11_2025-09-15
0.2,1,Core PPI m/m,Neutral,53,35,18,66.0,34.0,1.94,2018-02-16_2018-02-20|2018-03-15_2018-03-19|2018-04-11_2018-04-15|2018-05-10_2018-05-14|2018-06-14_2018-06-18|2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-10-11_2018-10-15|2018-12-12_2018-12-16|2019-02-15_2019-02-19|2019-03-14_2019-03-18|2019-04-12_2019-04-16|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-07-13_2019-07-17|2019-09-12_2019-09-16|2019-11-15_2019-11-19|2020-01-16_2020-01-20|2020-04-10_2020-04-14|2020-05-14_2020-05-18|2020-06-12_2020-06-16|2020-10-15_2020-10-19|2020-12-12_2020-12-16|2021-01-16_2021-01-20|2021-06-16_2021-06-20|2021-09-11_2021-09-15|2021-11-10_2021-11-14|2022-01-14_2022-01-18|2022-05-13_2022-05-17|2022-06-15_2022-06-19|2022-08-12_2022-08-16|2022-10-13_2022-10-17|2023-01-19_2023-01-23|2023-02-17_2023-02-21|2023-05-12_2023-05-16|2023-06-15_2023-06-19|2023-08-12_2023-08-16|2023-09-15_2023-09-19|2023-10-12_2023-10-16|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-03-15_2024-03-19|2024-04-12_2024-04-16|2024-07-13_2024-07-17|2024-08-14_2024-08-18|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2024-11-15_2024-11-19|2024-12-13_2024-12-17|2025-01-15_2025-01-19|2025-02-14_2025-02-18|2025-07-17_2025-07-21|2026-01-15_2026-01-19
0.2,1,Core PPI m/m,Bad,14,11,3,78.6,21.4,3.67,2018-11-10_2018-11-14|2020-02-20_2020-02-24|2020-08-12_2020-08-16|2021-02-18_2021-02-22|2021-04-10_2021-04-14|2021-05-14_2021-05-18|2021-07-15_2021-07-19|2021-08-13_2021-08-17|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2024-05-15_2024-05-19|2025-08-15_2025-08-19|2026-02-28_2026-03-04
0.3,1,Core PPI m/m,Good,14,7,7,50.0,50.0,1.0,2018-01-12_2018-01-16|2018-09-13_2018-09-17|2019-01-16_2019-01-20|2019-08-10_2019-08-14|2019-10-09_2019-10-13|2019-12-13_2019-12-17|2020-03-13_2020-03-17|2020-07-11_2020-07-15|2022-03-16_2022-03-20|2023-03-16_2023-03-20|2023-04-14_2023-04-18|2025-03-14_2025-03-18|2025-05-16_2025-05-20|2025-09-11_2025-09-15
