آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Neutral,16,8,8,50.0,50.0,1.0,2018-03-14_2018-03-28|2019-11-14_2019-11-28|2019-12-12_2019-12-26|2020-10-14_2020-10-28|2023-02-15_2023-03-01|2023-04-13_2023-04-27|2023-08-11_2023-08-25|2023-10-13_2023-10-27|2023-12-13_2023-12-27|2024-01-12_2024-01-26|2024-05-16_2024-05-30|2024-08-15_2024-08-29|2024-12-12_2024-12-26|2025-08-13_2025-08-27|2025-09-12_2025-09-26|2026-02-14_2026-02-28
0.0,1,Core CPI m/m,Bad,7,2,5,28.6,71.4,0.4,2018-06-13_2018-06-27|2020-08-13_2020-08-27|2020-09-12_2020-09-26|2022-05-12_2022-05-26|2022-09-14_2022-09-28|2024-02-14_2024-02-28|2024-10-11_2024-10-25
0.0,1,Core CPI m/m,Good,19,14,5,73.7,26.3,2.8,2018-10-12_2018-10-26|2019-04-11_2019-04-25|2019-10-11_2019-10-25|2020-06-11_2020-06-25|2021-08-12_2021-08-26|2022-04-13_2022-04-27|2022-08-11_2022-08-25|2022-11-11_2022-11-25|2022-12-14_2022-12-28|2023-07-13_2023-07-27|2023-11-15_2023-11-29|2024-06-13_2024-06-27|2025-01-16_2025-01-30|2025-03-13_2025-03-27|2025-05-14_2025-05-28|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2025-10-25_2025-11-08|2026-01-14_2026-01-28
0.1,1,Core CPI m/m,Neutral,32,19,13,59.4,40.6,1.46,2018-03-14_2018-03-28|2018-06-13_2018-06-27|2018-10-12_2018-10-26|2019-04-11_2019-04-25|2019-10-11_2019-10-25|2019-11-14_2019-11-28|2019-12-12_2019-12-26|2020-06-11_2020-06-25|2020-10-14_2020-10-28|2022-12-14_2022-12-28|2023-02-15_2023-03-01|2023-04-13_2023-04-27|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2023-10-13_2023-10-27|2023-11-15_2023-11-29|2023-12-13_2023-12-27|2024-01-12_2024-01-26|2024-05-16_2024-05-30|2024-06-13_2024-06-27|2024-08-15_2024-08-29|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-01-16_2025-01-30|2025-03-13_2025-03-27|2025-05-14_2025-05-28|2025-07-16_2025-07-30|2025-08-13_2025-08-27|2025-09-12_2025-09-26|2025-10-25_2025-11-08|2026-01-14_2026-01-28|2026-02-14_2026-02-28
0.1,1,Core CPI m/m,Bad,5,2,3,40.0,60.0,0.67,2020-08-13_2020-08-27|2020-09-12_2020-09-26|2022-05-12_2022-05-26|2022-09-14_2022-09-28|2024-02-14_2024-02-28
0.1,1,Core CPI m/m,Good,5,3,2,60.0,40.0,1.5,2021-08-12_2021-08-26|2022-04-13_2022-04-27|2022-08-11_2022-08-25|2022-11-11_2022-11-25|2025-06-12_2025-06-26
0.2,1,Core CPI m/m,Neutral,40,24,16,60.0,40.0,1.5,2018-03-14_2018-03-28|2018-06-13_2018-06-27|2018-10-12_2018-10-26|2019-04-11_2019-04-25|2019-10-11_2019-10-25|2019-11-14_2019-11-28|2019-12-12_2019-12-26|2020-06-11_2020-06-25|2020-09-12_2020-09-26|2020-10-14_2020-10-28|2021-08-12_2021-08-26|2022-04-13_2022-04-27|2022-05-12_2022-05-26|2022-08-11_2022-08-25|2022-11-11_2022-11-25|2022-12-14_2022-12-28|2023-02-15_2023-03-01|2023-04-13_2023-04-27|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2023-10-13_2023-10-27|2023-11-15_2023-11-29|2023-12-13_2023-12-27|2024-01-12_2024-01-26|2024-02-14_2024-02-28|2024-05-16_2024-05-30|2024-06-13_2024-06-27|2024-08-15_2024-08-29|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-01-16_2025-01-30|2025-03-13_2025-03-27|2025-05-14_2025-05-28|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2025-08-13_2025-08-27|2025-09-12_2025-09-26|2025-10-25_2025-11-08|2026-01-14_2026-01-28|2026-02-14_2026-02-28
0.2,1,Core CPI m/m,Bad,2,0,2,0.0,100.0,0.0,2020-08-13_2020-08-27|2022-09-14_2022-09-28
0.3,1,Core CPI m/m,Neutral,41,24,17,58.5,41.5,1.41,2018-03-14_2018-03-28|2018-06-13_2018-06-27|2018-10-12_2018-10-26|2019-04-11_2019-04-25|2019-10-11_2019-10-25|2019-11-14_2019-11-28|2019-12-12_2019-12-26|2020-06-11_2020-06-25|2020-09-12_2020-09-26|2020-10-14_2020-10-28|2021-08-12_2021-08-26|2022-04-13_2022-04-27|2022-05-12_2022-05-26|2022-08-11_2022-08-25|2022-09-14_2022-09-28|2022-11-11_2022-11-25|2022-12-14_2022-12-28|2023-02-15_2023-03-01|2023-04-13_2023-04-27|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2023-10-13_2023-10-27|2023-11-15_2023-11-29|2023-12-13_2023-12-27|2024-01-12_2024-01-26|2024-02-14_2024-02-28|2024-05-16_2024-05-30|2024-06-13_2024-06-27|2024-08-15_2024-08-29|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2025-01-16_2025-01-30|2025-03-13_2025-03-27|2025-05-14_2025-05-28|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2025-08-13_2025-08-27|2025-09-12_2025-09-26|2025-10-25_2025-11-08|2026-01-14_2026-01-28|2026-02-14_2026-02-28
0.3,1,Core CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2020-08-13_2020-08-27
