آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Neutral,15,8,7,53.3,46.7,1.14,2018-03-14_2018-04-12|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-10-14_2020-11-12|2021-10-14_2021-11-12|2023-04-13_2023-05-12|2023-08-11_2023-09-09|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-05-16_2024-06-14|2024-08-15_2024-09-13|2024-12-12_2025-01-10|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2026-02-14_2026-03-15
0.0,1,Core CPI m/m,Good,13,6,7,46.2,53.8,0.86,2018-05-11_2018-06-09|2018-10-12_2018-11-10|2019-04-11_2019-05-10|2020-06-11_2020-07-10|2023-07-13_2023-08-11|2023-11-15_2023-12-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-10-25_2025-11-23
0.0,1,Core CPI m/m,Bad,11,9,2,81.8,18.2,4.5,2020-08-13_2020-09-11|2020-09-12_2020-10-11|2020-12-11_2021-01-09|2022-02-11_2022-03-12|2022-06-11_2022-07-10|2022-07-14_2022-08-12|2023-03-15_2023-04-13|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-04-11_2024-05-10|2024-10-11_2024-11-09
0.1,1,Core CPI m/m,Neutral,31,17,14,54.8,45.2,1.21,2018-03-14_2018-04-12|2018-05-11_2018-06-09|2018-10-12_2018-11-10|2019-04-11_2019-05-10|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-06-11_2020-07-10|2020-10-14_2020-11-12|2020-12-11_2021-01-09|2021-10-14_2021-11-12|2022-02-11_2022-03-12|2022-06-11_2022-07-10|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-11-15_2023-12-14|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-05-14_2025-06-12|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.1,1,Core CPI m/m,Bad,6,5,1,83.3,16.7,5.0,2020-08-13_2020-09-11|2020-09-12_2020-10-11|2022-07-14_2022-08-12|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-04-11_2024-05-10
0.1,1,Core CPI m/m,Good,2,1,1,50.0,50.0,1.0,2025-04-11_2025-05-10|2025-06-12_2025-07-11
0.2,1,Core CPI m/m,Neutral,38,22,16,57.9,42.1,1.38,2018-03-14_2018-04-12|2018-05-11_2018-06-09|2018-10-12_2018-11-10|2019-04-11_2019-05-10|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-06-11_2020-07-10|2020-09-12_2020-10-11|2020-10-14_2020-11-12|2020-12-11_2021-01-09|2021-10-14_2021-11-12|2022-02-11_2022-03-12|2022-06-11_2022-07-10|2022-07-14_2022-08-12|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-11-15_2023-12-14|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-04-11_2024-05-10|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-09-11
0.3,1,Core CPI m/m,Neutral,38,22,16,57.9,42.1,1.38,2018-03-14_2018-04-12|2018-05-11_2018-06-09|2018-10-12_2018-11-10|2019-04-11_2019-05-10|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-06-11_2020-07-10|2020-09-12_2020-10-11|2020-10-14_2020-11-12|2020-12-11_2021-01-09|2021-10-14_2021-11-12|2022-02-11_2022-03-12|2022-06-11_2022-07-10|2022-07-14_2022-08-12|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-11-15_2023-12-14|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-04-11_2024-05-10|2024-05-16_2024-06-14|2024-06-13_2024-07-12|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-09-11
