آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,9,7,2,77.8,22.2,3.5,2021-05-13_2021-05-17|2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2024-02-14_2024-02-18|2024-07-12_2024-07-16|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-08-13_2025-08-17
0.0,1,PPI m/m,Good,8,4,4,50.0,50.0,1.0,2021-10-14_2021-10-18|2022-03-11_2022-03-15|2024-01-12_2024-01-16|2024-10-11_2024-10-15|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16
0.0,1,PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2022-09-14_2022-09-18|2023-12-13_2023-12-17|2026-01-14_2026-01-18
0.1,1,PPI m/m,Bad,8,6,2,75.0,25.0,3.0,2021-05-13_2021-05-17|2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2024-02-14_2024-02-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-08-13_2025-08-17
0.1,1,PPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2021-10-14_2021-10-18|2022-09-14_2022-09-18|2023-12-13_2023-12-17|2024-07-12_2024-07-16|2024-10-11_2024-10-15|2025-06-12_2025-06-16|2026-01-14_2026-01-18
0.1,1,PPI m/m,Good,5,2,3,40.0,60.0,0.67,2022-03-11_2022-03-15|2024-01-12_2024-01-16|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18
0.2,1,PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2021-05-13_2021-05-17|2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2025-08-13_2025-08-17
0.2,1,PPI m/m,Neutral,12,7,5,58.3,41.7,1.4,2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-09-14_2022-09-18|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-07-12_2024-07-16|2024-10-11_2024-10-15|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-06-12_2025-06-16|2026-01-14_2026-01-18
0.2,1,PPI m/m,Good,3,1,2,33.3,66.7,0.5,2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18
0.3,1,PPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2021-05-13_2021-05-17|2021-10-14_2021-10-18|2022-03-11_2022-03-15|2022-09-14_2022-09-18|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-02-14_2024-02-18|2024-07-12_2024-07-16|2024-10-11_2024-10-15|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-03-13_2025-03-17|2025-06-12_2025-06-16|2026-01-14_2026-01-18
0.3,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2025-08-13_2025-08-17
0.3,1,PPI m/m,Good,2,1,1,50.0,50.0,1.0,2025-04-11_2025-04-15|2025-05-14_2025-05-18
0.0,1,Core PPI m/m,Bad,8,6,2,75.0,25.0,3.0,2021-05-13_2021-05-17|2021-07-14_2021-07-18|2021-08-12_2021-08-16|2021-12-11_2021-12-15|2022-09-14_2022-09-18|2024-02-14_2024-02-18|2024-07-12_2024-07-16|2025-08-13_2025-08-17
0.0,1,Core PPI m/m,Good,9,5,4,55.6,44.4,1.25,2021-10-14_2021-10-18|2022-03-11_2022-03-15|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2025-03-13_2025-03-17|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2026-01-14_2026-01-18
0.0,1,Core PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2024-10-11_2024-10-15|2024-12-12_2024-12-16|2025-02-13_2025-02-17
