آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2024-02-01_2024-02-15|2025-01-30_2025-02-13|2019-10-31_2019-11-14
0.0,1,CPI m/m,Neutral,10,6,4,60.0,40.0,1.5,2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-07-31_2025-08-14|2018-08-02_2018-08-16|2018-11-09_2018-11-23|2019-08-01_2019-08-15|2021-01-28_2021-02-11
0.0,1,CPI m/m,Good,10,6,4,60.0,40.0,1.5,2024-05-02_2024-05-16|2018-05-03_2018-05-17|2018-09-27_2018-10-11|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.1,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2025-01-30_2025-02-13|2019-10-31_2019-11-14
0.1,1,CPI m/m,Neutral,18,12,6,66.7,33.3,2.0,2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-08-01_2019-08-15|2020-01-30_2020-02-13|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2025-05-08_2025-05-22
0.1,1,CPI m/m,Good,4,2,2,50.0,50.0,1.0,2024-05-02_2024-05-16|2019-05-02_2019-05-16|2020-04-30_2020-05-14|2022-07-28_2022-08-11
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-04_2021-11-18
0.2,1,CPI m/m,Neutral,25,16,9,64.0,36.0,1.78,2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-04_2021-11-18
0.3,1,CPI m/m,Neutral,25,16,9,64.0,36.0,1.78,2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.0,1,Core CPI m/m,Bad,7,5,2,71.4,28.6,2.5,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-02-01_2024-02-15|2025-01-30_2025-02-13|2019-08-01_2019-08-15
0.0,1,Core CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2023-02-02_2023-02-16|2023-07-27_2023-08-10|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-07-31_2025-08-14|2018-08-02_2018-08-16|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-10-31_2019-11-14|2020-01-30_2020-02-13
0.0,1,Core CPI m/m,Good,8,4,4,50.0,50.0,1.0,2018-05-03_2018-05-17|2018-09-27_2018-10-11|2019-05-02_2019-05-16|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.1,1,Core CPI m/m,Bad,5,4,1,80.0,20.0,4.0,2021-11-04_2021-11-18|2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-02-01_2024-02-15|2025-01-30_2025-02-13
0.1,1,Core CPI m/m,Neutral,17,11,6,64.7,35.3,1.83,2022-01-27_2022-02-10|2023-02-02_2023-02-16|2023-07-27_2023-08-10|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2025-05-08_2025-05-22
0.1,1,Core CPI m/m,Good,4,2,2,50.0,50.0,1.0,2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11
0.2,1,Core CPI m/m,Neutral,26,17,9,65.4,34.6,1.89,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.3,1,Core CPI m/m,Neutral,26,17,9,65.4,34.6,1.89,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.0,1,PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2021-11-04_2021-11-18|2022-05-05_2022-05-19|2024-11-08_2024-11-22|2018-09-27_2018-10-11|2019-05-02_2019-05-16|2019-08-01_2019-08-15
0.0,1,PPI m/m,Bad,8,5,3,62.5,37.5,1.67,2023-02-02_2023-02-16|2024-05-02_2024-05-16|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-11-09_2018-11-23|2019-10-31_2019-11-14|2020-06-11_2020-06-25|2020-11-06_2020-11-20
0.0,1,PPI m/m,Good,10,6,4,60.0,40.0,1.5,2023-05-04_2023-05-18|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2019-01-31_2019-02-14|2019-12-12_2019-12-26|2020-04-30_2020-05-14|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.1,1,PPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2021-11-04_2021-11-18|2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2018-05-03_2018-05-17|2018-09-27_2018-10-11|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2020-11-06_2020-11-20
0.1,1,PPI m/m,Bad,7,4,3,57.1,42.9,1.33,2023-02-02_2023-02-16|2024-05-02_2024-05-16|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-11-09_2018-11-23|2019-10-31_2019-11-14|2020-06-11_2020-06-25
0.1,1,PPI m/m,Good,7,4,3,57.1,42.9,1.33,2024-06-13_2024-06-27|2018-08-02_2018-08-16|2019-01-31_2019-02-14|2019-12-12_2019-12-26|2020-04-30_2020-05-14|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.2,1,PPI m/m,Neutral,16,13,3,81.2,18.8,4.33,2021-11-04_2021-11-18|2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2019-12-12_2019-12-26|2020-11-06_2020-11-20
0.2,1,PPI m/m,Bad,4,2,2,50.0,50.0,1.0,2023-02-02_2023-02-16|2025-07-31_2025-08-14|2018-11-09_2018-11-23|2020-06-11_2020-06-25
0.2,1,PPI m/m,Good,4,1,3,25.0,75.0,0.33,2024-06-13_2024-06-27|2020-04-30_2020-05-14|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.3,1,PPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2021-11-04_2021-11-18|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2019-12-12_2019-12-26|2020-11-06_2020-11-20
0.3,1,PPI m/m,Good,4,1,3,25.0,75.0,0.33,2024-06-13_2024-06-27|2020-04-30_2020-05-14|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.3,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2025-07-31_2025-08-14|2018-11-09_2018-11-23|2020-06-11_2020-06-25
0.0,1,Core PPI m/m,Good,12,8,4,66.7,33.3,2.0,2021-11-04_2021-11-18|2022-05-05_2022-05-19|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2018-08-02_2018-08-16|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-12-12_2019-12-26|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.0,1,Core PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2023-02-02_2023-02-16|2024-05-02_2024-05-16|2025-07-31_2025-08-14|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-10-31_2019-11-14
0.0,1,Core PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2023-05-04_2023-05-18|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2018-05-03_2018-05-17|2018-09-27_2018-10-11|2020-06-11_2020-06-25
0.1,1,Core PPI m/m,Neutral,12,10,2,83.3,16.7,5.0,2021-11-04_2021-11-18|2023-05-04_2023-05-18|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-10-31_2019-11-14|2020-06-11_2020-06-25|2020-11-06_2020-11-20
0.1,1,Core PPI m/m,Good,8,4,4,50.0,50.0,1.0,2022-05-05_2022-05-19|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2019-08-01_2019-08-15|2019-12-12_2019-12-26|2020-04-30_2020-05-14|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.1,1,Core PPI m/m,Bad,4,2,2,50.0,50.0,1.0,2023-02-02_2023-02-16|2024-05-02_2024-05-16|2025-07-31_2025-08-14|2018-11-09_2018-11-23
0.2,1,Core PPI m/m,Neutral,17,12,5,70.6,29.4,2.4,2021-11-04_2021-11-18|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-10-31_2019-11-14|2020-04-30_2020-05-14|2020-06-11_2020-06-25|2020-11-06_2020-11-20|2022-07-28_2022-08-11
0.2,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2024-05-02_2024-05-16|2025-07-31_2025-08-14|2018-11-09_2018-11-23
0.2,1,Core PPI m/m,Good,4,2,2,50.0,50.0,1.0,2024-06-13_2024-06-27|2019-08-01_2019-08-15|2019-12-12_2019-12-26|2025-05-08_2025-05-22
0.3,1,Core PPI m/m,Neutral,20,14,6,70.0,30.0,2.33,2021-11-04_2021-11-18|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2024-05-02_2024-05-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-10-31_2019-11-14|2020-04-30_2020-05-14|2020-06-11_2020-06-25|2020-11-06_2020-11-20|2022-07-28_2022-08-11
0.3,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-07-31_2025-08-14
0.3,1,Core PPI m/m,Good,3,1,2,33.3,66.7,0.5,2019-08-01_2019-08-15|2019-12-12_2019-12-26|2025-05-08_2025-05-22
0.0,1,CPI y/y,Bad,10,7,3,70.0,30.0,2.33,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2024-02-01_2024-02-15|2025-01-30_2025-02-13|2019-01-31_2019-02-14|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13
0.0,1,CPI y/y,Good,11,7,4,63.6,36.4,1.75,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-08-01_2024-08-15|2025-07-31_2025-08-14|2025-12-11_2025-12-25|2018-09-27_2018-10-11|2019-05-02_2019-05-16|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.0,1,CPI y/y,Neutral,6,4,2,66.7,33.3,2.0,2024-05-02_2024-05-16|2024-11-08_2024-11-22|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-11-09_2018-11-23|2021-01-28_2021-02-11
0.1,1,CPI y/y,Bad,10,7,3,70.0,30.0,2.33,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2024-02-01_2024-02-15|2025-01-30_2025-02-13|2019-01-31_2019-02-14|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13
0.1,1,CPI y/y,Neutral,9,6,3,66.7,33.3,2.0,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-05-02_2024-05-16|2024-11-08_2024-11-22|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-11-09_2018-11-23|2021-01-28_2021-02-11
0.1,1,CPI y/y,Good,8,5,3,62.5,37.5,1.67,2024-08-01_2024-08-15|2025-12-11_2025-12-25|2018-09-27_2018-10-11|2019-05-02_2019-05-16|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.2,1,CPI y/y,Bad,5,4,1,80.0,20.0,4.0,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2024-02-01_2024-02-15
0.2,1,CPI y/y,Neutral,21,13,8,61.9,38.1,1.62,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-11_2025-12-25
0.3,1,CPI y/y,Neutral,26,17,9,65.4,34.6,1.89,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.3,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-11_2025-12-25
0.0,2,CPI m/m|Core CPI m/m,Bad|Bad,5,4,1,80.0,20.0,4.0,2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2024-02-01_2024-02-15|2025-01-30_2025-02-13
0.0,2,CPI m/m|Core CPI m/m,Neutral|Neutral,7,4,3,57.1,42.9,1.33,2023-02-02_2023-02-16|2023-07-27_2023-08-10|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-07-31_2025-08-14|2018-08-02_2018-08-16|2018-11-09_2018-11-23
0.0,2,CPI m/m|Core CPI m/m,Neutral|Bad,2,1,1,50.0,50.0,1.0,2023-05-04_2023-05-18|2019-08-01_2019-08-15
0.0,2,CPI m/m|Core CPI m/m,Good|Neutral,3,3,0,100.0,0.0,inf,2024-05-02_2024-05-16|2019-01-31_2019-02-14|2020-01-30_2020-02-13
0.0,2,CPI m/m|Core CPI m/m,Good|Good,7,3,4,42.9,57.1,0.75,2018-05-03_2018-05-17|2018-09-27_2018-10-11|2019-05-02_2019-05-16|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.0,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2019-10-31_2019-11-14
0.0,2,CPI m/m|Core CPI m/m,Neutral|Good,1,1,0,100.0,0.0,inf,2021-01-28_2021-02-11
0.1,2,CPI m/m|Core CPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2021-11-04_2021-11-18|2025-01-30_2025-02-13
0.1,2,CPI m/m|Core CPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2022-01-27_2022-02-10|2019-10-31_2019-11-14
0.1,2,CPI m/m|Core CPI m/m,Neutral|Bad,3,3,0,100.0,0.0,inf,2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-02-01_2024-02-15
0.1,2,CPI m/m|Core CPI m/m,Neutral|Neutral,13,7,6,53.8,46.2,1.17,2023-02-02_2023-02-16|2023-07-27_2023-08-10|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-08-01_2019-08-15|2020-01-30_2020-02-13|2025-05-08_2025-05-22
0.1,2,CPI m/m|Core CPI m/m,Good|Neutral,2,2,0,100.0,0.0,inf,2024-05-02_2024-05-16|2019-05-02_2019-05-16
0.1,2,CPI m/m|Core CPI m/m,Good|Good,2,0,2,0.0,100.0,0.0,2020-04-30_2020-05-14|2022-07-28_2022-08-11
0.1,2,CPI m/m|Core CPI m/m,Neutral|Good,2,2,0,100.0,0.0,inf,2020-11-06_2020-11-20|2021-01-28_2021-02-11
0.2,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-11-04_2021-11-18
0.2,2,CPI m/m|Core CPI m/m,Neutral|Neutral,25,16,9,64.0,36.0,1.78,2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.3,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-11-04_2021-11-18
0.3,2,CPI m/m|Core CPI m/m,Neutral|Neutral,25,16,9,64.0,36.0,1.78,2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2018-11-09_2018-11-23|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-01-30_2020-02-13|2020-04-30_2020-05-14|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.0,2,CPI m/m|PPI m/m,Bad|Neutral,2,2,0,100.0,0.0,inf,2021-11-04_2021-11-18|2022-05-05_2022-05-19
0.0,2,CPI m/m|PPI m/m,Neutral|Bad,3,1,2,33.3,66.7,0.5,2023-02-02_2023-02-16|2025-07-31_2025-08-14|2018-11-09_2018-11-23
0.0,2,CPI m/m|PPI m/m,Neutral|Good,3,3,0,100.0,0.0,inf,2023-05-04_2023-05-18|2024-08-01_2024-08-15|2018-08-02_2018-08-16
0.0,2,CPI m/m|PPI m/m,Good|Bad,2,2,0,100.0,0.0,inf,2024-05-02_2024-05-16|2020-11-06_2020-11-20
0.0,2,CPI m/m|PPI m/m,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2024-11-08_2024-11-22|2019-08-01_2019-08-15
0.0,2,CPI m/m|PPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2025-01-30_2025-02-13|2019-10-31_2019-11-14
0.0,2,CPI m/m|PPI m/m,Good|Good,5,1,4,20.0,80.0,0.25,2018-05-03_2018-05-17|2019-01-31_2019-02-14|2020-04-30_2020-05-14|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.0,2,CPI m/m|PPI m/m,Good|Neutral,2,2,0,100.0,0.0,inf,2018-09-27_2018-10-11|2019-05-02_2019-05-16
0.1,2,CPI m/m|PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-11-04_2021-11-18
0.1,2,CPI m/m|PPI m/m,Neutral|Neutral,8,6,2,75.0,25.0,3.0,2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2018-05-03_2018-05-17|2018-09-27_2018-10-11|2019-08-01_2019-08-15|2020-11-06_2020-11-20
0.1,2,CPI m/m|PPI m/m,Neutral|Bad,3,1,2,33.3,66.7,0.5,2023-02-02_2023-02-16|2025-07-31_2025-08-14|2018-11-09_2018-11-23
0.1,2,CPI m/m|PPI m/m,Good|Bad,1,1,0,100.0,0.0,inf,2024-05-02_2024-05-16
0.1,2,CPI m/m|PPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2025-01-30_2025-02-13|2019-10-31_2019-11-14
0.1,2,CPI m/m|PPI m/m,Neutral|Good,3,2,1,66.7,33.3,2.0,2018-08-02_2018-08-16|2019-01-31_2019-02-14|2025-05-08_2025-05-22
0.1,2,CPI m/m|PPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2019-05-02_2019-05-16
0.1,2,CPI m/m|PPI m/m,Good|Good,2,0,2,0.0,100.0,0.0,2020-04-30_2020-05-14|2022-07-28_2022-08-11
0.2,2,CPI m/m|PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-11-04_2021-11-18
0.2,2,CPI m/m|PPI m/m,Neutral|Neutral,14,11,3,78.6,21.4,3.67,2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-11-06_2020-11-20
0.2,2,CPI m/m|PPI m/m,Neutral|Bad,3,1,2,33.3,66.7,0.5,2023-02-02_2023-02-16|2025-07-31_2025-08-14|2018-11-09_2018-11-23
0.2,2,CPI m/m|PPI m/m,Neutral|Good,3,0,3,0.0,100.0,0.0,2020-04-30_2020-05-14|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.3,2,CPI m/m|PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2021-11-04_2021-11-18
0.3,2,CPI m/m|PPI m/m,Neutral|Neutral,15,11,4,73.3,26.7,2.75,2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2018-05-03_2018-05-17|2018-08-02_2018-08-16|2018-09-27_2018-10-11|2019-01-31_2019-02-14|2019-05-02_2019-05-16|2019-08-01_2019-08-15|2019-10-31_2019-11-14|2020-11-06_2020-11-20
0.3,2,CPI m/m|PPI m/m,Neutral|Bad,2,1,1,50.0,50.0,1.0,2025-07-31_2025-08-14|2018-11-09_2018-11-23
0.3,2,CPI m/m|PPI m/m,Neutral|Good,3,0,3,0.0,100.0,0.0,2020-04-30_2020-05-14|2022-07-28_2022-08-11|2025-05-08_2025-05-22
0.0,2,CPI m/m|Core PPI m/m,Bad|Good,2,2,0,100.0,0.0,inf,2021-11-04_2021-11-18|2022-05-05_2022-05-19
0.0,2,CPI m/m|Core PPI m/m,Neutral|Bad,3,1,2,33.3,66.7,0.5,2023-02-02_2023-02-16|2025-07-31_2025-08-14|2018-11-09_2018-11-23
0.0,2,CPI m/m|Core PPI m/m,Neutral|Neutral,2,2,0,100.0,0.0,inf,2023-05-04_2023-05-18|2024-11-08_2024-11-22
