آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-08-01_2024-08-15|2024-11-09_2024-11-23
0.0,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2023-11-02_2023-11-16
0.0,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-02-14
0.1,1,CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-08-01_2024-08-15|2024-11-09_2024-11-23
0.1,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-02-14
0.2,1,CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-08-01_2024-08-15|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.3,1,CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-08-01_2024-08-15|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.0,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2023-05-04_2023-05-18|2025-01-31_2025-02-14
0.0,1,Core CPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2023-07-27_2023-08-10|2024-08-01_2024-08-15|2024-11-09_2024-11-23
0.0,1,Core CPI m/m,Good,1,1,0,100.0,0.0,inf,2023-11-02_2023-11-16
0.1,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2023-05-04_2023-05-18|2025-01-31_2025-02-14
0.1,1,Core CPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-08-01_2024-08-15|2024-11-09_2024-11-23
0.2,1,Core CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-08-01_2024-08-15|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.3,1,Core CPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-08-01_2024-08-15|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.0,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2023-05-04_2023-05-18|2023-11-02_2023-11-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-11-09_2024-11-23
0.0,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-02-14
0.1,1,PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2023-05-04_2023-05-18|2024-08-01_2024-08-15|2024-11-09_2024-11-23
0.1,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2023-11-02_2023-11-16|2024-06-13_2024-06-27
0.1,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-01-31_2025-02-14
0.2,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2023-05-04_2023-05-18|2024-08-01_2024-08-15|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.2,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2023-11-02_2023-11-16|2024-06-13_2024-06-27
0.3,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2023-05-04_2023-05-18|2024-08-01_2024-08-15|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.3,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2023-11-02_2023-11-16|2024-06-13_2024-06-27
0.0,1,Core PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2023-05-04_2023-05-18|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.0,1,Core PPI m/m,Good,3,2,1,66.7,33.3,2.0,2023-11-02_2023-11-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15
0.1,1,Core PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2023-05-04_2023-05-18|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.1,1,Core PPI m/m,Good,3,2,1,66.7,33.3,2.0,2023-11-02_2023-11-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15
0.2,1,Core PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2023-05-04_2023-05-18|2024-08-01_2024-08-15|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.2,1,Core PPI m/m,Good,2,2,0,100.0,0.0,inf,2023-11-02_2023-11-16|2024-06-13_2024-06-27
0.3,1,Core PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2023-05-04_2023-05-18|2023-11-02_2023-11-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2024-11-09_2024-11-23|2025-01-31_2025-02-14
0.0,1,CPI y/y,Good,4,2,2,50.0,50.0,1.0,2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-08-01_2024-08-15
0.0,1,CPI y/y,Neutral,1,1,0,100.0,0.0,inf,2024-11-09_2024-11-23
