آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,7,6,1,85.7,14.3,6.0,2020-11-06_2020-12-05|2022-07-28_2022-08-26|2023-06-15_2023-07-14|2023-11-02_2023-12-01|2024-06-13_2024-07-12|2025-05-08_2025-06-06|2026-01-29_2026-02-27
0.0,1,CPI m/m,Neutral,9,8,1,88.9,11.1,8.0,2020-12-17_2021-01-15|2021-07-29_2021-08-27|2022-12-15_2023-01-13|2023-02-02_2023-03-03|2023-07-27_2023-08-25|2024-08-01_2024-08-30|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-07-31_2025-08-29
0.0,1,CPI m/m,Bad,8,8,0,100.0,0.0,inf,2021-06-17_2021-07-16|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2023-09-21_2023-10-20|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.1,1,CPI m/m,Neutral,16,14,2,87.5,12.5,7.0,2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-07-29_2021-08-27|2022-12-15_2023-01-13|2023-02-02_2023-03-03|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-11-02_2023-12-01|2024-02-01_2024-03-01|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.1,1,CPI m/m,Bad,6,6,0,100.0,0.0,inf,2021-06-17_2021-07-16|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2023-09-21_2023-10-20|2024-03-21_2024-04-19|2025-01-30_2025-02-28
0.1,1,CPI m/m,Good,2,2,0,100.0,0.0,inf,2022-07-28_2022-08-26|2024-06-13_2024-07-12
0.2,1,CPI m/m,Neutral,23,21,2,91.3,8.7,10.5,2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-07-29_2021-08-27|2022-06-16_2022-07-15|2022-07-28_2022-08-26|2022-09-22_2022-10-21|2022-12-15_2023-01-13|2023-02-02_2023-03-03|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2023-11-02_2023-12-01|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-06-17_2021-07-16
0.3,1,CPI m/m,Neutral,23,21,2,91.3,8.7,10.5,2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-07-29_2021-08-27|2022-06-16_2022-07-15|2022-07-28_2022-08-26|2022-09-22_2022-10-21|2022-12-15_2023-01-13|2023-02-02_2023-03-03|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2023-11-02_2023-12-01|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-06-17_2021-07-16
0.0,1,Core CPI m/m,Good,8,6,2,75.0,25.0,3.0,2020-11-06_2020-12-05|2021-07-29_2021-08-27|2022-07-28_2022-08-26|2023-06-15_2023-07-14|2023-11-02_2023-12-01|2024-06-13_2024-07-12|2024-12-19_2025-01-17|2025-05-08_2025-06-06
0.0,1,Core CPI m/m,Neutral,9,9,0,100.0,0.0,inf,2020-12-17_2021-01-15|2022-12-15_2023-01-13|2023-02-02_2023-03-03|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-08-01_2024-08-30|2024-11-08_2024-12-07|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.0,1,Core CPI m/m,Bad,7,7,0,100.0,0.0,inf,2021-06-17_2021-07-16|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-09-19_2024-10-18|2025-01-30_2025-02-28
0.1,1,Core CPI m/m,Good,3,2,1,66.7,33.3,2.0,2020-11-06_2020-12-05|2021-07-29_2021-08-27|2022-07-28_2022-08-26
0.1,1,Core CPI m/m,Neutral,15,14,1,93.3,6.7,14.0,2020-12-17_2021-01-15|2022-12-15_2023-01-13|2023-02-02_2023-03-03|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2023-11-02_2023-12-01|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.1,1,Core CPI m/m,Bad,6,6,0,100.0,0.0,inf,2021-06-17_2021-07-16|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2025-01-30_2025-02-28
0.2,1,Core CPI m/m,Neutral,23,21,2,91.3,8.7,10.5,2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-07-29_2021-08-27|2022-06-16_2022-07-15|2022-07-28_2022-08-26|2022-09-22_2022-10-21|2022-12-15_2023-01-13|2023-02-02_2023-03-03|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2023-11-02_2023-12-01|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-06-17_2021-07-16
0.3,1,Core CPI m/m,Neutral,23,21,2,91.3,8.7,10.5,2020-11-06_2020-12-05|2020-12-17_2021-01-15|2021-07-29_2021-08-27|2022-06-16_2022-07-15|2022-07-28_2022-08-26|2022-09-22_2022-10-21|2022-12-15_2023-01-13|2023-02-02_2023-03-03|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2023-11-02_2023-12-01|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-05-08_2025-06-06|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-06-17_2021-07-16
0.0,1,PPI m/m,Bad,12,11,1,91.7,8.3,11.0,2020-11-06_2020-12-05|2021-06-17_2021-07-16|2021-07-29_2021-08-27|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2023-02-02_2023-03-03|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-02-01_2024-03-01|2025-01-30_2025-02-28|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.0,1,PPI m/m,Good,10,9,1,90.0,10.0,9.0,2020-12-17_2021-01-15|2022-07-28_2022-08-26|2023-06-15_2023-07-14|2023-11-02_2023-12-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-12-19_2025-01-17|2025-05-08_2025-06-06
0.0,1,PPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2024-11-08_2024-12-07|2025-10-30_2025-11-28
0.1,1,PPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2020-11-06_2020-12-05|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2024-03-21_2024-04-19|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2025-10-30_2025-11-28
0.1,1,PPI m/m,Good,6,6,0,100.0,0.0,inf,2020-12-17_2021-01-15|2022-07-28_2022-08-26|2023-11-02_2023-12-01|2024-06-13_2024-07-12|2024-12-19_2025-01-17|2025-05-08_2025-06-06
0.1,1,PPI m/m,Bad,10,9,1,90.0,10.0,9.0,2021-06-17_2021-07-16|2021-07-29_2021-08-27|2022-06-16_2022-07-15|2022-09-22_2022-10-21|2023-02-02_2023-03-03|2023-09-21_2023-10-20|2024-02-01_2024-03-01|2025-01-30_2025-02-28|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.2,1,PPI m/m,Neutral,15,13,2,86.7,13.3,6.5,2020-11-06_2020-12-05|2020-12-17_2021-01-15|2022-09-22_2022-10-21|2023-06-15_2023-07-14|2023-07-27_2023-08-25|2023-09-21_2023-10-20|2024-02-01_2024-03-01|2024-03-21_2024-04-19|2024-06-13_2024-07-12|2024-08-01_2024-08-30|2024-09-19_2024-10-18|2024-11-08_2024-12-07|2024-12-19_2025-01-17|2025-01-30_2025-02-28|2025-10-30_2025-11-28
0.2,1,PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-06-17_2021-07-16|2021-07-29_2021-08-27|2022-06-16_2022-07-15|2023-02-02_2023-03-03|2025-07-31_2025-08-29|2026-01-29_2026-02-27
0.2,1,PPI m/m,Good,3,3,0,100.0,0.0,inf,2022-07-28_2022-08-26|2023-11-02_2023-12-01|2025-05-08_2025-06-06
