آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,20,14,6,70.0,30.0,2.33,2021-04-23_2021-04-27|2021-06-11_2021-06-15|2021-09-17_2021-09-21|2021-10-29_2021-11-02|2021-12-10_2021-12-14|2023-06-09_2023-06-13|2023-09-15_2023-09-19|2023-12-08_2023-12-12|2024-01-26_2024-01-30|2024-04-26_2024-04-30|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27|2026-04-24_2026-04-28|2026-06-12_2026-06-16
0.0,1,FOMC,Bad,6,6,0,100.0,0.0,inf,2022-03-11_2022-03-15|2022-04-29_2022-05-03|2022-09-16_2022-09-20|2022-10-28_2022-11-01|2022-12-09_2022-12-13|2023-04-28_2023-05-02
0.0,1,FOMC,Good,5,5,0,100.0,0.0,inf,2024-09-13_2024-09-17|2024-12-13_2024-12-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.1,1,FOMC,Neutral,20,14,6,70.0,30.0,2.33,2021-04-23_2021-04-27|2021-06-11_2021-06-15|2021-09-17_2021-09-21|2021-10-29_2021-11-02|2021-12-10_2021-12-14|2023-06-09_2023-06-13|2023-09-15_2023-09-19|2023-12-08_2023-12-12|2024-01-26_2024-01-30|2024-04-26_2024-04-30|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27|2026-04-24_2026-04-28|2026-06-12_2026-06-16
0.1,1,FOMC,Bad,6,6,0,100.0,0.0,inf,2022-03-11_2022-03-15|2022-04-29_2022-05-03|2022-09-16_2022-09-20|2022-10-28_2022-11-01|2022-12-09_2022-12-13|2023-04-28_2023-05-02
0.1,1,FOMC,Good,5,5,0,100.0,0.0,inf,2024-09-13_2024-09-17|2024-12-13_2024-12-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.2,1,FOMC,Neutral,20,14,6,70.0,30.0,2.33,2021-04-23_2021-04-27|2021-06-11_2021-06-15|2021-09-17_2021-09-21|2021-10-29_2021-11-02|2021-12-10_2021-12-14|2023-06-09_2023-06-13|2023-09-15_2023-09-19|2023-12-08_2023-12-12|2024-01-26_2024-01-30|2024-04-26_2024-04-30|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27|2026-04-24_2026-04-28|2026-06-12_2026-06-16
0.2,1,FOMC,Bad,6,6,0,100.0,0.0,inf,2022-03-11_2022-03-15|2022-04-29_2022-05-03|2022-09-16_2022-09-20|2022-10-28_2022-11-01|2022-12-09_2022-12-13|2023-04-28_2023-05-02
0.2,1,FOMC,Good,5,5,0,100.0,0.0,inf,2024-09-13_2024-09-17|2024-12-13_2024-12-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2025-12-05_2025-12-09
0.3,1,FOMC,Neutral,26,20,6,76.9,23.1,3.33,2021-04-23_2021-04-27|2021-06-11_2021-06-15|2021-09-17_2021-09-21|2021-10-29_2021-11-02|2021-12-10_2021-12-14|2022-03-11_2022-03-15|2023-04-28_2023-05-02|2023-06-09_2023-06-13|2023-09-15_2023-09-19|2023-12-08_2023-12-12|2024-01-26_2024-01-30|2024-04-26_2024-04-30|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2024-12-13_2024-12-17|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2025-12-05_2025-12-09|2026-01-23_2026-01-27|2026-04-24_2026-04-28|2026-06-12_2026-06-16
0.3,1,FOMC,Bad,4,4,0,100.0,0.0,inf,2022-04-29_2022-05-03|2022-09-16_2022-09-20|2022-10-28_2022-11-01|2022-12-09_2022-12-13
0.3,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09-13_2024-09-17
