آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2021-03-11_2021-03-20|2022-03-11_2022-03-20|2022-04-13_2022-04-22|2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-08-11_2023-08-20|2024-08-15_2024-08-24|2024-12-12_2024-12-21|2025-01-16_2025-01-25|2025-07-16_2025-07-25|2025-08-13_2025-08-22
0.0,1,CPI m/m,Bad,11,9,2,81.8,18.2,4.5,2021-04-14_2021-04-23|2021-05-13_2021-05-22|2021-07-14_2021-07-23|2021-10-14_2021-10-23|2021-11-11_2021-11-20|2022-02-11_2022-02-20|2022-09-14_2022-09-23|2023-12-13_2023-12-22|2024-04-11_2024-04-20|2025-02-13_2025-02-22|2025-09-12_2025-09-21
0.0,1,CPI m/m,Good,13,11,2,84.6,15.4,5.5,2021-09-15_2021-09-24|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-04-13_2023-04-22|2023-11-15_2023-11-24|2024-05-16_2024-05-25|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2025-03-13_2025-03-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.1,1,CPI m/m,Neutral,20,15,5,75.0,25.0,3.0,2021-03-11_2021-03-20|2021-04-14_2021-04-23|2022-03-11_2022-03-20|2022-04-13_2022-04-22|2023-03-15_2023-03-24|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-08-11_2023-08-20|2023-11-15_2023-11-24|2023-12-13_2023-12-22|2024-06-13_2024-06-22|2024-08-15_2024-08-24|2024-12-12_2024-12-21|2025-01-16_2025-01-25|2025-03-13_2025-03-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2025-08-13_2025-08-22|2026-02-14_2026-02-23
0.1,1,CPI m/m,Bad,9,7,2,77.8,22.2,3.5,2021-05-13_2021-05-22|2021-07-14_2021-07-23|2021-10-14_2021-10-23|2021-11-11_2021-11-20|2022-02-11_2022-02-20|2022-09-14_2022-09-23|2024-04-11_2024-04-20|2025-02-13_2025-02-22|2025-09-12_2025-09-21
0.1,1,CPI m/m,Good,6,6,0,100.0,0.0,inf,2021-09-15_2021-09-24|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2024-05-16_2024-05-25|2024-07-12_2024-07-21|2025-10-25_2025-11-03
0.2,1,CPI m/m,Neutral,32,26,6,81.2,18.8,4.33,2021-03-11_2021-03-20|2021-04-14_2021-04-23|2021-09-15_2021-09-24|2021-10-14_2021-10-23|2022-02-11_2022-02-20|2022-03-11_2022-03-20|2022-04-13_2022-04-22|2022-08-11_2022-08-20|2022-09-14_2022-09-23|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-08-11_2023-08-20|2023-11-15_2023-11-24|2023-12-13_2023-12-22|2024-04-11_2024-04-20|2024-05-16_2024-05-25|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2024-08-15_2024-08-24|2024-12-12_2024-12-21|2025-01-16_2025-01-25|2025-02-13_2025-02-22|2025-03-13_2025-03-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2025-08-13_2025-08-22|2025-09-12_2025-09-21|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.2,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05-13_2021-05-22|2021-07-14_2021-07-23|2021-11-11_2021-11-20
0.3,1,CPI m/m,Neutral,32,26,6,81.2,18.8,4.33,2021-03-11_2021-03-20|2021-04-14_2021-04-23|2021-09-15_2021-09-24|2021-10-14_2021-10-23|2022-02-11_2022-02-20|2022-03-11_2022-03-20|2022-04-13_2022-04-22|2022-08-11_2022-08-20|2022-09-14_2022-09-23|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-08-11_2023-08-20|2023-11-15_2023-11-24|2023-12-13_2023-12-22|2024-04-11_2024-04-20|2024-05-16_2024-05-25|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2024-08-15_2024-08-24|2024-12-12_2024-12-21|2025-01-16_2025-01-25|2025-02-13_2025-02-22|2025-03-13_2025-03-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2025-08-13_2025-08-22|2025-09-12_2025-09-21|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.3,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05-13_2021-05-22|2021-07-14_2021-07-23|2021-11-11_2021-11-20
