آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2018-02-15_2018-03-01|2019-07-12_2019-07-26|2022-06-11_2022-06-25|2022-09-14_2022-09-28|2023-12-13_2023-12-27|2024-11-14_2024-11-28
0.0,1,PPI m/m,Good,21,10,11,47.6,52.4,0.91,2019-02-14_2019-02-28|2019-12-12_2019-12-26|2020-01-15_2020-01-29|2021-10-14_2021-10-28|2022-03-11_2022-03-25|2022-11-11_2022-11-25|2023-01-13_2023-01-27|2023-03-15_2023-03-29|2023-04-13_2023-04-27|2023-05-11_2023-05-25|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-11-15_2023-11-29|2024-01-12_2024-01-26|2024-04-11_2024-04-25|2024-06-13_2024-06-27|2024-10-11_2024-10-25|2025-03-13_2025-03-27|2025-04-11_2025-04-25|2025-05-14_2025-05-28|2025-07-16_2025-07-30
0.0,1,PPI m/m,Bad,16,11,5,68.8,31.2,2.2,2019-04-11_2019-04-25|2019-11-14_2019-11-28|2020-06-11_2020-06-25|2020-11-13_2020-11-27|2021-02-11_2021-02-25|2022-04-13_2022-04-27|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2024-02-14_2024-02-28|2024-03-13_2024-03-27|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2024-12-12_2024-12-26|2025-08-13_2025-08-27|2026-02-14_2026-02-28
0.1,1,PPI m/m,Neutral,15,9,6,60.0,40.0,1.5,2018-02-15_2018-03-01|2019-07-12_2019-07-26|2020-01-15_2020-01-29|2020-11-13_2020-11-27|2021-10-14_2021-10-28|2022-06-11_2022-06-25|2022-09-14_2022-09-28|2023-05-11_2023-05-25|2023-07-13_2023-07-27|2023-12-13_2023-12-27|2024-04-11_2024-04-25|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2024-10-11_2024-10-25|2024-11-14_2024-11-28
0.1,1,PPI m/m,Good,15,8,7,53.3,46.7,1.14,2019-02-14_2019-02-28|2019-12-12_2019-12-26|2022-03-11_2022-03-25|2022-11-11_2022-11-25|2023-01-13_2023-01-27|2023-03-15_2023-03-29|2023-04-13_2023-04-27|2023-06-14_2023-06-28|2023-11-15_2023-11-29|2024-01-12_2024-01-26|2024-06-13_2024-06-27|2025-03-13_2025-03-27|2025-04-11_2025-04-25|2025-05-14_2025-05-28|2025-07-16_2025-07-30
0.1,1,PPI m/m,Bad,13,8,5,61.5,38.5,1.6,2019-04-11_2019-04-25|2019-11-14_2019-11-28|2020-06-11_2020-06-25|2021-02-11_2021-02-25|2022-04-13_2022-04-27|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2024-02-14_2024-02-28|2024-03-13_2024-03-27|2024-12-12_2024-12-26|2025-08-13_2025-08-27|2026-02-14_2026-02-28
0.2,1,PPI m/m,Neutral,26,14,12,53.8,46.2,1.17,2018-02-15_2018-03-01|2019-02-14_2019-02-28|2019-07-12_2019-07-26|2019-11-14_2019-11-28|2019-12-12_2019-12-26|2020-01-15_2020-01-29|2020-11-13_2020-11-27|2021-10-14_2021-10-28|2022-03-11_2022-03-25|2022-06-11_2022-06-25|2022-09-14_2022-09-28|2022-11-11_2022-11-25|2023-05-11_2023-05-25|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-12-13_2023-12-27|2024-01-12_2024-01-26|2024-02-14_2024-02-28|2024-04-11_2024-04-25|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2024-10-11_2024-10-25|2024-11-14_2024-11-28|2024-12-12_2024-12-26|2025-07-16_2025-07-30|2026-02-14_2026-02-28
0.2,1,PPI m/m,Bad,9,6,3,66.7,33.3,2.0,2019-04-11_2019-04-25|2020-06-11_2020-06-25|2021-02-11_2021-02-25|2022-04-13_2022-04-27|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2024-03-13_2024-03-27|2025-08-13_2025-08-27
0.2,1,PPI m/m,Good,8,5,3,62.5,37.5,1.67,2023-01-13_2023-01-27|2023-03-15_2023-03-29|2023-04-13_2023-04-27|2023-11-15_2023-11-29|2024-06-13_2024-06-27|2025-03-13_2025-03-27|2025-04-11_2025-04-25|2025-05-14_2025-05-28
0.3,1,PPI m/m,Neutral,32,18,14,56.2,43.8,1.29,2018-02-15_2018-03-01|2019-02-14_2019-02-28|2019-04-11_2019-04-25|2019-07-12_2019-07-26|2019-11-14_2019-11-28|2019-12-12_2019-12-26|2020-01-15_2020-01-29|2020-11-13_2020-11-27|2021-10-14_2021-10-28|2022-03-11_2022-03-25|2022-04-13_2022-04-27|2022-06-11_2022-06-25|2022-09-14_2022-09-28|2022-11-11_2022-11-25|2023-02-15_2023-03-01|2023-05-11_2023-05-25|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-09-14_2023-09-28|2023-12-13_2023-12-27|2024-01-12_2024-01-26|2024-02-14_2024-02-28|2024-03-13_2024-03-27|2024-04-11_2024-04-25|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2024-10-11_2024-10-25|2024-11-14_2024-11-28|2024-12-12_2024-12-26|2025-03-13_2025-03-27|2025-07-16_2025-07-30|2026-02-14_2026-02-28
0.3,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2020-06-11_2020-06-25|2021-02-11_2021-02-25|2022-07-14_2022-07-28|2025-08-13_2025-08-27
0.3,1,PPI m/m,Good,7,4,3,57.1,42.9,1.33,2023-01-13_2023-01-27|2023-03-15_2023-03-29|2023-04-13_2023-04-27|2023-11-15_2023-11-29|2024-06-13_2024-06-27|2025-04-11_2025-04-25|2025-05-14_2025-05-28
0.0,1,Core PPI m/m,Bad,15,12,3,80.0,20.0,4.0,2018-02-15_2018-03-01|2019-02-14_2019-02-28|2019-04-11_2019-04-25|2019-07-12_2019-07-26|2019-11-14_2019-11-28|2021-02-11_2021-02-25|2022-04-13_2022-04-27|2022-09-14_2022-09-28|2023-02-15_2023-03-01|2024-02-14_2024-02-28|2024-03-13_2024-03-27|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2025-08-13_2025-08-27|2026-02-14_2026-02-28
0.0,1,Core PPI m/m,Good,19,9,10,47.4,52.6,0.9,2019-12-12_2019-12-26|2020-01-15_2020-01-29|2020-11-13_2020-11-27|2021-10-14_2021-10-28|2022-03-11_2022-03-25|2022-06-11_2022-06-25|2022-07-14_2022-07-28|2022-11-11_2022-11-25|2023-03-15_2023-03-29|2023-04-13_2023-04-27|2023-07-13_2023-07-27|2023-11-15_2023-11-29|2023-12-13_2023-12-27|2024-01-12_2024-01-26|2024-06-13_2024-06-27|2025-03-13_2025-03-27|2025-04-11_2025-04-25|2025-05-14_2025-05-28|2025-07-16_2025-07-30
0.0,1,Core PPI m/m,Neutral,9,4,5,44.4,55.6,0.8,2020-06-11_2020-06-25|2023-01-13_2023-01-27|2023-05-11_2023-05-25|2023-06-14_2023-06-28|2023-09-14_2023-09-28|2024-04-11_2024-04-25|2024-10-11_2024-10-25|2024-11-14_2024-11-28|2024-12-12_2024-12-26
0.1,1,Core PPI m/m,Bad,9,8,1,88.9,11.1,8.0,2018-02-15_2018-03-01|2021-02-11_2021-02-25|2022-04-13_2022-04-27|2022-09-14_2022-09-28|2023-02-15_2023-03-01|2024-02-14_2024-02-28|2024-07-12_2024-07-26|2025-08-13_2025-08-27|2026-02-14_2026-02-28
