آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Good,11,7,4,63.6,36.4,1.75,2020-11-13_2020-12-12|2022-08-11_2022-09-09|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2024-07-12_2024-08-10|2025-04-11_2025-05-10|2025-08-13_2025-09-11|2025-10-25_2025-11-23|2025-12-19_2026-01-17|2026-02-14_2026-03-15
0.0,1,CPI y/y,Bad,7,6,1,85.7,14.3,6.0,2021-07-14_2021-08-12|2021-08-12_2021-09-10|2022-09-14_2022-10-13|2023-09-14_2023-10-13|2023-10-13_2023-11-11|2024-02-14_2024-03-14|2024-03-13_2024-04-11
0.0,1,CPI y/y,Neutral,4,4,0,100.0,0.0,inf,2023-03-15_2023-04-13|2024-11-14_2024-12-13|2025-01-16_2025-02-14|2025-09-12_2025-10-11
0.1,1,CPI y/y,Good,8,6,2,75.0,25.0,3.0,2020-11-13_2020-12-12|2022-08-11_2022-09-09|2023-07-13_2023-08-11|2024-07-12_2024-08-10|2025-04-11_2025-05-10|2025-10-25_2025-11-23|2025-12-19_2026-01-17|2026-02-14_2026-03-15
0.1,1,CPI y/y,Bad,7,6,1,85.7,14.3,6.0,2021-07-14_2021-08-12|2021-08-12_2021-09-10|2022-09-14_2022-10-13|2023-09-14_2023-10-13|2023-10-13_2023-11-11|2024-02-14_2024-03-14|2024-03-13_2024-04-11
0.1,1,CPI y/y,Neutral,7,5,2,71.4,28.6,2.5,2023-03-15_2023-04-13|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2024-11-14_2024-12-13|2025-01-16_2025-02-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11
0.2,1,CPI y/y,Neutral,18,14,4,77.8,22.2,3.5,2020-11-13_2020-12-12|2021-08-12_2021-09-10|2022-08-11_2022-09-09|2023-03-15_2023-04-13|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-10-13_2023-11-11|2024-03-13_2024-04-11|2024-07-12_2024-08-10|2024-11-14_2024-12-13|2025-01-16_2025-02-14|2025-04-11_2025-05-10|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.2,1,CPI y/y,Bad,3,2,1,66.7,33.3,2.0,2021-07-14_2021-08-12|2022-09-14_2022-10-13|2024-02-14_2024-03-14
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-19_2026-01-17
0.3,1,CPI y/y,Neutral,20,16,4,80.0,20.0,4.0,2020-11-13_2020-12-12|2021-08-12_2021-09-10|2022-08-11_2022-09-09|2022-09-14_2022-10-13|2023-03-15_2023-04-13|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-10-13_2023-11-11|2024-02-14_2024-03-14|2024-03-13_2024-04-11|2024-07-12_2024-08-10|2024-11-14_2024-12-13|2025-01-16_2025-02-14|2025-04-11_2025-05-10|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15
0.3,1,CPI y/y,Bad,1,0,1,0.0,100.0,0.0,2021-07-14_2021-08-12
0.3,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-19_2026-01-17
