آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,13,7,6,53.8,46.2,1.17,2021-05-13_2021-06-11|2021-06-11_2021-07-10|2021-07-14_2021-08-12|2021-10-14_2021-11-12|2021-11-11_2021-12-10|2021-12-11_2022-01-09|2022-09-14_2022-10-13|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-10-11_2024-11-09|2025-02-13_2025-03-14|2025-09-12_2025-10-11
0.0,1,CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2021-08-12_2021-09-10|2022-03-11_2022-04-09|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-08-13_2025-09-11|2026-01-14_2026-02-12
0.0,1,CPI m/m,Good,7,5,2,71.4,28.6,2.5,2021-09-15_2021-10-14|2024-05-16_2024-06-14|2024-07-12_2024-08-10|2025-03-13_2025-04-11|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11
0.1,1,CPI m/m,Bad,9,6,3,66.7,33.3,2.0,2021-05-13_2021-06-11|2021-06-11_2021-07-10|2021-07-14_2021-08-12|2021-10-14_2021-11-12|2021-11-11_2021-12-10|2021-12-11_2022-01-09|2022-09-14_2022-10-13|2025-02-13_2025-03-14|2025-09-12_2025-10-11
0.1,1,CPI m/m,Neutral,13,8,5,61.5,38.5,1.6,2021-08-12_2021-09-10|2022-03-11_2022-04-09|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-03-13_2025-04-11|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2026-01-14_2026-02-12
0.1,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2021-09-15_2021-10-14|2024-05-16_2024-06-14|2024-07-12_2024-08-10|2025-04-11_2025-05-10
0.2,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05-13_2021-06-11|2021-07-14_2021-08-12|2021-11-11_2021-12-10
0.2,1,CPI m/m,Neutral,23,15,8,65.2,34.8,1.88,2021-06-11_2021-07-10|2021-08-12_2021-09-10|2021-09-15_2021-10-14|2021-10-14_2021-11-12|2021-12-11_2022-01-09|2022-03-11_2022-04-09|2022-09-14_2022-10-13|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-05-16_2024-06-14|2024-07-12_2024-08-10|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-02-13_2025-03-14|2025-03-13_2025-04-11|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2026-01-14_2026-02-12
0.3,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05-13_2021-06-11|2021-07-14_2021-08-12|2021-11-11_2021-12-10
0.3,1,CPI m/m,Neutral,23,15,8,65.2,34.8,1.88,2021-06-11_2021-07-10|2021-08-12_2021-09-10|2021-09-15_2021-10-14|2021-10-14_2021-11-12|2021-12-11_2022-01-09|2022-03-11_2022-04-09|2022-09-14_2022-10-13|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-02-14_2024-03-14|2024-05-16_2024-06-14|2024-07-12_2024-08-10|2024-10-11_2024-11-09|2024-12-12_2025-01-10|2025-01-16_2025-02-14|2025-02-13_2025-03-14|2025-03-13_2025-04-11|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2026-01-14_2026-02-12
