آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Bad,11,10,1,90.9,9.1,10.0,2020-09-11_2020-10-10|2021-06-16_2021-07-15|2021-09-11_2021-10-10|2023-08-12_2023-09-10|2024-03-15_2024-04-13|2018-11-10_2018-12-09|2019-02-15_2019-03-16|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2022-12-10_2023-01-08|2023-02-17_2023-03-18
0.0,1,Core PPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2022-01-14_2022-02-12|2023-05-12_2023-06-10|2026-01-15_2026-02-13|2018-05-10_2018-06-08|2023-01-19_2023-02-17|2024-11-15_2024-12-14|2025-02-14_2025-03-15
0.0,1,Core PPI m/m,Good,17,13,4,76.5,23.5,3.25,2022-07-15_2022-08-13|2023-04-14_2023-05-13|2023-07-14_2023-08-12|2024-01-13_2024-02-11|2024-06-14_2024-07-13|2025-03-14_2025-04-12|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2019-01-16_2019-02-14|2019-03-14_2019-04-12|2019-05-10_2019-06-08|2020-03-13_2020-04-11|2020-05-14_2020-06-12|2020-11-14_2020-12-13|2024-08-14_2024-09-12|2025-05-16_2025-06-14|2025-07-17_2025-08-15
0.1,1,Core PPI m/m,Bad,5,5,0,100.0,0.0,inf,2020-09-11_2020-10-10|2021-06-16_2021-07-15|2018-11-10_2018-12-09|2022-12-10_2023-01-08|2023-02-17_2023-03-18
0.1,1,Core PPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2021-09-11_2021-10-10|2022-01-14_2022-02-12|2022-07-15_2022-08-13|2023-05-12_2023-06-10|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2024-03-15_2024-04-13|2025-11-26_2025-12-25|2026-01-15_2026-02-13|2018-05-10_2018-06-08|2019-02-15_2019-03-16|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-07-13_2019-08-11|2020-11-14_2020-12-13|2023-01-19_2023-02-17|2024-11-15_2024-12-14|2025-02-14_2025-03-15
0.1,1,Core PPI m/m,Good,11,9,2,81.8,18.2,4.5,2023-04-14_2023-05-13|2024-01-13_2024-02-11|2024-06-14_2024-07-13|2025-03-14_2025-04-12|2025-06-13_2025-07-12|2019-01-16_2019-02-14|2020-03-13_2020-04-11|2020-05-14_2020-06-12|2024-08-14_2024-09-12|2025-05-16_2025-06-14|2025-07-17_2025-08-15
0.2,1,Core PPI m/m,Neutral,28,21,7,75.0,25.0,3.0,2020-09-11_2020-10-10|2021-06-16_2021-07-15|2021-09-11_2021-10-10|2022-01-14_2022-02-12|2022-07-15_2022-08-13|2023-05-12_2023-06-10|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2024-01-13_2024-02-11|2024-03-15_2024-04-13|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2026-01-15_2026-02-13|2018-05-10_2018-06-08|2019-02-15_2019-03-16|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-07-13_2019-08-11|2020-05-14_2020-06-12|2020-11-14_2020-12-13|2022-12-10_2023-01-08|2023-01-19_2023-02-17|2023-02-17_2023-03-18|2024-08-14_2024-09-12|2024-11-15_2024-12-14|2025-02-14_2025-03-15|2025-07-17_2025-08-15
0.2,1,Core PPI m/m,Good,6,5,1,83.3,16.7,5.0,2023-04-14_2023-05-13|2024-06-14_2024-07-13|2025-03-14_2025-04-12|2019-01-16_2019-02-14|2020-03-13_2020-04-11|2025-05-16_2025-06-14
0.2,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2018-11-10_2018-12-09
0.3,1,Core PPI m/m,Neutral,30,23,7,76.7,23.3,3.29,2020-09-11_2020-10-10|2021-06-16_2021-07-15|2021-09-11_2021-10-10|2022-01-14_2022-02-12|2022-07-15_2022-08-13|2023-05-12_2023-06-10|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2024-01-13_2024-02-11|2024-03-15_2024-04-13|2024-06-14_2024-07-13|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2026-01-15_2026-02-13|2018-05-10_2018-06-08|2018-11-10_2018-12-09|2019-02-15_2019-03-16|2019-03-14_2019-04-12|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-07-13_2019-08-11|2020-05-14_2020-06-12|2020-11-14_2020-12-13|2022-12-10_2023-01-08|2023-01-19_2023-02-17|2023-02-17_2023-03-18|2024-08-14_2024-09-12|2024-11-15_2024-12-14|2025-02-14_2025-03-15|2025-07-17_2025-08-15
0.3,1,Core PPI m/m,Good,5,4,1,80.0,20.0,4.0,2023-04-14_2023-05-13|2025-03-14_2025-04-12|2019-01-16_2019-02-14|2020-03-13_2020-04-11|2025-05-16_2025-06-14
