آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Good,6,4,2,66.7,33.3,2.0,2019-05-10_2019-05-24|2023-07-14_2023-07-28|2023-11-16_2023-11-30|2025-01-15_2025-01-29|2025-06-13_2025-06-27|2025-07-17_2025-07-31
0.0,1,Core PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2019-06-12_2019-06-26|2020-06-12_2020-06-26|2021-01-16_2021-01-30|2023-05-12_2023-05-26|2024-10-12_2024-10-26|2026-01-15_2026-01-29
0.0,1,Core PPI m/m,Bad,11,8,3,72.7,27.3,2.67,2019-07-13_2019-07-27|2019-09-12_2019-09-26|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-08-12_2023-08-26|2024-03-15_2024-03-29|2024-09-13_2024-09-27|2026-02-28_2026-03-14
0.1,1,Core PPI m/m,Neutral,13,10,3,76.9,23.1,3.33,2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-09-12_2019-09-26|2020-06-12_2020-06-26|2021-01-16_2021-01-30|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2024-03-15_2024-03-29|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2026-01-15_2026-01-29
0.1,1,Core PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2020-08-12_2020-08-26|2020-09-11_2020-09-25|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2026-02-28_2026-03-14
0.1,1,Core PPI m/m,Good,4,3,1,75.0,25.0,3.0,2023-11-16_2023-11-30|2025-01-15_2025-01-29|2025-06-13_2025-06-27|2025-07-17_2025-07-31
0.2,1,Core PPI m/m,Neutral,20,15,5,75.0,25.0,3.0,2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-09-12_2019-09-26|2020-06-12_2020-06-26|2020-09-11_2020-09-25|2021-01-16_2021-01-30|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2024-03-15_2024-03-29|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2025-01-15_2025-01-29|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2026-01-15_2026-01-29
0.2,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-26|2026-02-28_2026-03-14
0.2,1,Core PPI m/m,Good,1,0,1,0.0,100.0,0.0,2023-11-16_2023-11-30
0.3,1,Core PPI m/m,Neutral,21,15,6,71.4,28.6,2.5,2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-09-12_2019-09-26|2020-06-12_2020-06-26|2020-09-11_2020-09-25|2021-01-16_2021-01-30|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-11-16_2023-11-30|2024-03-15_2024-03-29|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2025-01-15_2025-01-29|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2026-01-15_2026-01-29
0.3,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-26|2026-02-28_2026-03-14
