آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,23,16,7,69.6,30.4,2.29,2020-11-14_2020-11-23|2021-02-18_2021-02-27|2021-03-13_2021-03-22|2021-05-14_2021-05-23|2021-07-15_2021-07-24|2021-08-13_2021-08-22|2022-02-16_2022-02-25|2022-04-14_2022-04-23|2022-07-15_2022-07-24|2022-10-13_2022-10-22|2022-12-10_2022-12-19|2023-02-17_2023-02-26|2023-09-15_2023-09-24|2023-10-12_2023-10-21|2024-02-17_2024-02-26|2024-03-15_2024-03-24|2024-05-15_2024-05-24|2024-07-13_2024-07-22|2024-09-13_2024-09-22|2024-12-13_2024-12-22|2025-02-14_2025-02-23|2025-08-15_2025-08-24|2026-02-28_2026-03-09
0.0,1,PPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2020-12-12_2020-12-21|2021-11-10_2021-11-19|2022-06-15_2022-06-24|2022-09-15_2022-09-24|2024-11-15_2024-11-24|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.0,1,PPI m/m,Good,25,16,9,64.0,36.0,1.78,2021-01-16_2021-01-25|2021-10-15_2021-10-24|2022-01-14_2022-01-23|2022-03-16_2022-03-25|2022-08-12_2022-08-21|2022-11-16_2022-11-25|2023-01-19_2023-01-28|2023-03-16_2023-03-25|2023-04-14_2023-04-23|2023-05-12_2023-05-21|2023-06-15_2023-06-24|2023-07-14_2023-07-23|2023-11-16_2023-11-25|2024-01-13_2024-01-22|2024-04-12_2024-04-21|2024-06-14_2024-06-23|2024-08-14_2024-08-23|2024-10-12_2024-10-21|2025-01-15_2025-01-24|2025-03-14_2025-03-23|2025-04-12_2025-04-21|2025-05-16_2025-05-25|2025-06-13_2025-06-22|2025-07-17_2025-07-26|2025-09-11_2025-09-20
0.1,1,PPI m/m,Neutral,19,10,9,52.6,47.4,1.11,2020-11-14_2020-11-23|2020-12-12_2020-12-21|2021-03-13_2021-03-22|2021-10-15_2021-10-24|2021-11-10_2021-11-19|2022-06-15_2022-06-24|2022-09-15_2022-09-24|2022-12-10_2022-12-19|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2024-04-12_2024-04-21|2024-07-13_2024-07-22|2024-08-14_2024-08-23|2024-09-13_2024-09-22|2024-10-12_2024-10-21|2024-11-15_2024-11-24|2025-06-13_2025-06-22|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.1,1,PPI m/m,Good,18,13,5,72.2,27.8,2.6,2021-01-16_2021-01-25|2022-01-14_2022-01-23|2022-03-16_2022-03-25|2022-08-12_2022-08-21|2022-11-16_2022-11-25|2023-01-19_2023-01-28|2023-03-16_2023-03-25|2023-04-14_2023-04-23|2023-06-15_2023-06-24|2023-11-16_2023-11-25|2024-01-13_2024-01-22|2024-06-14_2024-06-23|2025-01-15_2025-01-24|2025-03-14_2025-03-23|2025-04-12_2025-04-21|2025-05-16_2025-05-25|2025-07-17_2025-07-26|2025-09-11_2025-09-20
0.1,1,PPI m/m,Bad,18,14,4,77.8,22.2,3.5,2021-02-18_2021-02-27|2021-05-14_2021-05-23|2021-07-15_2021-07-24|2021-08-13_2021-08-22|2022-02-16_2022-02-25|2022-04-14_2022-04-23|2022-07-15_2022-07-24|2022-10-13_2022-10-22|2023-02-17_2023-02-26|2023-09-15_2023-09-24|2023-10-12_2023-10-21|2024-02-17_2024-02-26|2024-03-15_2024-03-24|2024-05-15_2024-05-24|2024-12-13_2024-12-22|2025-02-14_2025-02-23|2025-08-15_2025-08-24|2026-02-28_2026-03-09
0.2,1,PPI m/m,Neutral,34,23,11,67.6,32.4,2.09,2020-11-14_2020-11-23|2020-12-12_2020-12-21|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2021-10-15_2021-10-24|2021-11-10_2021-11-19|2022-01-14_2022-01-23|2022-03-16_2022-03-25|2022-06-15_2022-06-24|2022-09-15_2022-09-24|2022-10-13_2022-10-22|2022-11-16_2022-11-25|2022-12-10_2022-12-19|2023-05-12_2023-05-21|2023-06-15_2023-06-24|2023-07-14_2023-07-23|2023-10-12_2023-10-21|2024-01-13_2024-01-22|2024-02-17_2024-02-26|2024-04-12_2024-04-21|2024-05-15_2024-05-24|2024-07-13_2024-07-22|2024-08-14_2024-08-23|2024-09-13_2024-09-22|2024-10-12_2024-10-21|2024-11-15_2024-11-24|2024-12-13_2024-12-22|2025-01-15_2025-01-24|2025-02-14_2025-02-23|2025-06-13_2025-06-22|2025-07-17_2025-07-26|2025-11-26_2025-12-05|2026-01-15_2026-01-24|2026-02-28_2026-03-09
0.2,1,PPI m/m,Bad,11,7,4,63.6,36.4,1.75,2021-02-18_2021-02-27|2021-05-14_2021-05-23|2021-07-15_2021-07-24|2021-08-13_2021-08-22|2022-02-16_2022-02-25|2022-04-14_2022-04-23|2022-07-15_2022-07-24|2023-02-17_2023-02-26|2023-09-15_2023-09-24|2024-03-15_2024-03-24|2025-08-15_2025-08-24
0.2,1,PPI m/m,Good,10,7,3,70.0,30.0,2.33,2022-08-12_2022-08-21|2023-01-19_2023-01-28|2023-03-16_2023-03-25|2023-04-14_2023-04-23|2023-11-16_2023-11-25|2024-06-14_2024-06-23|2025-03-14_2025-03-23|2025-04-12_2025-04-21|2025-05-16_2025-05-25|2025-09-11_2025-09-20
0.3,1,PPI m/m,Neutral,40,27,13,67.5,32.5,2.08,2020-11-14_2020-11-23|2020-12-12_2020-12-21|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2021-05-14_2021-05-23|2021-10-15_2021-10-24|2021-11-10_2021-11-19|2022-01-14_2022-01-23|2022-03-16_2022-03-25|2022-04-14_2022-04-23|2022-06-15_2022-06-24|2022-09-15_2022-09-24|2022-10-13_2022-10-22|2022-11-16_2022-11-25|2022-12-10_2022-12-19|2023-02-17_2023-02-26|2023-05-12_2023-05-21|2023-06-15_2023-06-24|2023-07-14_2023-07-23|2023-09-15_2023-09-24|2023-10-12_2023-10-21|2024-01-13_2024-01-22|2024-02-17_2024-02-26|2024-03-15_2024-03-24|2024-04-12_2024-04-21|2024-05-15_2024-05-24|2024-07-13_2024-07-22|2024-08-14_2024-08-23|2024-09-13_2024-09-22|2024-10-12_2024-10-21|2024-11-15_2024-11-24|2024-12-13_2024-12-22|2025-01-15_2025-01-24|2025-02-14_2025-02-23|2025-03-14_2025-03-23|2025-06-13_2025-06-22|2025-07-17_2025-07-26|2025-11-26_2025-12-05|2026-01-15_2026-01-24|2026-02-28_2026-03-09
