آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Neutral,11,3,8,27.3,72.7,0.37,2018-05-10_2018-06-08|2018-10-11_2018-11-09|2019-06-12_2019-07-11|2020-06-12_2020-07-11|2021-03-13_2021-04-11|2022-10-13_2022-11-11|2023-01-19_2023-02-17|2023-05-12_2023-06-10|2023-06-15_2023-07-14|2023-09-15_2023-10-14|2024-10-12_2024-11-10
0.0,1,Core PPI m/m,Bad,20,9,11,45.0,55.0,0.82,2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-12-12_2019-01-10|2019-04-12_2019-05-11|2019-07-13_2019-08-11|2019-11-15_2019-12-14|2020-08-12_2020-09-10|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2021-08-13_2021-09-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2022-09-15_2022-10-14|2023-02-17_2023-03-18|2023-08-12_2023-09-10|2023-10-12_2023-11-10|2024-05-15_2024-06-13|2024-07-13_2024-08-11|2024-09-13_2024-10-12|2026-02-28_2026-03-29
0.0,1,Core PPI m/m,Good,25,14,11,56.0,44.0,1.27,2018-09-13_2018-10-12|2019-01-16_2019-02-14|2019-05-10_2019-06-08|2019-08-10_2019-09-08|2019-10-09_2019-11-07|2019-12-13_2020-01-11|2020-01-16_2020-02-14|2020-11-14_2020-12-13|2022-03-16_2022-04-14|2022-05-13_2022-06-11|2022-07-15_2022-08-13|2022-08-12_2022-09-10|2022-11-16_2022-12-15|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-07-14_2023-08-12|2023-12-14_2024-01-12|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2025-01-15_2025-02-13|2025-03-14_2025-04-12|2025-04-12_2025-05-11|2025-05-16_2025-06-14|2025-09-11_2025-10-10|2025-11-26_2025-12-25
0.1,1,Core PPI m/m,Neutral,25,11,14,44.0,56.0,0.79,2018-05-10_2018-06-08|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-10-11_2018-11-09|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-07-13_2019-08-11|2019-11-15_2019-12-14|2020-01-16_2020-02-14|2020-06-12_2020-07-11|2020-11-14_2020-12-13|2021-03-13_2021-04-11|2022-07-15_2022-08-13|2022-10-13_2022-11-11|2023-01-19_2023-02-17|2023-05-12_2023-06-10|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2024-09-13_2024-10-12|2024-10-12_2024-11-10|2025-11-26_2025-12-25
0.1,1,Core PPI m/m,Good,19,10,9,52.6,47.4,1.11,2018-09-13_2018-10-12|2019-01-16_2019-02-14|2019-08-10_2019-09-08|2019-10-09_2019-11-07|2019-12-13_2020-01-11|2022-03-16_2022-04-14|2022-05-13_2022-06-11|2022-08-12_2022-09-10|2022-11-16_2022-12-15|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-12-14_2024-01-12|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2025-01-15_2025-02-13|2025-03-14_2025-04-12|2025-04-12_2025-05-11|2025-05-16_2025-06-14|2025-09-11_2025-10-10
0.1,1,Core PPI m/m,Bad,12,5,7,41.7,58.3,0.71,2018-12-12_2019-01-10|2020-08-12_2020-09-10|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2021-08-13_2021-09-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2022-09-15_2022-10-14|2023-02-17_2023-03-18|2024-05-15_2024-06-13|2024-07-13_2024-08-11|2026-02-28_2026-03-29
0.2,1,Core PPI m/m,Neutral,36,16,20,44.4,55.6,0.8,2018-05-10_2018-06-08|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-10-11_2018-11-09|2018-12-12_2019-01-10|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-07-13_2019-08-11|2019-11-15_2019-12-14|2020-01-16_2020-02-14|2020-06-12_2020-07-11|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-03-13_2021-04-11|2022-05-13_2022-06-11|2022-07-15_2022-08-13|2022-08-12_2022-09-10|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2023-01-19_2023-02-17|2023-02-17_2023-03-18|2023-05-12_2023-06-10|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2023-12-14_2024-01-12|2024-07-13_2024-08-11|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-10-12_2024-11-10|2025-01-15_2025-02-13|2025-11-26_2025-12-25
0.2,1,Core PPI m/m,Good,14,8,6,57.1,42.9,1.33,2018-09-13_2018-10-12|2019-01-16_2019-02-14|2019-08-10_2019-09-08|2019-10-09_2019-11-07|2019-12-13_2020-01-11|2022-03-16_2022-04-14|2022-11-16_2022-12-15|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2024-06-14_2024-07-13|2025-03-14_2025-04-12|2025-04-12_2025-05-11|2025-05-16_2025-06-14|2025-09-11_2025-10-10
0.2,1,Core PPI m/m,Bad,6,2,4,33.3,66.7,0.5,2020-08-12_2020-09-10|2021-08-13_2021-09-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2024-05-15_2024-06-13|2026-02-28_2026-03-29
0.3,1,Core PPI m/m,Neutral,40,18,22,45.0,55.0,0.82,2018-05-10_2018-06-08|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-10-11_2018-11-09|2018-12-12_2019-01-10|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-07-13_2019-08-11|2019-11-15_2019-12-14|2020-01-16_2020-02-14|2020-06-12_2020-07-11|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2020-11-14_2020-12-13|2021-03-13_2021-04-11|2021-12-15_2022-01-13|2022-05-13_2022-06-11|2022-07-15_2022-08-13|2022-08-12_2022-09-10|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2022-11-16_2022-12-15|2023-01-19_2023-02-17|2023-02-17_2023-03-18|2023-05-12_2023-06-10|2023-06-15_2023-07-14|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2023-12-14_2024-01-12|2024-05-15_2024-06-13|2024-06-14_2024-07-13|2024-07-13_2024-08-11|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-10-12_2024-11-10|2025-01-15_2025-02-13|2025-11-26_2025-12-25
