آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,28,21,7,75.0,25.0,3.0,2018-03-15_2018-03-29|2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-11-10_2018-11-24|2019-04-12_2019-04-26|2019-09-12_2019-09-26|2020-02-20_2020-03-05|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2021-03-13_2021-03-27|2021-04-10_2021-04-24|2021-09-11_2021-09-25|2022-02-16_2022-03-02|2022-04-14_2022-04-28|2023-02-17_2023-03-03|2024-03-15_2024-03-29|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-12-13_2024-12-27|2026-01-31_2026-02-14|2026-02-28_2026-03-14|2020-04-10_2020-04-24|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2021-12-15_2021-12-29|2022-12-10_2022-12-24|2023-08-12_2023-08-26
0.0,1,PPI m/m,Good,30,18,12,60.0,40.0,1.5,2018-05-10_2018-05-24|2018-08-10_2018-08-24|2019-02-15_2019-03-01|2019-03-14_2019-03-28|2019-10-09_2019-10-23|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2021-10-15_2021-10-29|2022-01-14_2022-01-28|2022-11-16_2022-11-30|2023-03-16_2023-03-30|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-09-11_2025-09-25|2018-01-12_2018-01-26|2018-09-13_2018-09-27|2019-01-16_2019-01-30|2020-01-16_2020-01-30|2023-01-19_2023-02-02|2023-06-15_2023-06-29|2025-01-15_2025-01-29
0.0,1,PPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-10-11_2018-10-25|2019-07-13_2019-07-27|2020-12-12_2020-12-26|2022-05-13_2022-05-27|2023-12-14_2023-12-28|2024-11-15_2024-11-29|2025-11-26_2025-12-10|2018-02-16_2018-03-02|2019-05-10_2019-05-24|2019-06-12_2019-06-26
0.1,1,PPI m/m,Neutral,31,23,8,74.2,25.8,2.88,2018-03-15_2018-03-29|2018-05-10_2018-05-24|2018-07-12_2018-07-26|2018-10-11_2018-10-25|2019-03-14_2019-03-28|2019-07-13_2019-07-27|2019-09-12_2019-09-26|2020-09-11_2020-09-25|2020-12-12_2020-12-26|2021-03-13_2021-03-27|2021-09-11_2021-09-25|2021-10-15_2021-10-29|2022-05-13_2022-05-27|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2023-12-14_2023-12-28|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2025-06-13_2025-06-27|2025-11-26_2025-12-10|2018-02-16_2018-03-02|2019-01-16_2019-01-30|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2020-01-16_2020-01-30|2020-04-10_2020-04-24|2020-11-14_2020-11-28|2022-12-10_2022-12-24|2023-08-12_2023-08-26
0.1,1,PPI m/m,Bad,17,12,5,70.6,29.4,2.4,2018-06-14_2018-06-28|2018-11-10_2018-11-24|2019-04-12_2019-04-26|2020-02-20_2020-03-05|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2021-04-10_2021-04-24|2022-02-16_2022-03-02|2022-04-14_2022-04-28|2023-02-17_2023-03-03|2024-03-15_2024-03-29|2024-05-15_2024-05-29|2024-12-13_2024-12-27|2026-01-31_2026-02-14|2026-02-28_2026-03-14|2020-10-15_2020-10-29|2021-12-15_2021-12-29
0.1,1,PPI m/m,Good,20,12,8,60.0,40.0,1.5,2018-08-10_2018-08-24|2019-02-15_2019-03-01|2019-10-09_2019-10-23|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2022-01-14_2022-01-28|2022-11-16_2022-11-30|2023-03-16_2023-03-30|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-07-17_2025-07-31|2025-09-11_2025-09-25|2018-01-12_2018-01-26|2018-09-13_2018-09-27|2023-01-19_2023-02-02|2023-06-15_2023-06-29|2025-01-15_2025-01-29
0.2,1,PPI m/m,Neutral,43,31,12,72.1,27.9,2.58,2018-03-15_2018-03-29|2018-05-10_2018-05-24|2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-08-10_2018-08-24|2018-10-11_2018-10-25|2019-02-15_2019-03-01|2019-03-14_2019-03-28|2019-07-13_2019-07-27|2019-09-12_2019-09-26|2020-09-11_2020-09-25|2020-12-12_2020-12-26|2021-03-13_2021-03-27|2021-09-11_2021-09-25|2021-10-15_2021-10-29|2022-01-14_2022-01-28|2022-05-13_2022-05-27|2022-11-16_2022-11-30|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2023-12-14_2023-12-28|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-02-28_2026-03-14|2018-02-16_2018-03-02|2019-01-16_2019-01-30|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2020-01-16_2020-01-30|2020-04-10_2020-04-24|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2022-12-10_2022-12-24|2023-06-15_2023-06-29|2023-08-12_2023-08-26|2025-01-15_2025-01-29
0.2,1,PPI m/m,Bad,12,8,4,66.7,33.3,2.0,2018-11-10_2018-11-24|2019-04-12_2019-04-26|2020-02-20_2020-03-05|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2021-04-10_2021-04-24|2022-02-16_2022-03-02|2022-04-14_2022-04-28|2023-02-17_2023-03-03|2024-03-15_2024-03-29|2026-01-31_2026-02-14|2021-12-15_2021-12-29
0.2,1,PPI m/m,Good,13,8,5,61.5,38.5,1.6,2019-10-09_2019-10-23|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2023-03-16_2023-03-30|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25|2018-01-12_2018-01-26|2018-09-13_2018-09-27|2023-01-19_2023-02-02
0.3,1,PPI m/m,Neutral,50,36,14,72.0,28.0,2.57,2018-03-15_2018-03-29|2018-05-10_2018-05-24|2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-08-10_2018-08-24|2018-10-11_2018-10-25|2019-02-15_2019-03-01|2019-03-14_2019-03-28|2019-04-12_2019-04-26|2019-07-13_2019-07-27|2019-09-12_2019-09-26|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2020-12-12_2020-12-26|2021-03-13_2021-03-27|2021-09-11_2021-09-25|2021-10-15_2021-10-29|2022-01-14_2022-01-28|2022-04-14_2022-04-28|2022-05-13_2022-05-27|2022-11-16_2022-11-30|2023-02-17_2023-03-03|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2023-12-14_2023-12-28|2024-03-15_2024-03-29|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-03-14_2025-03-28|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-01-31_2026-02-14|2026-02-28_2026-03-14|2018-02-16_2018-03-02|2019-01-16_2019-01-30|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2020-01-16_2020-01-30|2020-04-10_2020-04-24|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2022-12-10_2022-12-24|2023-06-15_2023-06-29|2023-08-12_2023-08-26|2025-01-15_2025-01-29
0.3,1,PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2018-11-10_2018-11-24|2020-02-20_2020-03-05|2020-06-12_2020-06-26|2021-04-10_2021-04-24|2022-02-16_2022-03-02|2021-12-15_2021-12-29
0.3,1,PPI m/m,Good,12,7,5,58.3,41.7,1.4,2019-10-09_2019-10-23|2020-05-14_2020-05-28|2020-07-11_2020-07-25|2023-03-16_2023-03-30|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25|2018-01-12_2018-01-26|2018-09-13_2018-09-27|2023-01-19_2023-02-02
