آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2018-02-15_2018-03-01|2019-07-12_2019-07-26|2022-05-12_2022-05-26|2026-01-14_2026-01-28|2022-06-11_2022-06-25|2023-12-13_2023-12-27|2024-11-14_2024-11-28
0.0,1,PPI m/m,Good,21,14,7,66.7,33.3,2.0,2019-01-12_2019-01-26|2020-03-12_2020-03-26|2020-05-13_2020-05-27|2021-01-14_2021-01-28|2021-10-14_2021-10-28|2023-01-13_2023-01-27|2023-04-13_2023-04-27|2023-05-11_2023-05-25|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2024-06-13_2024-06-27|2024-10-11_2024-10-25|2019-02-14_2019-02-28|2019-03-13_2019-03-27|2020-01-15_2020-01-29|2022-08-11_2022-08-25|2023-11-15_2023-11-29|2025-04-11_2025-04-25|2025-05-14_2025-05-28|2025-06-12_2025-06-26|2025-07-16_2025-07-30
0.0,1,PPI m/m,Bad,21,16,5,76.2,23.8,3.2,2019-04-11_2019-04-25|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2020-10-14_2020-10-28|2020-11-13_2020-11-27|2021-02-11_2021-02-25|2021-03-11_2021-03-25|2021-07-14_2021-07-28|2021-12-11_2021-12-25|2022-02-11_2022-02-25|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-08-11_2023-08-25|2024-03-13_2024-03-27|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2024-12-12_2024-12-26|2026-02-14_2026-02-28|2021-06-11_2021-06-25|2023-09-14_2023-09-28|2025-02-13_2025-02-27
0.1,1,PPI m/m,Neutral,20,14,6,70.0,30.0,2.33,2018-02-15_2018-03-01|2019-01-12_2019-01-26|2019-07-12_2019-07-26|2020-11-13_2020-11-27|2021-03-11_2021-03-25|2021-10-14_2021-10-28|2022-05-12_2022-05-26|2023-05-11_2023-05-25|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2024-10-11_2024-10-25|2026-01-14_2026-01-28|2019-03-13_2019-03-27|2020-01-15_2020-01-29|2022-06-11_2022-06-25|2023-12-13_2023-12-27|2024-11-14_2024-11-28|2025-06-12_2025-06-26
0.1,1,PPI m/m,Bad,16,13,3,81.2,18.8,4.33,2019-04-11_2019-04-25|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2020-10-14_2020-10-28|2021-02-11_2021-02-25|2021-07-14_2021-07-28|2021-12-11_2021-12-25|2022-02-11_2022-02-25|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2024-03-13_2024-03-27|2024-12-12_2024-12-26|2026-02-14_2026-02-28|2021-06-11_2021-06-25|2023-09-14_2023-09-28|2025-02-13_2025-02-27
0.1,1,PPI m/m,Good,13,8,5,61.5,38.5,1.6,2020-03-12_2020-03-26|2020-05-13_2020-05-27|2021-01-14_2021-01-28|2023-01-13_2023-01-27|2023-04-13_2023-04-27|2023-06-14_2023-06-28|2024-06-13_2024-06-27|2019-02-14_2019-02-28|2022-08-11_2022-08-25|2023-11-15_2023-11-29|2025-04-11_2025-04-25|2025-05-14_2025-05-28|2025-07-16_2025-07-30
0.2,1,PPI m/m,Neutral,28,22,6,78.6,21.4,3.67,2018-02-15_2018-03-01|2019-01-12_2019-01-26|2019-07-12_2019-07-26|2020-10-14_2020-10-28|2020-11-13_2020-11-27|2021-01-14_2021-01-28|2021-03-11_2021-03-25|2021-10-14_2021-10-28|2022-05-12_2022-05-26|2023-05-11_2023-05-25|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2026-01-14_2026-01-28|2026-02-14_2026-02-28|2019-02-14_2019-02-28|2019-03-13_2019-03-27|2020-01-15_2020-01-29|2022-06-11_2022-06-25|2023-12-13_2023-12-27|2024-11-14_2024-11-28|2025-02-13_2025-02-27|2025-06-12_2025-06-26|2025-07-16_2025-07-30
0.2,1,PPI m/m,Bad,12,9,3,75.0,25.0,3.0,2019-04-11_2019-04-25|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2021-02-11_2021-02-25|2021-07-14_2021-07-28|2021-12-11_2021-12-25|2022-02-11_2022-02-25|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2024-03-13_2024-03-27|2021-06-11_2021-06-25|2023-09-14_2023-09-28
0.2,1,PPI m/m,Good,9,4,5,44.4,55.6,0.8,2020-03-12_2020-03-26|2020-05-13_2020-05-27|2023-01-13_2023-01-27|2023-04-13_2023-04-27|2024-06-13_2024-06-27|2022-08-11_2022-08-25|2023-11-15_2023-11-29|2025-04-11_2025-04-25|2025-05-14_2025-05-28
0.3,1,PPI m/m,Neutral,32,24,8,75.0,25.0,3.0,2018-02-15_2018-03-01|2019-01-12_2019-01-26|2019-04-11_2019-04-25|2019-07-12_2019-07-26|2020-10-14_2020-10-28|2020-11-13_2020-11-27|2021-01-14_2021-01-28|2021-03-11_2021-03-25|2021-10-14_2021-10-28|2022-05-12_2022-05-26|2023-02-15_2023-03-01|2023-05-11_2023-05-25|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2024-03-13_2024-03-27|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2024-10-11_2024-10-25|2024-12-12_2024-12-26|2026-01-14_2026-01-28|2026-02-14_2026-02-28|2019-02-14_2019-02-28|2019-03-13_2019-03-27|2020-01-15_2020-01-29|2022-06-11_2022-06-25|2023-09-14_2023-09-28|2023-12-13_2023-12-27|2024-11-14_2024-11-28|2025-02-13_2025-02-27|2025-06-12_2025-06-26|2025-07-16_2025-07-30
