آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,28,15,13,53.6,46.4,1.15,2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-11-10_2018-12-09|2018-12-12_2019-01-10|2019-04-12_2019-05-11|2019-09-12_2019-10-11|2020-06-12_2020-07-11|2020-08-12_2020-09-10|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2021-03-13_2021-04-11|2021-06-16_2021-07-15|2021-07-15_2021-08-13|2021-08-13_2021-09-11|2021-09-11_2021-10-10|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2022-10-13_2022-11-11|2022-12-10_2023-01-08|2023-02-17_2023-03-18|2023-08-12_2023-09-10|2023-09-15_2023-10-14|2024-05-15_2024-06-13|2024-07-13_2024-08-11|2024-09-13_2024-10-12|2024-12-13_2025-01-11|2025-02-14_2025-03-15|2026-02-28_2026-03-29
0.0,1,PPI m/m,Neutral,10,1,9,10.0,90.0,0.11,2018-10-11_2018-11-09|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-07-13_2019-08-11|2019-08-10_2019-09-08|2020-12-12_2021-01-10|2022-09-15_2022-10-14|2023-12-14_2024-01-12|2025-11-26_2025-12-25|2026-01-15_2026-02-13
0.0,1,PPI m/m,Good,21,12,9,57.1,42.9,1.33,2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-10-09_2019-11-07|2019-12-13_2020-01-11|2020-03-13_2020-04-11|2020-05-14_2020-06-12|2020-07-11_2020-08-09|2023-01-19_2023-02-17|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-05-12_2023-06-10|2023-06-15_2023-07-14|2023-11-16_2023-12-15|2024-04-12_2024-05-11|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-10-12_2024-11-10|2025-03-14_2025-04-12|2025-04-12_2025-05-11|2025-06-13_2025-07-12|2025-09-11_2025-10-10
0.1,1,PPI m/m,Bad,18,10,8,55.6,44.4,1.25,2018-06-14_2018-07-13|2018-11-10_2018-12-09|2019-04-12_2019-05-11|2020-06-12_2020-07-11|2020-08-12_2020-09-10|2020-10-15_2020-11-13|2021-06-16_2021-07-15|2021-07-15_2021-08-13|2021-08-13_2021-09-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2022-10-13_2022-11-11|2023-02-17_2023-03-18|2023-09-15_2023-10-14|2024-05-15_2024-06-13|2024-12-13_2025-01-11|2025-02-14_2025-03-15|2026-02-28_2026-03-29
0.1,1,PPI m/m,Neutral,26,9,17,34.6,65.4,0.53,2018-07-12_2018-08-10|2018-10-11_2018-11-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-07-13_2019-08-11|2019-08-10_2019-09-08|2019-09-12_2019-10-11|2020-09-11_2020-10-10|2020-12-12_2021-01-10|2021-03-13_2021-04-11|2021-09-11_2021-10-10|2022-09-15_2022-10-14|2022-12-10_2023-01-08|2023-05-12_2023-06-10|2023-08-12_2023-09-10|2023-12-14_2024-01-12|2024-04-12_2024-05-11|2024-07-13_2024-08-11|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-10-12_2024-11-10|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2026-01-15_2026-02-13
0.1,1,PPI m/m,Good,15,9,6,60.0,40.0,1.5,2019-02-15_2019-03-16|2019-10-09_2019-11-07|2019-12-13_2020-01-11|2020-03-13_2020-04-11|2020-05-14_2020-06-12|2020-07-11_2020-08-09|2023-01-19_2023-02-17|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-06-15_2023-07-14|2023-11-16_2023-12-15|2024-06-14_2024-07-13|2025-03-14_2025-04-12|2025-04-12_2025-05-11|2025-09-11_2025-10-10
0.2,1,PPI m/m,Neutral,36,14,22,38.9,61.1,0.64,2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-10-11_2018-11-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-07-13_2019-08-11|2019-08-10_2019-09-08|2019-09-12_2019-10-11|2019-12-13_2020-01-11|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2020-12-12_2021-01-10|2021-03-13_2021-04-11|2021-09-11_2021-10-10|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2022-12-10_2023-01-08|2023-05-12_2023-06-10|2023-06-15_2023-07-14|2023-08-12_2023-09-10|2023-12-14_2024-01-12|2024-04-12_2024-05-11|2024-05-15_2024-06-13|2024-07-13_2024-08-11|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-10-12_2024-11-10|2024-12-13_2025-01-11|2025-02-14_2025-03-15|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2026-01-15_2026-02-13|2026-02-28_2026-03-29
0.2,1,PPI m/m,Bad,11,7,4,63.6,36.4,1.75,2018-11-10_2018-12-09|2019-04-12_2019-05-11|2020-06-12_2020-07-11|2020-08-12_2020-09-10|2021-06-16_2021-07-15|2021-07-15_2021-08-13|2021-08-13_2021-09-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17|2023-02-17_2023-03-18|2023-09-15_2023-10-14
0.2,1,PPI m/m,Good,12,7,5,58.3,41.7,1.4,2019-10-09_2019-11-07|2020-03-13_2020-04-11|2020-05-14_2020-06-12|2020-07-11_2020-08-09|2023-01-19_2023-02-17|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-11-16_2023-12-15|2024-06-14_2024-07-13|2025-03-14_2025-04-12|2025-04-12_2025-05-11|2025-09-11_2025-10-10
0.3,1,PPI m/m,Neutral,41,16,25,39.0,61.0,0.64,2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-10-11_2018-11-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-04-12_2019-05-11|2019-05-10_2019-06-08|2019-06-12_2019-07-11|2019-07-13_2019-08-11|2019-08-10_2019-09-08|2019-09-12_2019-10-11|2019-12-13_2020-01-11|2020-08-12_2020-09-10|2020-09-11_2020-10-10|2020-10-15_2020-11-13|2020-12-12_2021-01-10|2021-03-13_2021-04-11|2021-09-11_2021-10-10|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2022-12-10_2023-01-08|2023-02-17_2023-03-18|2023-05-12_2023-06-10|2023-06-15_2023-07-14|2023-08-12_2023-09-10|2023-09-15_2023-10-14|2023-12-14_2024-01-12|2024-04-12_2024-05-11|2024-05-15_2024-06-13|2024-07-13_2024-08-11|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2024-10-12_2024-11-10|2024-12-13_2025-01-11|2025-02-14_2025-03-15|2025-03-14_2025-04-12|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2026-01-15_2026-02-13|2026-02-28_2026-03-29
0.3,1,PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2018-11-10_2018-12-09|2020-06-12_2020-07-11|2021-06-16_2021-07-15|2021-07-15_2021-08-13|2021-08-13_2021-09-11|2021-12-15_2022-01-13|2022-02-16_2022-03-17
