آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,22,17,5,77.3,22.7,3.4,2021-10-15_2021-11-13|2023-05-12_2023-06-10|2023-07-14_2023-08-12|2024-01-13_2024-02-11|2024-06-14_2024-07-13|2025-06-13_2025-07-12|2018-05-10_2018-06-08|2018-09-13_2018-10-12|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-12-13_2020-01-11|2020-03-13_2020-04-11|2020-05-14_2020-06-12|2020-07-11_2020-08-09|2021-01-16_2021-02-14|2022-01-14_2022-02-12|2023-06-15_2023-07-14|2024-08-14_2024-09-12|2024-10-12_2024-11-10|2025-01-15_2025-02-13|2025-04-12_2025-05-11|2025-09-11_2025-10-10
0.0,1,PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2021-11-10_2021-12-09|2022-09-15_2022-10-14|2023-12-14_2024-01-12|2025-11-26_2025-12-25|2018-10-11_2018-11-09|2019-06-12_2019-07-11
0.0,1,PPI m/m,Bad,21,12,9,57.1,42.9,1.33,2022-04-14_2022-05-13|2022-10-13_2022-11-11|2023-02-17_2023-03-18|2023-09-15_2023-10-14|2024-02-17_2024-03-17|2024-03-15_2024-04-13|2024-05-15_2024-06-13|2024-09-13_2024-10-12|2024-12-13_2025-01-11|2025-08-15_2025-09-13|2026-02-28_2026-03-29|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-11-10_2018-12-09|2018-12-12_2019-01-10|2020-06-12_2020-07-11|2022-02-16_2022-03-17|2022-07-15_2022-08-13|2022-12-10_2023-01-08|2023-08-12_2023-09-10|2024-07-13_2024-08-11
0.1,1,PPI m/m,Neutral,20,14,6,70.0,30.0,2.33,2021-10-15_2021-11-13|2021-11-10_2021-12-09|2022-09-15_2022-10-14|2023-05-12_2023-06-10|2023-07-14_2023-08-12|2023-12-14_2024-01-12|2024-09-13_2024-10-12|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2018-05-10_2018-06-08|2018-07-12_2018-08-10|2018-10-11_2018-11-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-06-12_2019-07-11|2022-12-10_2023-01-08|2023-08-12_2023-09-10|2024-07-13_2024-08-11|2024-08-14_2024-09-12|2024-10-12_2024-11-10
0.1,1,PPI m/m,Bad,15,8,7,53.3,46.7,1.14,2022-04-14_2022-05-13|2022-10-13_2022-11-11|2023-02-17_2023-03-18|2023-09-15_2023-10-14|2024-02-17_2024-03-17|2024-03-15_2024-04-13|2024-05-15_2024-06-13|2024-12-13_2025-01-11|2025-08-15_2025-09-13|2026-02-28_2026-03-29|2018-06-14_2018-07-13|2018-11-10_2018-12-09|2020-06-12_2020-07-11|2022-02-16_2022-03-17|2022-07-15_2022-08-13
0.1,1,PPI m/m,Good,14,12,2,85.7,14.3,6.0,2024-01-13_2024-02-11|2024-06-14_2024-07-13|2018-09-13_2018-10-12|2019-02-15_2019-03-16|2019-12-13_2020-01-11|2020-03-13_2020-04-11|2020-05-14_2020-06-12|2020-07-11_2020-08-09|2021-01-16_2021-02-14|2022-01-14_2022-02-12|2023-06-15_2023-07-14|2025-01-15_2025-02-13|2025-04-12_2025-05-11|2025-09-11_2025-10-10
0.2,1,PPI m/m,Neutral,33,25,8,75.8,24.2,3.12,2021-10-15_2021-11-13|2021-11-10_2021-12-09|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2023-05-12_2023-06-10|2023-07-14_2023-08-12|2023-12-14_2024-01-12|2024-01-13_2024-02-11|2024-02-17_2024-03-17|2024-05-15_2024-06-13|2024-09-13_2024-10-12|2024-12-13_2025-01-11|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2026-02-28_2026-03-29|2018-05-10_2018-06-08|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-10-11_2018-11-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-06-12_2019-07-11|2019-12-13_2020-01-11|2021-01-16_2021-02-14|2022-01-14_2022-02-12|2022-12-10_2023-01-08|2023-06-15_2023-07-14|2023-08-12_2023-09-10|2024-07-13_2024-08-11|2024-08-14_2024-09-12|2024-10-12_2024-11-10|2025-01-15_2025-02-13
0.2,1,PPI m/m,Bad,9,4,5,44.4,55.6,0.8,2022-04-14_2022-05-13|2023-02-17_2023-03-18|2023-09-15_2023-10-14|2024-03-15_2024-04-13|2025-08-15_2025-09-13|2018-11-10_2018-12-09|2020-06-12_2020-07-11|2022-02-16_2022-03-17|2022-07-15_2022-08-13
0.2,1,PPI m/m,Good,7,5,2,71.4,28.6,2.5,2024-06-14_2024-07-13|2018-09-13_2018-10-12|2020-03-13_2020-04-11|2020-05-14_2020-06-12|2020-07-11_2020-08-09|2025-04-12_2025-05-11|2025-09-11_2025-10-10
0.3,1,PPI m/m,Neutral,37,28,9,75.7,24.3,3.11,2021-10-15_2021-11-13|2021-11-10_2021-12-09|2022-04-14_2022-05-13|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2023-02-17_2023-03-18|2023-05-12_2023-06-10|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-12-14_2024-01-12|2024-01-13_2024-02-11|2024-02-17_2024-03-17|2024-03-15_2024-04-13|2024-05-15_2024-06-13|2024-09-13_2024-10-12|2024-12-13_2025-01-11|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2026-02-28_2026-03-29|2018-05-10_2018-06-08|2018-06-14_2018-07-13|2018-07-12_2018-08-10|2018-10-11_2018-11-09|2018-12-12_2019-01-10|2019-01-16_2019-02-14|2019-02-15_2019-03-16|2019-06-12_2019-07-11|2019-12-13_2020-01-11|2021-01-16_2021-02-14|2022-01-14_2022-02-12|2022-12-10_2023-01-08|2023-06-15_2023-07-14|2023-08-12_2023-09-10|2024-07-13_2024-08-11|2024-08-14_2024-09-12|2024-10-12_2024-11-10|2025-01-15_2025-02-13
