آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Bad,17,11,6,64.7,35.3,1.83,2018-06-13_2018-07-12|2019-07-12_2019-08-10|2019-08-14_2019-09-12|2020-07-15_2020-08-13|2020-08-13_2020-09-11|2020-09-12_2020-10-11|2021-07-14_2021-08-12|2022-01-13_2022-02-11|2022-05-12_2022-06-10|2022-07-14_2022-08-12|2022-10-14_2022-11-12|2023-03-15_2023-04-13|2023-05-11_2023-06-09|2023-09-14_2023-10-13|2024-04-11_2024-05-10|2024-09-12_2024-10-11|2024-10-11_2024-11-09
0.0,1,Core CPI m/m,Neutral,25,18,7,72.0,28.0,2.57,2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-02-14_2019-03-15|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-03-12_2020-04-10|2020-10-14_2020-11-12|2021-12-11_2022-01-09|2022-03-11_2022-04-09|2023-01-13_2023-02-11|2023-02-15_2023-03-16|2023-04-13_2023-05-12|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2023-10-13_2023-11-11|2024-01-12_2024-02-10|2024-05-16_2024-06-14|2024-08-15_2024-09-13|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2026-02-14_2026-03-15
0.0,1,Core CPI m/m,Good,22,13,9,59.1,40.9,1.44,2018-09-14_2018-10-13|2018-10-12_2018-11-10|2019-03-13_2019-04-11|2019-04-11_2019-05-10|2019-06-13_2019-07-12|2020-01-15_2020-02-13|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2021-03-11_2021-04-09|2022-08-11_2022-09-09|2022-11-11_2022-12-10|2022-12-14_2023-01-12|2023-07-13_2023-08-11|2023-11-15_2023-12-14|2024-07-12_2024-08-10|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-10-25_2025-11-23|2026-01-14_2026-02-12
0.1,1,Core CPI m/m,Neutral,50,33,17,66.0,34.0,1.94,2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-09-14_2018-10-13|2018-10-12_2018-11-10|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-02-14_2019-03-15|2019-03-13_2019-04-11|2019-04-11_2019-05-10|2019-06-13_2019-07-12|2019-07-12_2019-08-10|2019-08-14_2019-09-12|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-01-15_2020-02-13|2020-03-12_2020-04-10|2020-06-11_2020-07-10|2020-07-15_2020-08-13|2020-10-14_2020-11-12|2021-03-11_2021-04-09|2021-12-11_2022-01-09|2022-01-13_2022-02-11|2022-03-11_2022-04-09|2022-12-14_2023-01-12|2023-01-13_2023-02-11|2023-02-15_2023-03-16|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-10-13_2023-11-11|2023-11-15_2023-12-14|2024-01-12_2024-02-10|2024-05-16_2024-06-14|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2024-10-11_2024-11-09|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-05-14_2025-06-12|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.1,1,Core CPI m/m,Good,6,4,2,66.7,33.3,2.0,2020-04-11_2020-05-10|2020-05-13_2020-06-11|2022-08-11_2022-09-09|2022-11-11_2022-12-10|2025-04-11_2025-05-10|2025-06-12_2025-07-11
0.1,1,Core CPI m/m,Bad,8,5,3,62.5,37.5,1.67,2020-08-13_2020-09-11|2020-09-12_2020-10-11|2021-07-14_2021-08-12|2022-05-12_2022-06-10|2022-07-14_2022-08-12|2022-10-14_2022-11-12|2023-05-11_2023-06-09|2024-04-11_2024-05-10
0.2,1,Core CPI m/m,Neutral,62,40,22,64.5,35.5,1.82,2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-09-14_2018-10-13|2018-10-12_2018-11-10|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-02-14_2019-03-15|2019-03-13_2019-04-11|2019-04-11_2019-05-10|2019-06-13_2019-07-12|2019-07-12_2019-08-10|2019-08-14_2019-09-12|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-01-15_2020-02-13|2020-03-12_2020-04-10|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-07-15_2020-08-13|2020-09-12_2020-10-11|2020-10-14_2020-11-12|2021-03-11_2021-04-09|2021-12-11_2022-01-09|2022-01-13_2022-02-11|2022-03-11_2022-04-09|2022-05-12_2022-06-10|2022-07-14_2022-08-12|2022-08-11_2022-09-09|2022-10-14_2022-11-12|2022-11-11_2022-12-10|2022-12-14_2023-01-12|2023-01-13_2023-02-11|2023-02-15_2023-03-16|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-10-13_2023-11-11|2023-11-15_2023-12-14|2024-01-12_2024-02-10|2024-04-11_2024-05-10|2024-05-16_2024-06-14|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2024-10-11_2024-11-09|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.2,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-13_2020-09-11|2021-07-14_2021-08-12
0.3,1,Core CPI m/m,Neutral,62,40,22,64.5,35.5,1.82,2018-06-13_2018-07-12|2018-07-13_2018-08-11|2018-08-11_2018-09-09|2018-09-14_2018-10-13|2018-10-12_2018-11-10|2018-12-13_2019-01-11|2019-01-12_2019-02-10|2019-02-14_2019-03-15|2019-03-13_2019-04-11|2019-04-11_2019-05-10|2019-06-13_2019-07-12|2019-07-12_2019-08-10|2019-08-14_2019-09-12|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-01-15_2020-02-13|2020-03-12_2020-04-10|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-07-15_2020-08-13|2020-09-12_2020-10-11|2020-10-14_2020-11-12|2021-03-11_2021-04-09|2021-12-11_2022-01-09|2022-01-13_2022-02-11|2022-03-11_2022-04-09|2022-05-12_2022-06-10|2022-07-14_2022-08-12|2022-08-11_2022-09-09|2022-10-14_2022-11-12|2022-11-11_2022-12-10|2022-12-14_2023-01-12|2023-01-13_2023-02-11|2023-02-15_2023-03-16|2023-03-15_2023-04-13|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2023-10-13_2023-11-11|2023-11-15_2023-12-14|2024-01-12_2024-02-10|2024-04-11_2024-05-10|2024-05-16_2024-06-14|2024-07-12_2024-08-10|2024-08-15_2024-09-13|2024-09-12_2024-10-11|2024-10-11_2024-11-09|2024-11-14_2024-12-13|2024-12-12_2025-01-10|2025-04-11_2025-05-10|2025-05-14_2025-06-12|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-09-12_2025-10-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15
0.3,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-13_2020-09-11|2021-07-14_2021-08-12
