آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Neutral,15,13,2,86.7,13.3,6.5,2018-06-13_2018-06-22|2018-07-13_2018-07-22|2018-11-15_2018-11-24|2018-12-13_2018-12-22|2019-01-12_2019-01-21|2020-07-15_2020-07-24|2020-10-14_2020-10-23|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-09-15_2021-09-24|2022-01-13_2022-01-22|2024-05-16_2024-05-25|2024-09-12_2024-09-21|2024-12-12_2024-12-21|2025-09-12_2025-09-21
0.0,1,CPI y/y,Good,16,11,5,68.8,31.2,2.2,2018-10-12_2018-10-21|2019-06-13_2019-06-22|2019-10-11_2019-10-20|2020-04-11_2020-04-20|2020-05-13_2020-05-22|2020-06-11_2020-06-20|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2024-08-15_2024-08-24|2025-03-13_2025-03-22|2025-12-19_2025-12-28|2026-02-14_2026-02-23
0.0,1,CPI y/y,Bad,7,5,2,71.4,28.6,2.5,2019-02-14_2019-02-23|2019-08-14_2019-08-23|2019-12-12_2019-12-21|2020-03-12_2020-03-21|2023-09-14_2023-09-23|2024-10-11_2024-10-20|2025-02-13_2025-02-22
0.1,1,CPI y/y,Neutral,20,16,4,80.0,20.0,4.0,2018-06-13_2018-06-22|2018-07-13_2018-07-22|2018-11-15_2018-11-24|2018-12-13_2018-12-22|2019-01-12_2019-01-21|2019-06-13_2019-06-22|2020-03-12_2020-03-21|2020-07-15_2020-07-24|2020-10-14_2020-10-23|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-09-15_2021-09-24|2022-01-13_2022-01-22|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-08-11_2023-08-20|2024-05-16_2024-05-25|2024-09-12_2024-09-21|2024-12-12_2024-12-21|2025-09-12_2025-09-21
0.1,1,CPI y/y,Good,12,9,3,75.0,25.0,3.0,2018-10-12_2018-10-21|2019-10-11_2019-10-20|2020-04-11_2020-04-20|2020-05-13_2020-05-22|2020-06-11_2020-06-20|2023-07-13_2023-07-22|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2024-08-15_2024-08-24|2025-03-13_2025-03-22|2025-12-19_2025-12-28|2026-02-14_2026-02-23
0.1,1,CPI y/y,Bad,6,4,2,66.7,33.3,2.0,2019-02-14_2019-02-23|2019-08-14_2019-08-23|2019-12-12_2019-12-21|2023-09-14_2023-09-23|2024-10-11_2024-10-20|2025-02-13_2025-02-22
0.2,1,CPI y/y,Neutral,37,28,9,75.7,24.3,3.11,2018-06-13_2018-06-22|2018-07-13_2018-07-22|2018-10-12_2018-10-21|2018-11-15_2018-11-24|2018-12-13_2018-12-22|2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-06-13_2019-06-22|2019-08-14_2019-08-23|2019-10-11_2019-10-20|2019-12-12_2019-12-21|2020-03-12_2020-03-21|2020-04-11_2020-04-20|2020-05-13_2020-05-22|2020-06-11_2020-06-20|2020-07-15_2020-07-24|2020-10-14_2020-10-23|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-09-15_2021-09-24|2022-01-13_2022-01-22|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-05-16_2024-05-25|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2024-08-15_2024-08-24|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-03-13_2025-03-22|2025-09-12_2025-09-21|2026-02-14_2026-02-23
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-19_2025-12-28
0.3,1,CPI y/y,Neutral,37,28,9,75.7,24.3,3.11,2018-06-13_2018-06-22|2018-07-13_2018-07-22|2018-10-12_2018-10-21|2018-11-15_2018-11-24|2018-12-13_2018-12-22|2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-06-13_2019-06-22|2019-08-14_2019-08-23|2019-10-11_2019-10-20|2019-12-12_2019-12-21|2020-03-12_2020-03-21|2020-04-11_2020-04-20|2020-05-13_2020-05-22|2020-06-11_2020-06-20|2020-07-15_2020-07-24|2020-10-14_2020-10-23|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-09-15_2021-09-24|2022-01-13_2022-01-22|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-05-16_2024-05-25|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2024-08-15_2024-08-24|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-03-13_2025-03-22|2025-09-12_2025-09-21|2026-02-14_2026-02-23
0.3,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-19_2025-12-28
