آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,22,12,10,54.5,45.5,1.2,2020-10-14_2020-10-23|2020-11-13_2020-11-22|2021-02-11_2021-02-20|2021-03-11_2021-03-20|2021-05-13_2021-05-22|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-08-13_2025-08-22|2022-07-14_2022-07-23|2023-09-14_2023-09-23|2024-09-12_2024-09-21
0.0,1,PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2020-12-11_2020-12-20|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2023-12-13_2023-12-22|2026-01-14_2026-01-23
0.0,1,PPI m/m,Good,18,15,3,83.3,16.7,5.0,2021-01-14_2021-01-23|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2024-01-12_2024-01-21|2024-04-11_2024-04-20|2024-10-11_2024-10-20|2025-04-11_2025-04-20|2025-05-14_2025-05-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2023-01-13_2023-01-22|2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-03-13_2025-03-22
0.1,1,PPI m/m,Bad,17,9,8,52.9,47.1,1.13,2020-10-14_2020-10-23|2021-02-11_2021-02-20|2021-05-13_2021-05-22|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-08-13_2025-08-22|2022-07-14_2022-07-23|2023-09-14_2023-09-23
0.1,1,PPI m/m,Neutral,16,13,3,81.2,18.8,4.33,2020-11-13_2020-11-22|2020-12-11_2020-12-20|2021-03-11_2021-03-20|2021-10-14_2021-10-23|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-04-11_2024-04-20|2024-07-12_2024-07-21|2024-10-11_2024-10-20|2025-06-12_2025-06-21|2026-01-14_2026-01-23|2024-09-12_2024-09-21
0.1,1,PPI m/m,Good,12,9,3,75.0,25.0,3.0,2021-01-14_2021-01-23|2022-01-13_2022-01-22|2022-11-11_2022-11-20|2023-03-15_2023-03-24|2024-01-12_2024-01-21|2025-04-11_2025-04-20|2025-05-14_2025-05-23|2025-07-16_2025-07-25|2023-01-13_2023-01-22|2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-03-13_2025-03-22
0.2,1,PPI m/m,Neutral,25,19,6,76.0,24.0,3.17,2020-10-14_2020-10-23|2020-11-13_2020-11-22|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-11-11_2022-11-20|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-01-12_2024-01-21|2024-02-14_2024-02-23|2024-04-11_2024-04-20|2024-07-12_2024-07-21|2024-10-11_2024-10-20|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2026-01-14_2026-01-23|2024-09-12_2024-09-21
0.2,1,PPI m/m,Bad,13,6,7,46.2,53.8,0.86,2021-02-11_2021-02-20|2021-05-13_2021-05-22|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2023-02-15_2023-02-24|2024-03-13_2024-03-22|2025-08-13_2025-08-22|2022-07-14_2022-07-23|2023-09-14_2023-09-23
0.2,1,PPI m/m,Good,7,6,1,85.7,14.3,6.0,2023-03-15_2023-03-24|2025-04-11_2025-04-20|2025-05-14_2025-05-23|2023-01-13_2023-01-22|2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-03-13_2025-03-22
0.3,1,PPI m/m,Neutral,31,23,8,74.2,25.8,2.88,2020-10-14_2020-10-23|2020-11-13_2020-11-22|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-03-11_2021-03-20|2021-05-13_2021-05-22|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-04-13_2022-04-22|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-11-11_2022-11-20|2023-02-15_2023-02-24|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-01-12_2024-01-21|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-04-11_2024-04-20|2024-07-12_2024-07-21|2024-10-11_2024-10-20|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2026-01-14_2026-01-23|2023-09-14_2023-09-23|2024-09-12_2024-09-21|2025-03-13_2025-03-22
