آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,20,15,5,75.0,25.0,3.0,2019-01-12_2019-01-16|2019-03-13_2019-03-17|2019-12-12_2019-12-16|2020-05-13_2020-05-17|2023-04-13_2023-04-17|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2023-03-15_2023-03-19|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2024-10-11_2024-10-15|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2020-03-12_2020-03-16
0.0,1,PPI m/m,Bad,21,14,7,66.7,33.3,2.0,2019-04-11_2019-04-15|2020-06-11_2020-06-15|2021-06-11_2021-06-15|2022-02-11_2022-02-15|2020-10-14_2020-10-18|2020-11-13_2020-11-17|2021-03-11_2021-03-15|2021-05-13_2021-05-17|2021-07-14_2021-07-18|2022-04-13_2022-04-17|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2023-08-11_2023-08-15|2024-02-14_2024-02-18|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2025-08-13_2025-08-17|2021-12-11_2021-12-15|2023-09-14_2023-09-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17
0.0,1,PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2019-07-12_2019-07-16|2022-05-12_2022-05-16|2020-12-11_2020-12-15|2023-12-13_2023-12-17|2024-11-14_2024-11-18
0.1,1,PPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2019-01-12_2019-01-16|2019-03-13_2019-03-17|2019-07-12_2019-07-16|2022-05-12_2022-05-16|2020-11-13_2020-11-17|2020-12-11_2020-12-15|2021-03-11_2021-03-15|2021-10-14_2021-10-18|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-12-13_2023-12-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-06-12_2025-06-16
0.1,1,PPI m/m,Bad,16,10,6,62.5,37.5,1.67,2019-04-11_2019-04-15|2020-06-11_2020-06-15|2021-06-11_2021-06-15|2022-02-11_2022-02-15|2020-10-14_2020-10-18|2021-05-13_2021-05-17|2021-07-14_2021-07-18|2022-04-13_2022-04-17|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2024-02-14_2024-02-18|2025-08-13_2025-08-17|2021-12-11_2021-12-15|2023-09-14_2023-09-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17
0.1,1,PPI m/m,Good,13,10,3,76.9,23.1,3.33,2019-12-12_2019-12-16|2020-05-13_2020-05-17|2023-04-13_2023-04-17|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2023-03-15_2023-03-19|2023-06-14_2023-06-18|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-07-16_2025-07-20|2020-03-12_2020-03-16
0.2,1,PPI m/m,Neutral,27,19,8,70.4,29.6,2.38,2019-01-12_2019-01-16|2019-03-13_2019-03-17|2019-07-12_2019-07-16|2019-12-12_2019-12-16|2022-05-12_2022-05-16|2024-01-12_2024-01-16|2020-10-14_2020-10-18|2020-11-13_2020-11-17|2020-12-11_2020-12-15|2021-03-11_2021-03-15|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-12-13_2023-12-17|2024-02-14_2024-02-18|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2024-12-12_2024-12-16|2025-02-13_2025-02-17
0.2,1,PPI m/m,Bad,12,8,4,66.7,33.3,2.0,2019-04-11_2019-04-15|2020-06-11_2020-06-15|2021-06-11_2021-06-15|2022-02-11_2022-02-15|2021-05-13_2021-05-17|2021-07-14_2021-07-18|2022-04-13_2022-04-17|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2025-08-13_2025-08-17|2021-12-11_2021-12-15|2023-09-14_2023-09-18
0.2,1,PPI m/m,Good,7,6,1,85.7,14.3,6.0,2020-05-13_2020-05-17|2023-04-13_2023-04-17|2024-06-13_2024-06-17|2023-03-15_2023-03-19|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2020-03-12_2020-03-16
0.3,1,PPI m/m,Neutral,32,23,9,71.9,28.1,2.56,2019-01-12_2019-01-16|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-07-12_2019-07-16|2019-12-12_2019-12-16|2022-05-12_2022-05-16|2024-01-12_2024-01-16|2020-10-14_2020-10-18|2020-11-13_2020-11-17|2020-12-11_2020-12-15|2021-03-11_2021-03-15|2021-05-13_2021-05-17|2021-10-14_2021-10-18|2022-01-13_2022-01-17|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2023-02-15_2023-02-19|2023-05-11_2023-05-15|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-12-13_2023-12-17|2024-02-14_2024-02-18|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-06-12_2025-06-16|2025-07-16_2025-07-20|2023-09-14_2023-09-18|2024-12-12_2024-12-16|2025-02-13_2025-02-17
