آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,21,15,6,71.4,28.6,2.5,2018-01-13_2018-01-22|2018-06-13_2018-06-22|2018-11-15_2018-11-24|2019-06-13_2019-06-22|2019-09-13_2019-09-22|2020-01-15_2020-01-24|2020-10-14_2020-10-23|2021-02-11_2021-02-20|2021-03-11_2021-03-20|2021-08-12_2021-08-21|2022-03-11_2022-03-20|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-08-11_2023-08-20|2024-03-13_2024-03-22|2024-09-12_2024-09-21|2024-12-12_2024-12-21|2025-01-16_2025-01-25|2026-01-14_2026-01-23
0.0,1,CPI m/m,Bad,18,12,6,66.7,33.3,2.0,2018-02-15_2018-02-24|2019-07-12_2019-07-21|2019-11-14_2019-11-23|2020-08-13_2020-08-22|2020-09-12_2020-09-21|2021-06-11_2021-06-20|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-02-11_2022-02-20|2022-05-12_2022-05-21|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2022-10-14_2022-10-23|2023-12-13_2023-12-22|2024-02-14_2024-02-23|2024-04-11_2024-04-20|2024-10-11_2024-10-20|2025-02-13_2025-02-22
0.0,1,CPI m/m,Good,16,14,2,87.5,12.5,7.0,2018-04-12_2018-04-21|2018-05-11_2018-05-20|2018-07-13_2018-07-22|2018-09-14_2018-09-23|2018-10-12_2018-10-21|2019-02-14_2019-02-23|2019-05-11_2019-05-20|2019-10-11_2019-10-20|2020-06-11_2020-06-20|2022-12-14_2022-12-23|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.1,1,CPI m/m,Neutral,39,29,10,74.4,25.6,2.9,2018-01-13_2018-01-22|2018-04-12_2018-04-21|2018-05-11_2018-05-20|2018-06-13_2018-06-22|2018-07-13_2018-07-22|2018-09-14_2018-09-23|2018-10-12_2018-10-21|2018-11-15_2018-11-24|2019-02-14_2019-02-23|2019-06-13_2019-06-22|2019-07-12_2019-07-21|2019-09-13_2019-09-22|2019-10-11_2019-10-20|2020-01-15_2020-01-24|2020-06-11_2020-06-20|2020-10-14_2020-10-23|2021-02-11_2021-02-20|2021-03-11_2021-03-20|2021-08-12_2021-08-21|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-05-12_2022-05-21|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-06-13_2024-06-22|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-12-12_2024-12-21|2025-01-16_2025-01-25|2026-01-14_2026-01-23|2026-02-14_2026-02-23
0.1,1,CPI m/m,Bad,12,9,3,75.0,25.0,3.0,2018-02-15_2018-02-24|2019-11-14_2019-11-23|2020-08-13_2020-08-22|2020-09-12_2020-09-21|2021-06-11_2021-06-20|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-06-11_2022-06-20|2022-09-14_2022-09-23|2022-10-14_2022-10-23|2024-04-11_2024-04-20|2025-02-13_2025-02-22
0.1,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2019-05-11_2019-05-20|2022-12-14_2022-12-23|2024-07-12_2024-07-21|2025-10-25_2025-11-03
0.2,1,CPI m/m,Neutral,53,39,14,73.6,26.4,2.79,2018-01-13_2018-01-22|2018-02-15_2018-02-24|2018-04-12_2018-04-21|2018-05-11_2018-05-20|2018-06-13_2018-06-22|2018-07-13_2018-07-22|2018-09-14_2018-09-23|2018-10-12_2018-10-21|2018-11-15_2018-11-24|2019-02-14_2019-02-23|2019-05-11_2019-05-20|2019-06-13_2019-06-22|2019-07-12_2019-07-21|2019-09-13_2019-09-22|2019-10-11_2019-10-20|2019-11-14_2019-11-23|2020-01-15_2020-01-24|2020-06-11_2020-06-20|2020-09-12_2020-09-21|2020-10-14_2020-10-23|2021-02-11_2021-02-20|2021-03-11_2021-03-20|2021-06-11_2021-06-20|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-02-11_2022-02-20|2022-03-11_2022-03-20|2022-05-12_2022-05-21|2022-09-14_2022-09-23|2022-10-14_2022-10-23|2022-12-14_2022-12-23|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-04-11_2024-04-20|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-12-12_2024-12-21|2025-01-16_2025-01-25|2025-02-13_2025-02-22|2025-10-25_2025-11-03|2026-01-14_2026-01-23|2026-02-14_2026-02-23
0.2,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-13_2020-08-22|2022-06-11_2022-06-20
0.3,1,CPI m/m,Neutral,54,40,14,74.1,25.9,2.86,2018-01-13_2018-01-22|2018-02-15_2018-02-24|2018-04-12_2018-04-21|2018-05-11_2018-05-20|2018-06-13_2018-06-22|2018-07-13_2018-07-22|2018-09-14_2018-09-23|2018-10-12_2018-10-21|2018-11-15_2018-11-24|2019-02-14_2019-02-23|2019-05-11_2019-05-20|2019-06-13_2019-06-22|2019-07-12_2019-07-21|2019-09-13_2019-09-22|2019-10-11_2019-10-20|2019-11-14_2019-11-23|2020-01-15_2020-01-24|2020-06-11_2020-06-20|2020-08-13_2020-08-22|2020-09-12_2020-09-21|2020-10-14_2020-10-23|2021-02-11_2021-02-20|2021-03-11_2021-03-20|2021-06-11_2021-06-20|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-02-11_2022-02-20|2022-03-11_2022-03-20|2022-05-12_2022-05-21|2022-09-14_2022-09-23|2022-10-14_2022-10-23|2022-12-14_2022-12-23|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-03-15_2023-03-24|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-04-11_2024-04-20|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2024-12-12_2024-12-21|2025-01-16_2025-01-25|2025-02-13_2025-02-22|2025-10-25_2025-11-03|2026-01-14_2026-01-23|2026-02-14_2026-02-23
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-11_2022-06-20
