آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Good,7,6,1,85.7,14.3,6.0,2018-01-12_2018-01-21|2018-08-10_2018-08-19|2022-03-16_2022-03-25|2023-07-14_2023-07-23|2024-01-13_2024-01-22|2025-05-16_2025-05-25|2025-09-11_2025-09-20
0.0,1,Core PPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2018-03-15_2018-03-24|2018-05-10_2018-05-19|2018-10-11_2018-10-20|2020-06-12_2020-06-21|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2023-01-19_2023-01-28|2023-05-12_2023-05-21|2024-04-12_2024-04-21|2026-01-15_2026-01-24
0.0,1,Core PPI m/m,Bad,10,8,2,80.0,20.0,4.0,2019-04-12_2019-04-21|2020-10-15_2020-10-24|2021-05-14_2021-05-23|2021-08-13_2021-08-22|2021-12-15_2021-12-24|2022-02-16_2022-02-25|2022-09-15_2022-09-24|2022-12-10_2022-12-19|2024-05-15_2024-05-24|2026-02-28_2026-03-09
0.1,1,Core PPI m/m,Good,5,5,0,100.0,0.0,inf,2018-01-12_2018-01-21|2022-03-16_2022-03-25|2024-01-13_2024-01-22|2025-05-16_2025-05-25|2025-09-11_2025-09-20
0.1,1,Core PPI m/m,Neutral,13,8,5,61.5,38.5,1.6,2018-03-15_2018-03-24|2018-05-10_2018-05-19|2018-08-10_2018-08-19|2018-10-11_2018-10-20|2019-04-12_2019-04-21|2020-06-12_2020-06-21|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2023-01-19_2023-01-28|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2024-04-12_2024-04-21|2026-01-15_2026-01-24
0.1,1,Core PPI m/m,Bad,9,8,1,88.9,11.1,8.0,2020-10-15_2020-10-24|2021-05-14_2021-05-23|2021-08-13_2021-08-22|2021-12-15_2021-12-24|2022-02-16_2022-02-25|2022-09-15_2022-09-24|2022-12-10_2022-12-19|2024-05-15_2024-05-24|2026-02-28_2026-03-09
0.2,1,Core PPI m/m,Good,4,4,0,100.0,0.0,inf,2018-01-12_2018-01-21|2022-03-16_2022-03-25|2025-05-16_2025-05-25|2025-09-11_2025-09-20
0.2,1,Core PPI m/m,Neutral,17,11,6,64.7,35.3,1.83,2018-03-15_2018-03-24|2018-05-10_2018-05-19|2018-08-10_2018-08-19|2018-10-11_2018-10-20|2019-04-12_2019-04-21|2020-06-12_2020-06-21|2020-10-15_2020-10-24|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2022-09-15_2022-09-24|2022-12-10_2022-12-19|2023-01-19_2023-01-28|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2024-01-13_2024-01-22|2024-04-12_2024-04-21|2026-01-15_2026-01-24
0.2,1,Core PPI m/m,Bad,6,6,0,100.0,0.0,inf,2021-05-14_2021-05-23|2021-08-13_2021-08-22|2021-12-15_2021-12-24|2022-02-16_2022-02-25|2024-05-15_2024-05-24|2026-02-28_2026-03-09
0.3,1,Core PPI m/m,Good,4,4,0,100.0,0.0,inf,2018-01-12_2018-01-21|2022-03-16_2022-03-25|2025-05-16_2025-05-25|2025-09-11_2025-09-20
0.3,1,Core PPI m/m,Neutral,20,14,6,70.0,30.0,2.33,2018-03-15_2018-03-24|2018-05-10_2018-05-19|2018-08-10_2018-08-19|2018-10-11_2018-10-20|2019-04-12_2019-04-21|2020-06-12_2020-06-21|2020-10-15_2020-10-24|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2021-05-14_2021-05-23|2021-12-15_2021-12-24|2022-09-15_2022-09-24|2022-12-10_2022-12-19|2023-01-19_2023-01-28|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2024-01-13_2024-01-22|2024-04-12_2024-04-21|2024-05-15_2024-05-24|2026-01-15_2026-01-24
0.3,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-08-13_2021-08-22|2022-02-16_2022-02-25|2026-02-28_2026-03-09
