آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,12,11,1,91.7,8.3,11.0,2018-01-12_2018-01-26|2018-05-10_2018-05-24|2018-08-10_2018-08-24|2021-01-16_2021-01-30|2022-03-16_2022-03-30|2023-01-19_2023-02-02|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2024-01-13_2024-01-27|2024-04-12_2024-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.0,1,PPI m/m,Bad,12,9,3,75.0,25.0,3.0,2018-03-15_2018-03-29|2019-04-12_2019-04-26|2020-06-12_2020-06-26|2020-10-15_2020-10-29|2021-03-13_2021-03-27|2021-05-14_2021-05-28|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-12-10_2022-12-24|2024-05-15_2024-05-29|2026-02-28_2026-03-14
0.0,1,PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2018-10-11_2018-10-25|2022-09-15_2022-09-29|2026-01-15_2026-01-29
0.1,1,PPI m/m,Good,8,8,0,100.0,0.0,inf,2018-01-12_2018-01-26|2018-08-10_2018-08-24|2021-01-16_2021-01-30|2022-03-16_2022-03-30|2023-01-19_2023-02-02|2024-01-13_2024-01-27|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.1,1,PPI m/m,Neutral,10,5,5,50.0,50.0,1.0,2018-03-15_2018-03-29|2018-05-10_2018-05-24|2018-10-11_2018-10-25|2021-03-13_2021-03-27|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2024-04-12_2024-04-26|2026-01-15_2026-01-29
0.1,1,PPI m/m,Bad,9,8,1,88.9,11.1,8.0,2019-04-12_2019-04-26|2020-06-12_2020-06-26|2020-10-15_2020-10-29|2021-05-14_2021-05-28|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2024-05-15_2024-05-29|2026-02-28_2026-03-14
0.2,1,PPI m/m,Good,4,4,0,100.0,0.0,inf,2018-01-12_2018-01-26|2023-01-19_2023-02-02|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.2,1,PPI m/m,Neutral,17,12,5,70.6,29.4,2.4,2018-03-15_2018-03-29|2018-05-10_2018-05-24|2018-08-10_2018-08-24|2018-10-11_2018-10-25|2020-10-15_2020-10-29|2021-01-16_2021-01-30|2021-03-13_2021-03-27|2022-03-16_2022-03-30|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2024-01-13_2024-01-27|2024-04-12_2024-04-26|2024-05-15_2024-05-29|2026-01-15_2026-01-29|2026-02-28_2026-03-14
0.2,1,PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2019-04-12_2019-04-26|2020-06-12_2020-06-26|2021-05-14_2021-05-28|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02
0.3,1,PPI m/m,Good,4,4,0,100.0,0.0,inf,2018-01-12_2018-01-26|2023-01-19_2023-02-02|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.3,1,PPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2018-03-15_2018-03-29|2018-05-10_2018-05-24|2018-08-10_2018-08-24|2018-10-11_2018-10-25|2019-04-12_2019-04-26|2020-10-15_2020-10-29|2021-01-16_2021-01-30|2021-03-13_2021-03-27|2021-05-14_2021-05-28|2022-03-16_2022-03-30|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2024-01-13_2024-01-27|2024-04-12_2024-04-26|2024-05-15_2024-05-29|2026-01-15_2026-01-29|2026-02-28_2026-03-14
0.3,1,PPI m/m,Bad,4,4,0,100.0,0.0,inf,2020-06-12_2020-06-26|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02
