آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,15,10,5,66.7,33.3,2.0,2020-09-07_2020-09-11|2020-12-06_2020-12-10|2021-06-09_2021-06-13|2021-07-09_2021-07-13|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-01-10_2022-01-14|2022-05-10_2022-05-14|2022-10-12_2022-10-16|2024-01-10_2024-01-14|2025-09-11_2025-09-15|2024-04-09_2024-04-13|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2024-10-06_2024-10-10
0.0,1,CPI m/m,Neutral,20,11,9,55.0,45.0,1.22,2020-10-12_2020-10-16|2021-01-10_2021-01-14|2021-02-09_2021-02-13|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2022-03-06_2022-03-10|2023-02-14_2023-02-18|2023-09-12_2023-09-16|2024-09-11_2024-09-15|2024-11-10_2024-11-14|2025-07-13_2025-07-17|2025-08-12_2025-08-16|2026-01-09_2026-01-13|2024-03-10_2024-03-14|2019-09-08_2019-09-12|2022-04-10_2022-04-14|2023-03-11_2023-03-15|2023-08-08_2023-08-12|2024-08-12_2024-08-16|2024-12-10_2024-12-14
0.0,1,CPI m/m,Good,17,7,10,41.2,58.8,0.7,2020-11-11_2020-11-15|2021-09-12_2021-09-16|2022-11-06_2022-11-10|2023-04-10_2023-04-14|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2026-02-13_2026-02-17|2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2022-08-08_2022-08-12|2024-07-08_2024-07-12|2025-05-09_2025-05-13
0.1,1,CPI m/m,Bad,8,5,3,62.5,37.5,1.67,2020-09-07_2020-09-11|2021-06-09_2021-06-13|2021-07-09_2021-07-13|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-10-12_2022-10-16|2025-09-11_2025-09-15|2024-04-09_2024-04-13
0.1,1,CPI m/m,Neutral,38,21,17,55.3,44.7,1.24,2020-10-12_2020-10-16|2020-11-11_2020-11-15|2020-12-06_2020-12-10|2021-01-10_2021-01-14|2021-02-09_2021-02-13|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-05-10_2022-05-14|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2023-09-12_2023-09-16|2024-01-10_2024-01-14|2024-06-08_2024-06-12|2024-09-11_2024-09-15|2024-11-10_2024-11-14|2025-06-08_2025-06-12|2025-07-13_2025-07-17|2025-08-12_2025-08-16|2026-01-09_2026-01-13|2026-02-13_2026-02-17|2024-03-10_2024-03-14|2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2022-04-10_2022-04-14|2023-03-11_2023-03-15|2023-08-08_2023-08-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-12-10_2024-12-14|2025-05-09_2025-05-13
0.1,1,CPI m/m,Good,6,2,4,33.3,66.7,0.5,2021-09-12_2021-09-16|2022-11-06_2022-11-10|2024-05-14_2024-05-18|2025-04-09_2025-04-13|2022-08-08_2022-08-12|2024-07-08_2024-07-12
0.2,1,CPI m/m,Neutral,50,27,23,54.0,46.0,1.17,2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2020-12-06_2020-12-10|2021-01-10_2021-01-14|2021-02-09_2021-02-13|2021-03-06_2021-03-10|2021-06-09_2021-06-13|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-05-10_2022-05-14|2022-10-12_2022-10-16|2022-11-06_2022-11-10|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2023-09-12_2023-09-16|2024-01-10_2024-01-14|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-09-11_2024-09-15|2024-11-10_2024-11-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2025-07-13_2025-07-17|2025-08-12_2025-08-16|2025-09-11_2025-09-15|2026-01-09_2026-01-13|2026-02-13_2026-02-17|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2023-03-11_2023-03-15|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-12-10_2024-12-14|2025-05-09_2025-05-13
0.2,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-07-09_2021-07-13|2021-11-06_2021-11-10
0.3,1,CPI m/m,Neutral,50,27,23,54.0,46.0,1.17,2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2020-12-06_2020-12-10|2021-01-10_2021-01-14|2021-02-09_2021-02-13|2021-03-06_2021-03-10|2021-06-09_2021-06-13|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-05-10_2022-05-14|2022-10-12_2022-10-16|2022-11-06_2022-11-10|2023-02-14_2023-02-18|2023-04-10_2023-04-14|2023-06-09_2023-06-13|2023-07-09_2023-07-13|2023-09-12_2023-09-16|2024-01-10_2024-01-14|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-09-11_2024-09-15|2024-11-10_2024-11-14|2025-04-09_2025-04-13|2025-06-08_2025-06-12|2025-07-13_2025-07-17|2025-08-12_2025-08-16|2025-09-11_2025-09-15|2026-01-09_2026-01-13|2026-02-13_2026-02-17|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2018-07-10_2018-07-14|2018-10-08_2018-10-12|2019-02-10_2019-02-14|2019-09-08_2019-09-12|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2022-04-10_2022-04-14|2022-08-08_2022-08-12|2023-03-11_2023-03-15|2023-08-08_2023-08-12|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2024-12-10_2024-12-14|2025-05-09_2025-05-13
0.3,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-07-09_2021-07-13|2021-11-06_2021-11-10
