آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.2,1,Core CPI m/m,Neutral,24,17,7,70.8,29.2,2.43,2021-04-10_2021-04-19|2021-06-09_2021-06-18|2022-01-05_2022-01-14|2022-02-04_2022-02-13|2022-03-06_2022-03-15|2022-06-04_2022-06-13|2022-07-04_2022-07-13|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2023-02-09_2023-02-18|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-05-14_2024-05-23|2024-08-12_2024-08-21|2024-10-01_2024-10-10|2024-12-10_2024-12-19|2025-04-09_2025-04-18|2025-06-08_2025-06-17|2025-07-08_2025-07-17|2025-09-06_2025-09-15|2025-10-16_2025-10-25|2026-01-04_2026-01-13|2026-02-13_2026-02-22
0.3,1,Core CPI m/m,Neutral,24,17,7,70.8,29.2,2.43,2021-04-10_2021-04-19|2021-06-09_2021-06-18|2022-01-05_2022-01-14|2022-02-04_2022-02-13|2022-03-06_2022-03-15|2022-06-04_2022-06-13|2022-07-04_2022-07-13|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2023-02-09_2023-02-18|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-05-14_2024-05-23|2024-08-12_2024-08-21|2024-10-01_2024-10-10|2024-12-10_2024-12-19|2025-04-09_2025-04-18|2025-06-08_2025-06-17|2025-07-08_2025-07-17|2025-09-06_2025-09-15|2025-10-16_2025-10-25|2026-01-04_2026-01-13|2026-02-13_2026-02-22
0.0,1,PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-06-09_2021-06-18|2022-10-12_2022-10-21|2023-02-09_2023-02-18|2024-05-14_2024-05-23|2024-12-10_2024-12-19|2026-01-24_2026-02-02
0.0,1,PPI m/m,Good,11,7,4,63.6,36.4,1.75,2022-01-05_2022-01-14|2022-03-06_2022-03-15|2022-08-03_2022-08-12|2023-11-06_2023-11-15|2024-06-13_2024-06-22|2024-08-12_2024-08-21|2024-10-11_2024-10-20|2025-04-09_2025-04-18|2025-06-08_2025-06-17|2025-07-08_2025-07-17|2025-09-06_2025-09-15
0.0,1,PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2023-12-06_2023-12-15|2025-11-25_2025-12-04|2026-01-14_2026-01-23
0.1,1,PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-06-09_2021-06-18|2022-10-12_2022-10-21|2023-02-09_2023-02-18|2024-05-14_2024-05-23|2024-12-10_2024-12-19|2026-01-24_2026-02-02
0.1,1,PPI m/m,Good,8,5,3,62.5,37.5,1.67,2022-01-05_2022-01-14|2022-03-06_2022-03-15|2022-08-03_2022-08-12|2023-11-06_2023-11-15|2024-06-13_2024-06-22|2025-04-09_2025-04-18|2025-07-08_2025-07-17|2025-09-06_2025-09-15
0.1,1,PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2023-12-06_2023-12-15|2024-08-12_2024-08-21|2024-10-11_2024-10-20|2025-06-08_2025-06-17|2025-11-25_2025-12-04|2026-01-14_2026-01-23
0.2,1,PPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-06-09_2021-06-18|2023-02-09_2023-02-18|2026-01-24_2026-02-02
0.2,1,PPI m/m,Neutral,12,8,4,66.7,33.3,2.0,2022-01-05_2022-01-14|2022-03-06_2022-03-15|2022-10-12_2022-10-21|2023-12-06_2023-12-15|2024-05-14_2024-05-23|2024-08-12_2024-08-21|2024-10-11_2024-10-20|2024-12-10_2024-12-19|2025-06-08_2025-06-17|2025-07-08_2025-07-17|2025-11-25_2025-12-04|2026-01-14_2026-01-23
0.2,1,PPI m/m,Good,5,3,2,60.0,40.0,1.5,2022-08-03_2022-08-12|2023-11-06_2023-11-15|2024-06-13_2024-06-22|2025-04-09_2025-04-18|2025-09-06_2025-09-15
0.3,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-06-09_2021-06-18
0.3,1,PPI m/m,Neutral,14,10,4,71.4,28.6,2.5,2022-01-05_2022-01-14|2022-03-06_2022-03-15|2022-10-12_2022-10-21|2023-02-09_2023-02-18|2023-12-06_2023-12-15|2024-05-14_2024-05-23|2024-08-12_2024-08-21|2024-10-11_2024-10-20|2024-12-10_2024-12-19|2025-06-08_2025-06-17|2025-07-08_2025-07-17|2025-11-25_2025-12-04|2026-01-14_2026-01-23|2026-01-24_2026-02-02
0.3,1,PPI m/m,Good,5,3,2,60.0,40.0,1.5,2022-08-03_2022-08-12|2023-11-06_2023-11-15|2024-06-13_2024-06-22|2025-04-09_2025-04-18|2025-09-06_2025-09-15
0.0,1,Core PPI m/m,Bad,4,4,0,100.0,0.0,inf,2021-06-09_2021-06-18|2023-02-09_2023-02-18|2024-05-14_2024-05-23|2026-01-24_2026-02-02
0.0,1,Core PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2022-01-05_2022-01-14|2022-10-12_2022-10-21|2024-10-11_2024-10-20|2024-12-10_2024-12-19
0.0,1,Core PPI m/m,Good,12,7,5,58.3,41.7,1.4,2022-03-06_2022-03-15|2022-08-03_2022-08-12|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-06-13_2024-06-22|2024-08-12_2024-08-21|2025-04-09_2025-04-18|2025-06-08_2025-06-17|2025-07-08_2025-07-17|2025-09-06_2025-09-15|2025-11-25_2025-12-04|2026-01-14_2026-01-23
0.1,1,Core PPI m/m,Bad,4,4,0,100.0,0.0,inf,2021-06-09_2021-06-18|2023-02-09_2023-02-18|2024-05-14_2024-05-23|2026-01-24_2026-02-02
0.1,1,Core PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2022-01-05_2022-01-14|2022-10-12_2022-10-21|2024-10-11_2024-10-20|2024-12-10_2024-12-19|2025-11-25_2025-12-04
0.1,1,Core PPI m/m,Good,11,6,5,54.5,45.5,1.2,2022-03-06_2022-03-15|2022-08-03_2022-08-12|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-06-13_2024-06-22|2024-08-12_2024-08-21|2025-04-09_2025-04-18|2025-06-08_2025-06-17|2025-07-08_2025-07-17|2025-09-06_2025-09-15|2026-01-14_2026-01-23
0.2,1,Core PPI m/m,Neutral,13,8,5,61.5,38.5,1.6,2021-06-09_2021-06-18|2022-01-05_2022-01-14|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2023-02-09_2023-02-18|2023-12-06_2023-12-15|2024-08-12_2024-08-21|2024-10-11_2024-10-20|2024-12-10_2024-12-19|2025-06-08_2025-06-17|2025-07-08_2025-07-17|2025-11-25_2025-12-04|2026-01-14_2026-01-23
