آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,13,7,6,53.8,46.2,1.17,2018-06-13_2018-07-12|2018-08-11_2018-09-09|2019-01-12_2019-02-10|2019-03-13_2019-04-11|2019-09-13_2019-10-12|2023-05-11_2023-06-09|2024-09-12_2024-10-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2026-01-14_2026-02-12|2019-06-13_2019-07-12|2019-08-14_2019-09-12|2025-01-16_2025-02-14
0.0,1,CPI m/m,Good,16,12,4,75.0,25.0,3.0,2018-10-12_2018-11-10|2020-05-13_2020-06-11|2022-11-11_2022-12-10|2023-07-13_2023-08-11|2024-05-16_2024-06-14|2025-03-13_2025-04-11|2025-06-12_2025-07-11|2025-10-25_2025-11-23|2026-02-14_2026-03-15|2018-05-11_2018-06-09|2018-09-14_2018-10-13|2019-05-11_2019-06-09|2020-06-11_2020-07-10|2022-12-14_2023-01-12|2023-04-13_2023-05-12|2024-06-13_2024-07-12
0.0,1,CPI m/m,Bad,17,9,8,52.9,47.1,1.13,2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-07-15_2020-08-13|2020-08-13_2020-09-11|2020-09-12_2020-10-11|2020-12-11_2021-01-09|2021-06-11_2021-07-10|2021-12-11_2022-01-09|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2022-06-11_2022-07-10|2023-10-13_2023-11-11|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2019-04-11_2019-05-10|2019-07-12_2019-08-10|2025-09-12_2025-10-11
0.1,1,CPI m/m,Neutral,30,18,12,60.0,40.0,1.5,2018-06-13_2018-07-12|2018-08-11_2018-09-09|2018-10-12_2018-11-10|2019-01-12_2019-02-10|2019-03-13_2019-04-11|2019-09-13_2019-10-12|2019-12-12_2020-01-10|2020-07-15_2020-08-13|2020-12-11_2021-01-09|2022-05-12_2022-06-10|2023-05-11_2023-06-09|2023-07-13_2023-08-11|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-09-12_2024-10-11|2025-03-13_2025-04-11|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2026-01-14_2026-02-12|2026-02-14_2026-03-15|2018-05-11_2018-06-09|2018-09-14_2018-10-13|2019-06-13_2019-07-12|2019-07-12_2019-08-10|2019-08-14_2019-09-12|2020-06-11_2020-07-10|2023-04-13_2023-05-12|2024-06-13_2024-07-12|2025-01-16_2025-02-14
0.1,1,CPI m/m,Bad,10,5,5,50.0,50.0,1.0,2019-11-14_2019-12-13|2020-08-13_2020-09-11|2020-09-12_2020-10-11|2021-06-11_2021-07-10|2021-12-11_2022-01-09|2022-02-11_2022-03-12|2022-06-11_2022-07-10|2023-10-13_2023-11-11|2019-04-11_2019-05-10|2025-09-12_2025-10-11
0.1,1,CPI m/m,Good,6,5,1,83.3,16.7,5.0,2020-05-13_2020-06-11|2022-11-11_2022-12-10|2024-05-16_2024-06-14|2025-10-25_2025-11-23|2019-05-11_2019-06-09|2022-12-14_2023-01-12
0.2,1,CPI m/m,Neutral,44,27,17,61.4,38.6,1.59,2018-06-13_2018-07-12|2018-08-11_2018-09-09|2018-10-12_2018-11-10|2019-01-12_2019-02-10|2019-03-13_2019-04-11|2019-09-13_2019-10-12|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-05-13_2020-06-11|2020-07-15_2020-08-13|2020-09-12_2020-10-11|2020-12-11_2021-01-09|2021-06-11_2021-07-10|2021-12-11_2022-01-09|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2022-11-11_2022-12-10|2023-05-11_2023-06-09|2023-07-13_2023-08-11|2023-10-13_2023-11-11|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-05-16_2024-06-14|2024-09-12_2024-10-11|2025-03-13_2025-04-11|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15|2018-05-11_2018-06-09|2018-09-14_2018-10-13|2019-04-11_2019-05-10|2019-05-11_2019-06-09|2019-06-13_2019-07-12|2019-07-12_2019-08-10|2019-08-14_2019-09-12|2020-06-11_2020-07-10|2022-12-14_2023-01-12|2023-04-13_2023-05-12|2024-06-13_2024-07-12|2025-01-16_2025-02-14|2025-09-12_2025-10-11
0.2,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2020-08-13_2020-09-11|2022-06-11_2022-07-10
0.3,1,CPI m/m,Neutral,45,28,17,62.2,37.8,1.65,2018-06-13_2018-07-12|2018-08-11_2018-09-09|2018-10-12_2018-11-10|2019-01-12_2019-02-10|2019-03-13_2019-04-11|2019-09-13_2019-10-12|2019-11-14_2019-12-13|2019-12-12_2020-01-10|2020-05-13_2020-06-11|2020-07-15_2020-08-13|2020-08-13_2020-09-11|2020-09-12_2020-10-11|2020-12-11_2021-01-09|2021-06-11_2021-07-10|2021-12-11_2022-01-09|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2022-11-11_2022-12-10|2023-05-11_2023-06-09|2023-07-13_2023-08-11|2023-10-13_2023-11-11|2023-12-13_2024-01-11|2024-01-12_2024-02-10|2024-05-16_2024-06-14|2024-09-12_2024-10-11|2025-03-13_2025-04-11|2025-06-12_2025-07-11|2025-07-16_2025-08-14|2025-08-13_2025-09-11|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2026-02-14_2026-03-15|2018-05-11_2018-06-09|2018-09-14_2018-10-13|2019-04-11_2019-05-10|2019-05-11_2019-06-09|2019-06-13_2019-07-12|2019-07-12_2019-08-10|2019-08-14_2019-09-12|2020-06-11_2020-07-10|2022-12-14_2023-01-12|2023-04-13_2023-05-12|2024-06-13_2024-07-12|2025-01-16_2025-02-14|2025-09-12_2025-10-11
0.3,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2022-06-11_2022-07-10
